date,avg_sentiment,num_posts,sentiment_ma7
2025-03-07,0.18687037939100393,11,0.18687037939100393
2025-03-11,-0.009911169035419977,22,0.08847960517779198
2025-03-12,0.15438416154898713,43,0.11044779063485703
2025-03-13,0.32808113158538393,12,0.16485612587248877
2025-03-22,0.0,1,0.13188490069799103
2025-03-24,0.41682294214747845,7,0.1793745742729056
2025-03-25,-0.7754184300349395,3,0.04297557365749914
2025-03-28,-0.17944223098017853,9,-0.009354799252669783
2025-04-03,0.5408125967237882,3,0.0693200244272171
2025-04-04,-0.21934888425193927,9,0.015929589312799048
2025-04-06,-0.18150489275511608,19,-0.05686841416441524
2025-04-07,0.017947804637330277,10,-0.05430444207336805
2025-04-08,0.6505123514404251,6,-0.020920240745804248
2025-04-09,0.41736585901548523,32,0.14947751483282784
2025-04-10,1.1955893463399168,2,0.3459105973071272
2025-04-11,-0.21071363594385026,3,0.23854970692603597
2025-04-14,0.6534137186312053,9,0.36323007876648516
2025-04-17,-0.7211252294034508,2,0.2861414592452945
2025-04-18,0.17297359359262354,3,0.30828800052462213
2025-04-24,0.10752094203080942,8,0.2307177991803913
2025-05-01,0.06915825483578163,6,0.18097385572614794
2025-05-02,0.18427619771754444,3,0.03650054878009475
2025-05-03,0.7217772627348243,2,0.16971353430561972
2025-05-07,0.6639782564880946,30,0.17122275399946105
2025-05-09,0.04243069556248716,22,0.2803021718517379
2025-05-10,-1.2479583908474476,1,0.07731188836029916
2025-05-12,0.6663018297003566,5,0.15713772945594875
2025-05-13,0.32908507335313664,5,0.19427013210128516
2025-05-20,0.6491499284386244,16,0.26068066506143944
2025-05-21,1.204750565891227,1,0.3296768512266398
2025-05-22,1.1014800710775454,6,0.3921771104537042
2025-05-27,0.18477330501430886,10,0.4125117689468216
2025-05-29,0.0,2,0.5907915390678856
2025-06-04,1.8865392342109675,2,0.7651111682836872
2025-06-05,1.3193218241702305,1,0.9065735612575576
2025-06-08,0.5023180743667448,3,0.885597582104432
2025-06-09,0.7015380982184461,16,0.8137100867226061
2025-06-10,0.6466317230698047,18,0.7487317512929289
2025-06-11,0.9914053071748301,37,0.8639648944587177
2025-06-12,0.7792534540910026,5,0.9752868164717181
2025-06-13,0.0,2,0.705781211584437
2025-06-16,0.24400650775046442,3,0.5521647378101847
2025-06-17,0.14185932234254453,17,0.5006706303781561
2025-06-18,-0.8754981234611457,6,0.27537974156678574
2025-06-19,1.7794557905468973,1,0.43721175120637046
2025-06-20,1.5045945226022863,1,0.5105244962674356
2025-06-21,-0.6800624716462945,3,0.3020507925906789
2025-06-22,-0.16593454805317384,5,0.2783458571545112
2025-06-23,0.6238852269991186,5,0.33261424561860464
2025-06-24,0.2914863746457484,6,0.3539895388047767
2025-06-25,1.662345560101575,3,0.7165386364565939
2025-06-26,-0.32638632269900003,4,0.41570404885003714
2025-07-04,0.0,2,0.20076197419256767
2025-07-05,0.6963391299415281,3,0.39739077441939946
2025-07-06,0.8303645789087086,25,0.5397192211282398
2025-07-07,0.30977892818756836,8,0.4948468927265898
2025-07-08,0.0,1,0.4532059820629114
