,Price,Price_Change_Pct,Weighted_Sentiment
2015-01-03,907.5,0.0,0.03454268318181818
2015-01-04,907.5,0.0,0.03454268318181818
2015-01-05,891.0399780273438,-0.01813776525912536,0.019414139999999996
2015-01-06,883.9600219726562,-0.007945722110428433,0.05732810500000001
2015-01-07,893.5999755859375,0.010905418088669405,0.05732810500000001
2015-01-08,909.8699951171875,0.018207273920952893,0.05732810500000001
2015-01-09,902.1300048828125,-0.008506699062406309,0.05857149000000001
2015-01-10,902.1300048828125,0.0,0.05732810500000001
2015-01-11,902.1300048828125,0.0,0.05732810500000001
2015-01-12,895.239990234375,-0.0076374963820569075,0.05298006500000001
2015-01-13,892.9299926757812,-0.002580310959957255,0.04701494285714285
2015-01-14,887.3599853515625,-0.0062378992417171375,0.06566935
2015-01-15,878.3300170898438,-0.010176217556329359,0.04701494285714285
2015-01-16,889.7999877929688,0.013058839479411555,0.04701494285714285
2015-01-17,889.7999877929688,0.0,0.04701494285714285
2015-01-18,889.7999877929688,0.0,0.04701494285714285
2015-01-19,889.7999877929688,0.0,0.04701494285714285
2015-01-20,891.6099853515625,0.0020341622650312807,0.04408576666666667
2015-01-21,894.5,0.0032413439686838075,0.02234172
2015-01-22,908.8800048828125,0.016076025581679643,0.04408576666666667
2015-01-23,903.1400146484375,-0.00631545440931458,0.07833667750000001
2015-01-24,903.1400146484375,0.0,0.04408576666666667
2015-01-25,903.1400146484375,0.0,0.04408576666666667
2015-01-26,904.510009765625,0.0015169243915305053,0.04408576666666667
2015-01-27,888.989990234375,-0.017158482895365146,0.13196215714285714
2015-01-28,877.4600219726562,-0.01296973912909749,0.12661333047619047
2015-01-29,886.3599853515625,0.010142870508103474,0.12413013714285716
2015-01-30,875.7999877929688,-0.011913892473840892,0.15763343333333332
2015-01-31,875.7999877929688,0.0,0.12661333047619047
2015-02-01,875.7999877929688,0.0,0.12661333047619047
2015-02-02,888.3099975585938,0.014284094473614228,0.12661333047619047
2015-02-03,900.9199829101562,0.014195478364781966,-0.014325649999999987
2015-02-04,897.1199951171875,-0.004217897110788904,-0.014325649999999987
2015-02-05,906.02001953125,0.009920662188451113,-0.009401364999999993
2015-02-06,904.0599975585938,-0.0021633318584619587,-0.014325649999999987
2015-02-07,904.0599975585938,0.0,-0.014325649999999987
2015-02-08,904.0599975585938,0.0,-0.014325649999999987
2015-02-09,900.7100219726562,-0.0037054792768003164,-0.014325649999999987
2015-02-10,909.72998046875,0.010014275711442755,0.08956061500000001
2015-02-11,910.97998046875,0.0013740340835595166,0.08956061500000001
2015-02-12,919.6900024414062,0.00956115629256149,0.09502302250000001
2015-02-13,923.4299926757812,0.004066577025352958,0.08956061500000001
2015-02-14,923.4299926757812,0.0,0.08956061500000001
2015-02-15,923.4299926757812,0.0,0.08956061500000001
2015-02-16,923.4299926757812,0.0,0.08956061500000001
2015-02-17,924.97998046875,0.0016785114250810196,0.055691187142857146
2015-02-18,923.1699829101562,-0.0019567964678289806,0.055691187142857146
2015-02-19,921.3400268554688,-0.001982252552145236,0.055691187142857146
2015-02-20,926.6300048828125,0.005741613164684134,0.055691187142857146
2015-02-21,926.6300048828125,0.0,0.07666245000000001
2015-02-22,926.6300048828125,0.0,0.055691187142857146
2015-02-23,926.530029296875,-0.00010789159147739369,0.07855672
2015-02-24,930.2100219726562,0.003971800761356725,0.05354304
2015-02-25,929.4299926757812,-0.0008385518092148825,0.11368653000000001
2015-02-26,928.739990234375,-0.0007423931300298836,0.11368653000000001
2015-02-27,925.469970703125,-0.0035209203497577057,0.02235384
2015-02-28,925.469970703125,0.0,0.11368653000000001
2015-03-01,925.469970703125,0.0,0.11368653000000001
2015-03-02,931.75,0.0067857731700400326,0.11368653000000001
2015-03-03,927.6799926757812,-0.004368132357626786,0.013888425
2015-03-04,924.1400146484375,-0.003815947369020134,0.013888425
2015-03-05,924.219970703125,8.651941634396643e-05,0.013888425
2015-03-06,912.0,-0.013221928859455723,0.013888425
2015-03-07,912.0,0.0,0.013888425
2015-03-08,912.0,0.0,0.013888425
2015-03-09,915.8699951171875,0.004243415698670594,0.013888425
2015-03-10,899.27001953125,-0.018124816485350137,0.016662800000000002
