date,weighted_sentiment,num_stocks,weight_percentage,sentiment_ma7
2015-01-02,0.09042537382281299,1,1.325,0.09042537382281299
2015-01-03,0.05354823817380995,0,0.0,0.07198680599831148
2015-01-04,0.05354823817380995,0,0.0,0.06584061672347763
2015-01-05,0.016671102524806903,1,0.195,0.05354823817380995
2015-01-06,0.07528800634611471,2,0.305,0.0578961918082709
2015-01-07,0.07528800634611471,0,0.0,0.060794827564578206
2015-01-08,0.07528800634611471,0,0.0,0.06286528167622628
2015-01-09,0.07657027712471244,2,1.2799999999999998,0.06088598214792619
2015-01-10,0.074005735567517,1,0.13,0.06380848177559863
2015-01-11,0.07528800634611471,0,0.0,0.06691416294307075
2015-01-12,0.07528800634611471,1,1.365,0.0752880063461147
2015-01-13,0.06143751125934836,0,0.0,0.07330936419086238
2015-01-14,0.061437511259348376,1,0.195,0.07133072203561004
2015-01-15,0.06143751125934836,0,0.0,0.06935207988035771
2015-01-16,0.06143751125934836,0,0.0,0.06719025618530569
2015-01-17,0.06143751125934836,0,0.0,0.06539479556985303
2015-01-18,0.06143751125934836,0,0.0,0.0634161534146007
2015-01-19,0.06143751125934836,0,0.0,0.06143751125934836
2015-01-20,0.05081491236329436,0,0.0,0.05991999713134065
2015-01-21,0.023580151097944917,1,0.73,0.054511802822568727
2015-01-22,0.05081491236329436,1,0.11499999999999999,0.05299428869456101
2015-01-23,0.0924441143540308,2,1.8800000000000001,0.05742380342237279
2015-01-24,0.035485052671082574,1,0.73,0.05371630933833482
2015-01-25,0.05081491236329436,0,0.0,0.0521987952103271
2015-01-26,0.05081491236329436,0,0.0,0.050681281082319396
2015-01-27,0.23595554615648567,1,4.215,0.07712994305277529
2015-01-28,0.21751619692808785,1,4.215,0.10483509245708143
2015-01-29,0.1923709770034231,2,1.38,0.12505738740567124
2015-01-30,0.21528090669599886,1,2.725,0.14260550059738097
2015-01-31,0.21528090669599886,0,0.0,0.16829062260094044
2015-02-01,0.21528090669599886,0,0.0,0.19178576464846966
2015-02-02,0.21528090669599886,0,0.0,0.21528090669599886
2015-02-03,-0.022861492645993665,0,0.0,0.1783070440099304
2015-02-04,-0.022861492645993665,0,0.0,0.14396737407077587
2015-02-05,-0.022861492645993665,1,1.15,0.11321987840657351
2015-02-06,-0.022861492645993665,0,0.0,0.07919953564343171
2015-02-07,-0.022861492645993665,0,0.0,0.04517919288028992
2015-02-08,-0.022861492645993665,0,0.0,0.011158850117148124
2015-02-09,-0.022861492645993665,1,0.22999999999999998,-0.022861492645993665
