Ticker,Name,Sector,Asset Class,Market Value,Weight (%)
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"208,260,450.40",1.12
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"135,358,003.55",0.73
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"148,368,121.60",0.8
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"37,006,250.60",0.2
QCOM,QUALCOMM INC,Information Technology,Equity,"86,122,239.72",0.46
RTX,RTX CORP,Industrials,Equity,"94,407,107.90",0.51
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"51,348,538.00",0.28
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"79,767,532.80",0.43
SO,SOUTHERN,Utilities,Equity,"52,608,640.32",0.28
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"25,744,769.40",0.14
T,AT&T INC,Communication,Equity,"105,399,491.22",0.57
TGT,TARGET CORP,Consumer Staples,Equity,"23,141,123.25",0.12
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"80,639,676.36",0.43
TMUS,T MOBILE US INC,Communication,Equity,"62,377,898.88",0.33
TSLA,TESLA INC,Consumer Discretionary,Equity,"508,500,311.32",2.73
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"85,938,492.80",0.46
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"145,651,280.17",0.78
UNP,UNION PACIFIC CORP,Industrials,Equity,"71,870,798.02",0.39
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"37,360,625.28",0.2
USB,US BANCORP,Financials,Equity,"35,877,829.96",0.19
USD,USD CASH,Cash and/or Derivatives,Cash,"13,579,580.67",0.07
V,VISA INC CLASS A,Financials,Equity,"326,262,267.76",1.75
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"97,656,276.00",0.52
WFC,WELLS FARGO,Financials,Equity,"128,266,375.25",0.69
WMT,WALMART INC,Consumer Staples,Equity,"223,798,976.08",1.2
XOM,EXXON MOBIL CORP,Energy,Equity,"240,165,299.69",1.29
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"26,170,708.10",0.14
,,,,,100
