Date,REGIONAL_PC1,REGIONAL_PC2,REGIONAL_PC3,REGIONAL_PC4,REGIONAL_PC5
2018-01-02,0.3669846852938304,0.28820570666345574,0.4262302634002687,-0.6720743578065728,-0.1753550725349209
2018-01-03,0.37619531252375216,0.08374260185361838,-0.12842133561702082,0.7847330864806983,0.4470513869417076
2018-01-04,0.7368640135566951,0.24267706983860166,0.18114580431029598,-0.5525439828089277,0.7083390208502194
2018-01-05,1.5080273676134859,0.822483651720392,0.24899385867771087,0.1558702702767785,0.32259879308714134
2018-01-08,-0.15264562236253493,-0.24042316993319235,-0.2799484525596442,0.1143901561519226,-0.05298720240391719
2018-01-09,-1.0769562094738367,-0.76965423115963,-0.4726247764078937,0.04384554697550356,0.5911315546146406
2018-01-10,-1.4173798530809842,-0.9497546097550396,-0.7255195367867173,0.1347765168290321,0.3498817850891002
2018-01-11,1.321286053419632,0.6064723498351912,0.578318610327017,-0.4225915655776162,0.8255834382394065
2018-01-12,0.44352114669974335,0.3726744669501166,0.4013208809587783,-0.5403353281510485,-0.2649958532552353
2018-01-15,-0.6166590967129426,-0.8320287213970994,-0.9486966112507851,1.5036023486121723,1.141240009009692
2018-01-16,0.643947506010683,0.47953974964592727,0.2853011909928719,-0.5730193010713903,-0.333620121675883
2018-01-17,-0.5573554310692538,-0.20451389118552524,-0.047557159090803,-0.48592495228950533,-0.4300238743597435
2018-01-18,-0.10007874897408091,0.08766911674746514,0.48494915204840394,-1.0450897295675698,0.20669646289841925
2018-01-19,-1.576852040426489,-0.96934092195854,-0.7969222329033979,0.28314205176448887,-0.07523812154970144
2018-01-22,0.6504439208041874,0.4589363412390856,1.1455785034637886,-1.8954788665331843,0.07889448540610489
2018-01-23,0.9349805964955771,0.5446770887134865,0.13549837092002437,0.46064763703166955,-0.16143545532879305
2018-01-24,0.49721950327123726,0.4373345510237281,0.7684755557833124,-1.441923816672925,-0.11396192629877716
2018-01-25,0.41961261596568555,-0.01690784860295006,0.24176063602399706,-0.14231270926599088,0.7566208523236958
2018-01-26,0.9022252351229346,0.7552933654078343,0.18431800849230934,-0.0911303954399565,-0.7914271530035117
2018-01-29,-1.5293874517846902,-0.7720236277165202,-0.2827578197381828,-0.2749249699203207,-0.2935802318512174
2018-01-30,-0.7783506734453396,-0.6466935550464755,-0.6376781524586882,0.35893704329944387,0.061612614540781374
2018-01-31,1.1723238497293953,0.6654563737608599,0.2856045619312709,0.2504473972791137,0.1607751826584046
2018-02-01,0.3606408643223016,0.058726951565908125,0.6275792828298528,-0.6191103878337538,0.37282168028013046
2018-02-02,-2.244358273611126,-0.9664481257807771,-0.6561742445254793,-0.24148506472002315,-1.087978057640435
2018-02-05,-1.918587762990241,-0.8705283350906892,-0.5238592047883947,-0.3525912064229268,-0.9211944302832866
2018-02-06,-0.5516421733166617,-0.30271283755643424,-0.002621898885620734,-0.5419215233034202,-0.08555080053867398
2018-02-07,0.288619509083901,0.34843636702672837,-0.4852655697723046,1.6960265443315614,-0.6123127611557508
2018-02-08,-2.5119447335756484,-1.2698489516365636,-0.7338241212091674,-0.3652995590245758,-1.02388935509429
2018-02-09,-1.9817580007468893,-0.9099718571107467,-0.09664725187552597,-1.48652523430042,-0.4459419261897456
2018-02-12,0.08890809083200141,-0.11427526120194605,0.602929651077754,-1.1318621491327372,0.5841704197205533
2018-02-13,-0.6128048007407838,-0.14345042010659503,0.07025166529649535,-0.10928232116976448,0.17036824379280496
2018-02-14,-1.0832228497463472,-0.8622419623859597,0.3420712838335413,-1.6357059478657137,0.8478560633396313
2018-02-15,1.0920547633562443,0.6987079930736617,1.0939572600772987,-1.1253977050467876,-0.053304499823124796
2018-02-16,1.977029771508887,1.0647115594688983,0.26094430998464346,1.2040764518697555,0.032999431646261346
2018-02-19,-0.0311729599931032,-0.05258492592349974,-0.3189661107107681,0.47954424444426835,-0.0026466206269768755
2018-02-20,-1.2336248746700351,-0.9923566986771699,-1.0377613735289748,0.719049129394538,0.6814459523280324
2018-02-21,0.33294590073098923,0.3612921702234237,0.8936213683385015,-1.2896947457451575,-0.11845304939265522
2018-02-22,-0.47437010847098826,-0.36444980107342734,0.20396611997649866,-1.0336971833391906,0.3997625686852201
2018-02-23,0.0955074418758594,-0.12076258553397695,-0.009486844590528811,0.03318903352834808,0.16052679241839732
2018-02-26,1.0223859600207432,0.4471430376000418,0.740041713444477,-0.3348216117835582,0.6824506171436758
2018-02-27,-0.3760674837900707,-0.06194991557950483,-0.5059843362651355,0.751850405074966,-0.7016169191700479
2018-02-28,-0.5927374896014864,-0.24019664104403088,-0.16739804608114323,-0.3100228357973426,-0.6503680121443527
2018-03-01,-0.8807974334540258,-0.28380958521712357,-0.31442336090410583,0.26753842075921375,-0.596542506225153
2018-03-02,-0.9083410608611011,-0.43954779158078777,-0.06823125700854836,-0.2944097658209266,-0.21666471631237347
2018-03-05,0.5874886126542694,0.04493655468650418,-0.17474639271107673,-0.1254548043812411,0.8997373458788247
2018-03-06,0.8328485006591726,0.5895762093609839,0.18288250564599046,0.11126019679062461,-0.3706696003988269
2018-03-07,-0.34436841555220177,-0.08138054140498384,-0.1966182165177472,-0.16082675918536796,-0.3399790709130534
2018-03-08,-0.3505111978072366,-0.21876696149657335,-0.2645832817965866,0.12473147276082368,0.015551481823349672
2018-03-09,0.22299353565471808,0.0508932207193426,0.43959479581832306,-0.7548758849308057,0.6150779030905738
2018-03-12,0.3383017628358078,0.11969040384735465,-0.2080572280515875,0.2855420864530426,0.035819177656663835
2018-03-13,-1.1679392682633039,-0.8587389944633929,-0.8507748453619486,0.36889692922886996,0.1552821743189292
2018-03-14,0.07064905014668124,0.14806031471090014,-0.37040528156493957,0.8898930487107253,-0.3796325313603649
2018-03-15,-0.35605057416686625,-0.19792059643972001,-0.15762367632911928,0.18637406073111248,-0.10221375672296075
2018-03-16,-0.5487074674980141,-0.43698422972744255,-0.20239667006664883,0.002877225401992626,0.23792450705225066
2018-03-19,-1.605184573134606,-0.9554078351693644,-0.810322080563598,0.4639000700668917,-0.3161660474619371
2018-03-20,-0.5295537539047261,-0.17434740722915476,0.34491924290065457,-0.9598479025656947,-0.08152560196569161
2018-03-21,0.6333207445534754,0.2950011125459323,0.7989614975776742,-1.0381414603295152,0.5320014850283623
2018-03-22,0.0825402284617697,0.078389524008932,-0.5528615270676078,1.3621803214099004,-0.42702397369748674
2018-03-23,-1.400886515851489,-0.8953318911331392,-0.6856184474326498,0.4877101503784187,0.27216764023502465
2018-03-26,-0.15842663065352555,-0.05709087164184982,-0.26264772778462486,0.2681198326434956,-0.4518799061270689
2018-03-27,0.24359611394297603,-0.05962687389885897,-0.37283626742437614,0.5451290906035622,0.46246729523384345
2018-03-28,0.007307173452586424,-0.2003796506137437,-0.7830977024789572,1.1566330193862275,0.09310965976863753
2018-03-29,1.5865664443832204,1.1218377086936038,1.422844493778528,-1.5724206535517613,0.07110347132274508
2018-03-30,0.03650364859614644,-0.05558033652767628,-0.028290700903109176,0.06436194537622779,0.19949614131592264
2018-04-02,-0.35736647513887837,-0.17352642118451309,-0.5027582551029516,0.6175597662194978,-0.379258743659294
2018-04-03,0.4395384825161823,0.1546064908069964,0.021740874792417805,0.3228505251828572,0.24836910170602983
2018-04-04,0.07147734160533102,-0.13466412280064405,-0.048379525828734796,0.04706469477146355,0.32500227272678295
2018-04-05,0.411638388213447,-0.08343874005049416,-0.4980995780028597,0.6030389488362582,0.6687902677368192
2018-04-06,0.4866870083001569,0.3696099345332474,-0.1789296506267475,0.6323147976669119,-0.5902748171021921
2018-04-09,-2.409943600100698,0.06675884337693717,-1.8234657233778995,1.994761586060716,-4.757090864234294
2018-04-10,-2.1734063291180727,-0.3728116692454194,-1.2345520455053989,1.1889043247741293,-1.1091195755814787
2018-04-11,-0.9249351484785816,-0.8991061651398149,-0.49394643514997705,0.3024244239064016,1.0399690449469898
2018-04-12,1.0042170061072622,0.34633110199599093,1.1273828891619693,-1.1109579458088512,0.22405983946579566
2018-04-13,0.23429531464868997,0.39208775011113595,0.03233541526873449,0.30948925572513664,-0.6053796046730205
2018-04-16,-0.29899792335642317,-0.15139132340531605,0.10182819843615858,-0.7697347895622441,0.36856144205873576
2018-04-17,-0.04521841511819273,-0.37714762934153534,-0.1226169388734065,-0.1534173664271799,0.6196126599382109
2018-04-18,1.9657239843864946,1.3913338285003443,2.503674002978955,-2.321537597879356,-0.14894848259308646
2018-04-19,-0.3941468490635538,-0.2719595325766799,-0.4306329470440928,0.8430193763766824,-0.01341537389931241
2018-04-20,-1.3933416108425114,-0.7737843639655606,-0.7694490498572701,0.33974645707195505,-0.06805125679853463
2018-04-23,-2.5711732300197707,-0.9796771069972663,0.7464382469192414,-0.6511124291442599,-1.169799049040849
2018-04-24,1.349569976967112,0.3389937461860436,-0.43011322473094593,-0.13456836011060289,0.778151853997558
2018-04-25,-1.3794029283447826,-0.50077356586162,-0.5431751920591369,0.6050868257522646,-0.8682740153271225
2018-04-26,0.27614650018243664,0.13456533635608026,-0.1755098148460673,0.29840529013601813,0.06789373707917647
2018-04-27,-0.06563897553795131,0.07045287180710752,0.7583824578256803,-1.0965730006390884,0.34741078607287645
2018-04-30,-1.4044867336844695,-0.964951551171074,-0.9309676289760409,1.1498502002695299,-0.3314251541838921
2018-05-01,-1.5429033545327715,-0.5645767869856646,-0.19125934363792357,0.18223161364896515,-0.7147357666240405
2018-05-02,-2.709940395730932,-1.5175885039569077,-1.1591116795863627,0.09661094167131361,-0.3999680372242762
2018-05-03,-2.1281312908813836,-1.5867067242956447,-0.8196339863171652,-0.5241016550316335,1.0991627861726467
2018-05-04,-0.7251202570167895,-0.5322700276461843,-0.14189922637008298,-1.133679493864616,0.7201890379873206
2018-05-07,-0.7547344009406781,-0.6175575187446767,-1.0039619297907112,1.0229994729279204,0.3982650091690215
2018-05-08,-0.9963477522510482,-0.9928346240306426,-1.5209196999112162,0.7845557208956895,0.5945601493732298
2018-05-09,-1.2152206463528112,-0.3460935040801782,0.4313275373759304,-2.0977157476521424,-0.2783007546481659
2018-05-10,4.064417155119354,1.7824119466124826,1.5617235141021457,-0.5745932724537,1.3611699664191406
2018-05-11,-0.046594948599447836,-0.5057532971238151,-1.0186440098054148,1.8768971276695086,0.9249168420518761
2018-05-14,-0.0803581603365723,-0.34673666671419734,-0.6284462430436848,0.1655216014872731,0.7838823233416778
2018-05-15,-4.4488402539186,-2.8837237638139275,-2.2948214120828685,-0.9044722502444742,0.20355512191056713
2018-05-16,-0.6108221584592115,-0.43566555951667274,0.6577137868095175,-2.165269313471178,0.2712423454599606
2018-05-17,-1.181838097170427,-0.7338354836532813,-0.7363605093452393,0.3032503211907478,-0.30965962047259055
2018-05-18,-0.4131976749103744,-0.20086501144753563,-0.14778125116004778,-0.1428532644075486,-0.040285052729028215
2018-05-21,-0.7771682517348102,-0.9315299981594817,-0.8411027958929462,0.670183675251919,1.4981676405933877
2018-05-22,-0.012449152566325717,-0.5796034704542912,-0.8141183535536284,0.8566312593867805,1.2919969114522996
2018-05-23,1.6352614283987061,1.0845485753738693,0.7793349605288199,0.22151397160199596,-0.8933862830347554
2018-05-24,2.0294005303806943,0.9711392276216575,-0.815192143984145,4.181926313183426,0.5126191218553625
2018-05-25,1.6679172446613912,1.0940725576475092,0.2230364354260999,0.9713734471698581,-0.22441499078875657
2018-05-28,1.556032259285285,1.5366484672425065,1.8023603204910754,-2.1418077237940576,-1.4784363226273658
2018-05-29,1.5517626928660628,1.1792975056586883,0.2620110953788529,1.9845207214315597,-0.7964389385829276
2018-05-30,0.3650494392867985,0.10409115172763712,0.6302801685406567,-1.202758200964858,0.3903289486628444
2018-05-31,-2.885756950140335,-1.7849585063594253,-1.4059303503830956,0.538852112266987,0.17790632512556437
2018-06-01,-4.1696403996902145,-3.0769313757541727,-2.2159547115689238,-0.25877897739928835,1.3402098035198644
2018-06-04,0.5955074394446841,0.3213866583952665,0.5308674594301976,-1.0582749247811583,0.1705740725196953
2018-06-05,-0.616652557222463,-0.41351647215620746,-0.4875607613282148,0.36746641957980614,0.019179628122728748
2018-06-06,-0.5398709296016784,-0.5489131021045413,0.0350312425630901,-1.144512317988648,0.4220851207460946
2018-06-07,1.8830018895163798,1.890899370622098,1.393106819907674,-0.19678260584235105,-1.6466368820760269
2018-06-08,-1.2222531840689161,-0.7266329106506582,-0.652384360603538,0.07526104522065742,-0.3127991589363503
2018-06-11,-0.7356069245788274,-0.4908568102111158,-0.606172184609663,0.14406111313408984,-0.17236561967470576
2018-06-12,-1.8423863679994057,-1.194226315439106,-0.7619882322492195,-0.3617313817194146,0.1778443570013437
2018-06-13,-2.1220346575940385,-1.8413205481773298,-1.268749437292064,0.16651703887772593,1.2982122409234487
2018-06-14,0.49438756824284824,0.23136501384748212,-0.4094092971256926,2.039837583116776,0.1676093383952115
2018-06-15,-1.8065673034493404,-0.7921286100201316,-0.004980333763508847,-0.7735830797577966,-1.1078307558601077
