Date,GEO_EQ_BASKET_1D,GEO_EQ_BASKET_5D_FWD
2018-01-01,,
2018-01-02,,-0.018592905732856657
2018-01-03,0.005979471002133696,0.011390823069901579
2018-01-04,-0.016122601134731518,0.040352258004556996
2018-01-05,0.000376534793729455,0.033926294402709445
2018-01-08,0.004105234543792191,0.05247161134757827
2018-01-09,-0.012931544937780481,0.06779200200457591
2018-01-10,0.03596319980489193,0.02730751524737185
2018-01-11,0.012838833799923899,0.016819534578176976
2018-01-12,-0.006049428808118096,0.02942189896904268
2018-01-15,0.02265055148866102,0.01715158596371258
2018-01-16,0.0023888457192171586,0.01903899301252099
2018-01-17,-0.004521286952312131,0.01921211247465804
2018-01-18,0.002350853130729025,0.023983532965122567
2018-01-19,0.00655293558274761,0.006858220886014843
2018-01-22,0.010380238483330917,-0.008151754610091766
2018-01-23,0.004276252768025568,-0.04931321376284514
2018-01-24,-0.004348167490175081,-0.03224348550251599
2018-01-25,0.007122273621193553,-0.035767811125339
2018-01-26,-0.010572376496360114,-0.018138687104549023
2018-01-29,-0.004629737012775692,-0.051225049682563695
2018-01-30,-0.03688520638472781,-0.06701026157296286
2018-01-31,0.012721560770154072,-0.05306118059408105
2018-02-01,0.003597947998370543,-0.06804006108952287
2018-02-02,0.007056747524429863,-0.07981922421626653
2018-02-05,-0.037716099590790364,-0.046783526229627004
2018-02-06,-0.05267041827512697,0.0050996246394883205
2018-02-07,0.026670641749035884,-0.0049009176324752435
2018-02-08,-0.011380932497071283,0.023168146447348992
2018-02-09,-0.00472241560231379,0.023172757757423446
2018-02-12,-0.004680401604150841,0.03369286938231819
2018-02-13,-0.0007872674060116491,0.03355918307044692
2018-02-14,0.01667009947707232,0.008216384724634151
2018-02-15,0.016688131582752952,-0.021283691369237134
2018-02-16,-0.004717804292239336,-0.011078784210284187
2018-02-19,0.0058397100207439046,-0.024957817123493653
2018-02-20,-0.0009209537178829219,-0.030108542681892114
2018-02-21,-0.008672698868740447,-0.03064632980058768
2018-02-22,-0.012811944511118334,-0.008871329625086855
2018-02-23,0.005487102866713611,-0.009889278971435767
2018-02-26,-0.008039322892465561,0.02124415108485378
2018-02-27,-0.006071679276281383,0.05041192900609359
2018-02-28,-0.009210485987436012,0.061326952133797574
2018-03-01,0.008963055664382491,0.07019765484899132
2018-03-02,0.004469153520364699,0.07368180432006177
2018-03-05,0.023094107163823985,0.0627309240514573
2018-03-06,0.02309609864495843,0.03456207608329587
2018-03-07,0.0017045371402679699,0.035349458364786646
2018-03-08,0.017833758379576237,0.009195033019924415
2018-03-09,0.007953302991435152,0.02048057758247457
2018-03-12,0.012143226895219517,-0.0016410774054764765
2018-03-13,-0.005072749323203007,0.0378610076037591
2018-03-14,0.002491919421758748,0.03284312485230734
2018-03-15,-0.008320666965285994,0.042421197908680375
2018-03-16,0.019238847553985305,0.014044499977567737
2018-03-19,-0.009978428092731528,0.030645769579606297
2018-03-20,0.03442933568603257,0.006115717132010534
2018-03-21,-0.002525963329693015,-0.004283229401934818
2018-03-22,0.0012574060910870433,-0.013160690672828101
2018-03-23,-0.009137850377127332,-0.004022840295700769
