Date,GEO_EQ_BASKET_5D_FWD,LOCAL_PC1,LOCAL_PC2,LOCAL_PC3,LOCAL_PC4,LOCAL_PC5,REGIONAL_PC1,REGIONAL_PC2,REGIONAL_PC3,REGIONAL_PC4,REGIONAL_PC5,GLOBAL_PC1,GLOBAL_PC2,GLOBAL_PC3,GLOBAL_PC4,GLOBAL_PC5
2018-01-03,0.011390823069901579,-0.0675888547326424,0.1570683709216012,-0.07836461163653123,-0.07432312190655581,0.07122256266002958,0.3669846852938304,0.28820570666345574,0.4262302634002687,-0.6720743578065728,-0.1753550725349209,1.16139556862289,-0.5961010175408075,-1.6040359950901901,2.088440295001093,0.052758186624636064
2018-01-04,0.040352258004556996,-0.02164011932202844,-1.9793062248376794,-0.13062248763365394,-0.13101200950214248,0.18833713282544234,0.37619531252375216,0.08374260185361838,-0.12842133561702082,0.7847330864806983,0.4470513869417076,1.9524609604348557,-0.9958312545150254,0.7714586071207322,0.963088047294297,-0.3247558614006856
2018-01-05,0.033926294402709445,-0.12971713220735642,2.484547810681974,0.006529002244843431,-0.25531460649297055,0.06224884937615394,0.7368640135566951,0.24267706983860166,0.18114580431029598,-0.5525439828089277,0.7083390208502194,1.4628956840847955,0.6973202958825012,-1.393016477311265,-0.820331004054561,-0.46116922813282635
2018-01-08,0.05247161134757827,-0.06431809710123208,0.05136498750233002,-0.07432334926412758,-0.019873873993028028,-0.006612685272596185,1.5080273676134859,0.822483651720392,0.24899385867771087,0.1558702702767785,0.32259879308714134,1.2673439675051927,-0.4625065887357812,0.29042036732036786,2.063404415122929,-0.4604742613165272
2018-01-09,0.06779200200457591,-0.048287063397972875,-0.35836328779255167,-0.09543140686060732,0.1295833755518891,-0.07113375038599082,-0.15264562236253493,-0.24042316993319235,-0.2799484525596442,0.1143901561519226,-0.05298720240391719,-0.15498460490521726,0.32433434366805797,0.2781707113284659,-0.34833890871730006,-0.2459141990606811
2018-01-10,0.02730751524737185,0.03201418659294245,-0.707331951662932,-0.24134066809906823,0.31594972096170865,0.5132447723332915,-1.0769562094738367,-0.76965423115963,-0.4726247764078937,0.04384554697550356,0.5911315546146406,1.1789404618487938,1.6552701356110038,-0.3190129975151213,0.5880016936136054,-0.3832972535526436
2018-01-11,0.016819534578176976,0.042116631758444725,-2.8150982396167867,-0.21201072274514368,0.4182588588236386,0.26880621760397466,-1.4173798530809842,-0.9497546097550396,-0.7255195367867173,0.1347765168290321,0.3498817850891002,0.532688239010747,0.23664939969337037,-0.7488312026790503,-0.8483914135860479,0.0800045446772804
2018-01-12,0.02942189896904268,-0.1267182381365885,0.49900240842741017,0.014006865423181221,-0.6638548152156439,0.19586284143479923,1.321286053419632,0.6064723498351912,0.578318610327017,-0.4225915655776162,0.8255834382394065,0.20442847986457538,0.21517606424296792,1.6286492066893357,-2.4867029522788218,-0.6666309225248608
2018-01-15,0.01715158596371258,-0.0749484800006626,-1.114828922212564,-0.04642137461674259,0.009996867085506643,-0.11438589534214527,0.44352114669974335,0.3726744669501166,0.4013208809587783,-0.5403353281510485,-0.2649958532552353,2.4636113547851055,-0.35443952875888457,0.3481172428802238,1.360463927297332,0.15210585366479223
2018-01-16,0.01903899301252099,-0.08506691769435883,-0.9695048468419936,-0.08524221634650463,-0.22788045244906646,-0.1803362369736975,-0.6166590967129426,-0.8320287213970994,-0.9486966112507851,1.5036023486121723,1.141240009009692,0.8572276828434079,-1.3064569707988385,3.2689745670842147,1.6834002242337527,0.07742564639953367
2018-01-17,0.01921211247465804,-0.1190466486304634,1.2389954357432527,0.006373417271406049,-0.3149671072418025,0.35548991703399074,0.643947506010683,0.47953974964592727,0.2853011909928719,-0.5730193010713903,-0.333620121675883,-1.8393672939896417,0.22582685285604734,4.087472055021854,-2.9721699695047743,-0.16612775571059274
2018-01-18,0.023983532965122567,-0.054676325727889455,0.09291777811616915,-0.0782133687659609,0.09301397585823908,0.16498648204791977,-0.5573554310692538,-0.20451389118552524,-0.047557159090803,-0.48592495228950533,-0.4300238743597435,0.4098520718476999,1.199278727133806,0.42470890094821273,-0.7113878551004894,-0.291829620004069
2018-01-19,0.006858220886014843,-0.027212139560637075,0.17755043517076322,-0.1552375565515342,0.3526934692610997,-0.25748318116893465,-0.10007874897408091,0.08766911674746514,0.48494915204840394,-1.0450897295675698,0.20669646289841925,0.4555137303506285,0.8030312315122033,-0.7693083996638389,0.21388136467731172,-0.48311599480324285
2018-01-22,-0.008151754610091766,-0.06257944031741267,0.0393678024028638,-0.0866953670212701,0.0015795632275134163,0.2321126356440363,-1.576852040426489,-0.96934092195854,-0.7969222329033979,0.28314205176448887,-0.07523812154970144,0.7982629539480505,-0.09683356770399139,1.009008001859417,0.6541825406880787,-0.022528865280852718
2018-01-23,-0.04931321376284514,-0.019377174246791955,-2.1341829721667924,-0.11835151450035439,-0.22360167333191447,0.390650517443538,0.6504439208041874,0.4589363412390856,1.1455785034637886,-1.8954788665331843,0.07889448540610489,0.7049131206193499,0.7010435041390068,1.1137432241743614,-1.1331704763976498,-0.1841869191858914
