Date,LOCAL__FX_GEL__USDGEL,LOCAL__FX_GEL__EURGEL,LOCAL__FX_GEL__GBPGEL,LOCAL__FX_GEL__RUBGEL,LOCAL__FX_GEL__TRYGEL,LOCAL__FX_GEL__AMDGEL,LOCAL__FX_GEL__AZNGEL,LOCAL__TIBR_BPS_CHG__TIBR,LOCAL__TIBR_BPS_CHG__TIBR1M,LOCAL__TIBR_BPS_CHG__TIBR3M,LOCAL__TIBR_BPS_CHG__TIBR6M,LOCAL__ICE_TRI__G0GE,LOCAL__ICE_TRI__GJGE,LOCAL__ICE_TRI__GAGE,LOCAL__ICE_TRI__G1GE,LOCAL__ICE_TRI__G2GE,LOCAL__ICE_TRI__G3GE,LOCAL__ICE_TRI__G4GE,LOCAL__ICE_TRI__GDGE,LOCAL__BOND_YLD_BPS_CHG__TBC_Bank__XS2808539410__mat2029,LOCAL__BOND_YLD_BPS_CHG__Georgia__XS2334109423__mat2026,LOCAL__BOND_YLD_BPS_CHG__Georgia__XS3262542155__mat2031,LOCAL__BOND_YLD_BPS_CHG__Bank_of_Georgia__XS2801343414__mat2029,REGIONAL__USD_FX__USDAMD,REGIONAL__USD_FX__USDAZN,REGIONAL__USD_FX__USDRUB,REGIONAL__USD_FX__USDTRY,REGIONAL__ICE_TRI__GDAM,REGIONAL__ICE_TRI__GDAZ,REGIONAL__ICE_TRI__GDRU,REGIONAL__ICE_TRI__GDTR,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123BB58__mat2038,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123AY60__mat2036,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123CB40__mat2043,REGIONAL__BOND_YLD_BPS_CHG__Russia__RU000A0JXU14__mat2047,REGIONAL__BOND_YLD_BPS_CHG__Russia__XS0767473852__mat2042,REGIONAL__BOND_YLD_BPS_CHG__Russia__XS0088543193__mat2028,REGIONAL__BOND_YLD_BPS_CHG__Russia__RU000A1006S9__mat2035,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS3020792696__mat2035,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010028939__mat2031,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010043904__mat2029,REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623734__mat2032,REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623064__mat2029,REGIONAL__MARKET_USD__AKBNK,REGIONAL__MARKET_USD__BIST,REGIONAL__MARKET_USD__MOEX,REGIONAL__MARKET_USD__AAZ,GLOBAL__FX__EURUSD,GLOBAL__FX__GBPUSD,GLOBAL__US_YIELD_BPS_CHG__US5Y,GLOBAL__US_YIELD_BPS_CHG__US2Y,GLOBAL__US_YIELD_BPS_CHG__US10Y,GLOBAL__COMMODITY__Brent,GLOBAL__COMMODITY__Gold,GLOBAL__COMMODITY__Copper,GLOBAL__CRYPTO__BTC,GLOBAL__CRYPTO__ETH,GLOBAL__CRYPTO__SOL,GLOBAL__MARKET_USD__EUFN,GLOBAL__MARKET_USD__IXG,GLOBAL__MARKET_USD__FM,GLOBAL__MARKET_USD__EEM,GLOBAL__MARKET_USD__HSBK,GLOBAL__MARKET_USD__FTMC
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,-0.0007779074682445764,0.004263305224883274,-0.0011292625508345644,0.0026284654371830918,0.006299560481832167,-0.0007779074682483511,-0.0007779074682445208,,,,,,,,,,,,,,,,,0.0,0.0,-0.0034063729054283343,-0.007077467950076688,,,,,,,,4.0135750736032705,-1.5456740691521809,0.0,,,,,,,0.031150666004405303,,,,0.0005523534177722667,-0.0003513550825898215,,,,,,,0.09258925971214182,0.13514465974787537,,,,,,,
2018-01-03,-0.005853675251460522,-0.010417765676358437,0.00040815481550482424,3.6054388048434305e-05,-0.011530489884855832,-0.005894989883028501,-0.005853675251460522,,,,,,,,,,,,-0.0011559682520267955,,,,,4.131463158252302e-05,0.0,-0.005889729639508623,0.0056768146333952,-0.0005482781241008539,0.0031246957989381485,0.001139583689576007,0.002648625770120816,-3.3222309778886405,-4.275462716895895,-2.467945043106745,-3.7637817490513648,-0.8352974361279131,-1.0257093260254813,,,,,,,-0.020654544272442288,,,0.006261830066965124,0.004309459786959985,0.006261830066965235,-0.3000020980834961,-0.8000016212463379,-1.7999887466430664,0.01889791647375283,0.0019012136171543403,-0.005852489619077916,0.01450508605496914,0.08480341627994381,,-0.0012778290018942151,0.004975454555605552,0.013541645864624918,0.009535853467740996,0.03059422657245836,0.00927449559260296
2018-01-04,0.005853675251460522,0.01019383375072791,-0.00040815481550482424,0.00897731835697968,0.015078443100541294,0.00591564783893439,0.011753397378648833,5.999999999999961,,,,,,,,,,,0.00017085218042378614,,,,,-6.197258747864254e-05,-0.005899722127188256,-0.003123643105518603,-0.009224767849080662,0.002501851786102627,0.0040426818228063155,0.0019861530138962635,5.6410947498974906e-05,-0.3764006981688439,0.4099081648118563,0.410482353467323,-6.1415995922875055,-2.369956142106311,-1.0247414670212507,,,,,,,-0.000886560045660012,0.00437900617409781,0.0236412146648175,-0.006261830066965124,-0.004405533860938865,-0.006261830066965235,2.0999908447265625,0.0,0.6000041961669922,0.0033846454745152244,0.0024283463684655615,0.0016976863879438753,0.025858428248032084,0.018730361673503282,,0.016899505561937644,0.010859674363217664,0.010471363165824421,0.004939297417941635,0.008058050282648832,-0.0025759981832136347
2018-01-05,0.0,-0.003140323662532696,0.0030717405699107747,5.4571748218990024e-05,0.002931325382072414,-2.065795590588948e-05,0.0,0.0,,,,,,,,,,,0.00016644328264625585,,,,,2.0657955896119518e-05,0.0,-5.4571748218990024e-05,-0.002931325382072414,0.001359328228459411,0.012055011390887493,0.005417955662344376,0.0025680262934342224,-1.1278305079556183,-1.8834853682356822,-2.94800344438233,4.209352232280494,-0.8300899170268217,-1.0237753203755418,,,,,,,0.024048101387637244,0.012813841871163412,0.004508598512221518,0.0030717405699106637,0.004851896369631847,0.0030717405699106637,1.7000198364257812,0.0,2.3000001907348633,-0.0066327450789618325,0.0006819141750700197,-0.011008731732923716,0.11094452953729395,0.016979703746571317,,0.0008374169806142362,-0.0001400973446887832,-0.0020275888316731994,0.008585310959658088,0.0264921623389216,0.008441395985811617
2018-01-08,0.0,-0.005245132936354091,0.0016956343729106482,-0.00307864401508251,-0.0027222297200456547,-0.0016925017972404532,0.0,-1.9999999999999574,,,,,,,,,,,0.0005079187264103169,,,,,0.0016925017972404532,0.0,0.0030786440150833982,0.0027222297200457657,0.0027352133155389424,-0.0009487743031071361,-0.0003106005862116845,-0.0008380696745007299,-0.5256182516768959,1.8834853682356822,1.3080852073357185,-8.501314604685284,-7.159215376530259,-5.1044440275011205,,,,,,,-0.013727677830869589,0.0,0.0,-0.013571819919323325,-0.0026034254630770415,0.0016956343729105927,0.0,0.9999990463256836,0.3999948501586914,0.0023633102714875065,-0.0012884713036926954,-0.0018726728221838407,-0.1388378134003485,0.14076552186282143,,-0.002934260014832102,0.0016819913917984763,0.0008693119231297786,0.0,0.015488988746947374,-0.0019416731233246054
2018-01-09,-0.0019474202843955402,-0.004462272165377534,-0.0022868618268416796,0.002246748267734411,-0.0076383955856845764,-0.001947420284399648,-0.0019474202843955402,-27.000000000000046,,,,,,,,,,,0.00016633108678831832,,,,,0.0,0.0,-0.004194168552130506,0.005690975301289036,4.417383878774217e-05,-0.007079832758646987,-0.0029900611629818385,-0.003568082875566425,1.5781960806532602,4.360652586778357,2.4618915913896977,4.908494495901827,4.803994540904988,1.0189701189755151,,,,,,,-0.018855708250519188,-0.022356217992352434,0.009227823131296109,0.04478105433664048,-0.005581836821075187,-0.00033944154244608393,3.899979591369629,3.4999966621398704,6.599998474121094,0.015227247765807306,-0.005246580568031511,-0.002032681734444708,-0.038619922206656554,0.12368134760985772,,0.004607332624314342,0.0032160404054861758,0.004335949068589251,-0.0016296291677839747,0.048667890716955764,0.0005424030065119823
2018-01-10,-0.00782782862024678,-0.006926744333930701,-0.010700785386350775,-0.010711676343730492,-0.01585319548179792,-0.007415287360268863,-0.007827828620246835,-12.99999999999999,,,,,,,,,,,-0.001594414631433061,,,,,-0.00041254125997625124,0.0,0.0028838477234840454,0.008025366861551309,-0.000972275495702668,-0.004807584439002532,-0.002795837424821812,-0.0046480022880661664,6.429351656468185,3.808053598429506,9.886129361771356,2.78500925901497,4.721329269912378,4.085473908525605,,,,,,,-0.026544293195652546,-0.02057080461475458,0.00020297606433006266,0.08168453771897999,-0.00344154132008756,-0.0028729567661039956,0.40001869201660156,-1.999998092651345,0.3999948501586914,0.005506422588147153,0.004336147142567803,0.006396759485535863,0.025562164635523743,-0.03437553404698246,,0.015755060659227382,0.009033415112599918,0.0037425833479671766,-0.006340028469938197,0.014368997027015773,-0.00839716920533462
2018-01-11,0.0,0.007088768994438555,-0.001446901731818384,0.01040727547724618,0.006215230197524069,0.0014865593025481516,0.0,17.99999999999997,,,,,,,,,,,-0.002040525978717511,,,,,-0.0014865593025383816,0.0,-0.01040727547724618,-0.006215230197524235,0.0015757891409160507,0.0033239226848840175,6.772116735387357e-05,0.002383344503691376,-0.15204791286613784,-4.220660907386531,-1.5915560328254585,-2.78500925901497,0.0,0.0,,,,,,,0.012426363669362228,0.016114219522257223,0.01673946296866413,0.07651425193012029,0.002245193475669177,-0.001446901731818273,-1.4000177383422852,0.8000016212463379,-1.9000053405761719,0.000866751294839041,0.0024260445347756843,-0.0004666380409208415,-0.11058116741362234,-0.08374892032199721,,0.01267130559547791,0.00744327952244106,0.010576036265162347,0.006136056240834353,0.028028725542464272,-0.002511997134534205
2018-01-12,-0.005911347263057309,0.0069423420950616155,-0.003760485201512953,-0.00910720984101232,0.0015083993261107986,-0.004919078607622751,-0.005911347263057254,12.00000000000001,,,,,,,,,,,-0.002044698240045939,,,,,-0.000992268655442885,0.0,0.003195862577955566,-0.007419746589167886,0.00043401022444378157,0.00038937019863105604,0.0003093042909467769,0.0003618093021318103,-0.3799566734720372,-2.2236623596505467,-0.6686257096881754,3.6550201046091857,0.8339376248460262,1.0237753203755418,,,,,,,0.01870768775961673,0.006774484014679061,0.0038703014969443394,0.0021508620615440233,0.007163443657419666,0.0021508620615441343,3.299999237060547,0.6999969482421875,2.1000146865844727,0.008768842056333881,0.009645929220218896,-0.004209868244871462,0.04198319183702104,0.09749359549276626,,0.012512533347542654,0.00997497377588008,0.007365589234285874,0.009538579380494738,0.014522305036017702,0.00799260386897327
