Date,GEO_EQ_BASKET_1D,LOCAL_CREDIT_PC1,FX_GEL_PC1,FX_GEL_PC2,FX_GEL_PC3,REGIONAL_CREDIT_MARKET_PC1,REGIONAL_CREDIT_MARKET_PC2,REGIONAL_CREDIT_MARKET_PC3,REGIONAL_FX_PC1,REGIONAL_FX_PC2,REGIONAL_FX_PC3,REGIONAL_FX_PC4,GLOBAL_EQUITY_RISK_PC1,GLOBAL_EQUITY_RISK_PC2,GLOBAL_RATES_PC1,GLOBAL_RATES_PC2,COMMODITIES_PC1,COMMODITIES_PC2,CRYPTO_PC1
2019-03-27,0.009371281129868514,0.021918171993259006,1.4815264486320674,0.6488197017888426,3.0875364412280044,1.294462193570345,0.5756783887431534,0.9103811139095174,-1.7048237513569586,-2.1328034761043804,0.8537692887604078,2.3516719492730807,0.13277803810055264,0.6497166442692647,-0.05006155930409058,0.4988126467198939,-0.15619133773047908,0.6840814719515719,0.11865296284681368
2019-03-28,-0.002392216679820406,0.09332781501301747,0.19898927575487724,-0.33366716018264164,0.10011755891678709,-3.8338098726233802,-1.885687389171123,-3.184965623339576,0.29307336275568174,-0.025971966035061782,0.009973181820143345,0.23745029729649628,-0.5106226227585335,-0.10276517697944736,-1.1164235519749295,-0.5868553967996933,-0.1561968882833114,0.1229250408075847,0.9565683200871271
2019-03-29,-0.009365170960309754,-0.061263300781335336,-1.304179124612133,-0.9779046932464697,-2.611453899147223,0.37013135211330117,0.2659095765830408,-0.28542425988962694,1.961345650365301,1.768440647221096,-0.8810292691100512,-1.836769073735423,-0.13069055315670386,-0.872076311748484,0.5053664178236439,-0.4697480001939589,-0.7441042846802914,0.8097937258992218,-0.24794835297940593
2019-04-01,0.006981834037784,-0.11010822355033417,-0.7814536381643369,-0.4470960012471442,0.5431501377397132,2.5412820780139933,1.2334991276360419,0.9400032672762432,0.28396801884564504,0.03787490321780492,-0.14342034072969267,0.7000706888593692,0.7280169855333505,-0.008596863823559748,0.2936949485041877,-1.5788497921536704,1.2245226328373158,0.06456133494927453,0.39646644131412534
2019-04-02,-0.002261260141406929,0.2298026643929737,0.04333662091501717,0.7470573270302775,0.6877146659096398,2.072658643238469,0.9503975848646038,-0.35437288078128537,-0.6986517280208464,-0.733677383427716,0.4413816811948401,0.07338840251764668,2.6299550776561444,-0.8958134964286835,1.7116924193393726,-0.7920741521380911,-0.3143651249732124,0.5227790376543834,0.17102125292485
2019-04-03,0.020602276649492435,0.10856805381819849,-0.21976929838037387,-0.6390208490884633,-1.497206438361037,-1.1766806857101118,-0.6277456266100017,-0.9276958289897848,0.8801365188285982,1.1416805724869143,-0.5622402920340038,-0.8088685835439878,0.35549484741388554,0.34190902418724123,0.0367012884099433,1.5759497174386796,-0.1322488889529259,0.15207618870638032,4.7258269592043405
2019-04-04,0.016459325680721577,-0.042249921507383534,0.24986330268089468,-0.06302236996908626,-0.20175035560975726,-0.7648450608730644,-0.3129142933522357,0.306585603969967,0.19547679199562648,-0.10305273647377822,0.1735273703417289,-0.29573949047827136,1.6629664903704389,0.17736856604661827,0.7567955957269294,-0.1906154223801449,0.5522361054891626,-0.060451960780102024,0.10611596578078356
2019-04-05,-0.01377143386663778,0.0335938562198208,0.22366876604237185,-0.07417395850520037,0.47583553387874516,2.099249800824406,1.1037618497185022,2.0619028195917837,-0.1992864254380635,-0.3764002800769938,0.15858368917940482,0.44657075989770834,0.2965617951721485,-0.16485763613834434,-0.15657804169634199,-0.08524892335032637,-0.6182996592716835,0.15946406895484266,-0.4838242641152756
2019-04-08,0.0007746815208484747,0.04892576366662363,-1.3340427180482428,0.30547445886747826,-0.11228076274786145,0.3230097325758508,0.164587966037547,0.9919179203212503,0.2012210912438004,-1.347441419644484,-1.4268617603897213,-0.8442356871676333,-0.10594851666619311,-0.4227680273412464,-0.22044329007652078,0.04218139282868293,0.007998750020500007,0.4235685222346555,0.9962373302593162
2019-04-09,-0.0036730214640334027,0.24279719855984608,1.3996379018823235,-0.15867996559089104,-1.070463713838269,-1.1382881813844403,-0.7356971722188785,-2.157978172804489,0.7348290107928129,0.3960789950441389,-0.7066433202109398,-0.9131142800410267,0.36078175175044225,0.3063313004180477,0.295284554550416,-0.30979366974863665,0.9638573956188123,0.045522768682043635,1.978801987310827
2019-04-10,-0.0043151862073521246,-0.14861192971772136,-0.4533192584529266,0.0665267387818701,0.17137639376092656,-0.6827474172179512,-0.39145894232789924,0.5116245541416753,-0.29254584744152723,1.602037095033008,2.2247932321770363,0.5690035994237912,-1.2630298606410544,-0.18062675526873048,-0.5250439581807387,0.140422323869517,0.13165483746750012,-0.4545926740229725,-0.6153313040300398
2019-04-11,-0.006672422349582874,0.10386504942823618,0.5280429864154454,0.875491576460614,-0.004862871191779732,0.27515872690349086,-0.046181957322528173,-0.5956281622580153,-0.9127702070707453,-0.029193134793469976,-0.05792833650768047,-0.24237544866524027,0.446884202122407,-0.17267994491443722,-0.6046178300430076,0.09749100656135896,0.3274665214356816,0.31958073573250756,0.47053259721118296
2019-04-12,-0.01212352678344312,-0.19553214793484122,0.660126936990092,-0.5871063134877348,-0.5790704927354797,-2.269921040830514,-0.9668907673420313,-0.24967089681746008,0.6104955950694849,0.35197436255596526,-0.3790264251180514,-0.1278380447551341,0.4390077554761656,0.5857490564336363,0.7423061170521706,-0.21062062083277333,-1.669807346742383,0.49695264502704095,-1.8227967774549079
