Date,LOCAL__FX_GEL__USDGEL,LOCAL__FX_GEL__EURGEL,LOCAL__FX_GEL__GBPGEL,LOCAL__FX_GEL__RUBGEL,LOCAL__FX_GEL__TRYGEL,LOCAL__FX_GEL__AMDGEL,LOCAL__FX_GEL__AZNGEL,LOCAL__TIBR_BPS_CHG__TIBR,LOCAL__TIBR_BPS_CHG__TIBR1M,LOCAL__TIBR_BPS_CHG__TIBR3M,LOCAL__TIBR_BPS_CHG__TIBR6M,LOCAL__ICE_TRI__G0GE,LOCAL__ICE_TRI__GJGE,LOCAL__ICE_TRI__GAGE,LOCAL__ICE_TRI__G1GE,LOCAL__ICE_TRI__G2GE,LOCAL__ICE_TRI__G3GE,LOCAL__ICE_TRI__G4GE,LOCAL__ICE_TRI__GDGE,LOCAL__BOND_YLD_BPS_CHG__TBC_Bank__XS2808539410__mat2029,LOCAL__BOND_YLD_BPS_CHG__Georgia__XS2334109423__mat2026,LOCAL__BOND_YLD_BPS_CHG__Georgia__XS3262542155__mat2031,LOCAL__BOND_YLD_BPS_CHG__Bank_of_Georgia__XS2801343414__mat2029
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,-0.0007779074682445764,0.004263305224883274,-0.0011292625508345644,0.0026284654371830918,0.006299560481832167,-0.0007779074682483511,-0.0007779074682445208,,,,,,,,,,,,,,,,
2018-01-03,-0.005853675251460522,-0.010417765676358437,0.00040815481550482424,3.6054388048434305e-05,-0.011530489884855832,-0.005894989883028501,-0.005853675251460522,,,,,,,,,,,,-0.0011559682520267955,,,,
2018-01-04,0.005853675251460522,0.01019383375072791,-0.00040815481550482424,0.00897731835697968,0.015078443100541294,0.00591564783893439,0.011753397378648833,5.999999999999961,,,,,,,,,,,0.00017085218042378614,,,,
2018-01-05,0.0,-0.003140323662532696,0.0030717405699107747,5.4571748218990024e-05,0.002931325382072414,-2.065795590588948e-05,0.0,0.0,,,,,,,,,,,0.00016644328264625585,,,,
2018-01-08,0.0,-0.005245132936354091,0.0016956343729106482,-0.00307864401508251,-0.0027222297200456547,-0.0016925017972404532,0.0,-1.9999999999999574,,,,,,,,,,,0.0005079187264103169,,,,
2018-01-09,-0.0019474202843955402,-0.004462272165377534,-0.0022868618268416796,0.002246748267734411,-0.0076383955856845764,-0.001947420284399648,-0.0019474202843955402,-27.000000000000046,,,,,,,,,,,0.00016633108678831832,,,,
2018-01-10,-0.00782782862024678,-0.006926744333930701,-0.010700785386350775,-0.010711676343730492,-0.01585319548179792,-0.007415287360268863,-0.007827828620246835,-12.99999999999999,,,,,,,,,,,-0.001594414631433061,,,,
2018-01-11,0.0,0.007088768994438555,-0.001446901731818384,0.01040727547724618,0.006215230197524069,0.0014865593025481516,0.0,17.99999999999997,,,,,,,,,,,-0.002040525978717511,,,,
2018-01-12,-0.005911347263057309,0.0069423420950616155,-0.003760485201512953,-0.00910720984101232,0.0015083993261107986,-0.004919078607622751,-0.005911347263057254,12.00000000000001,,,,,,,,,,,-0.002044698240045939,,,,
