PC,explained_variance,explained_variance_ratio,cumulative_variance_ratio
REGIONAL_PC1,5.032980789854842,0.2096110269129606,0.2096110269129606
REGIONAL_PC2,3.5128873513699217,0.14630294767555363,0.35591397458851426
REGIONAL_PC3,2.530039086174459,0.10536978246607852,0.4612837570545928
REGIONAL_PC4,1.6350948612736684,0.06809760006685092,0.5293813571214437
REGIONAL_PC5,1.4446878781426544,0.06016762677032226,0.589548983891766
