model,rmse,mae,r2,corr,direction_accuracy
Ridge,1.386676443862841,1.0444950229115204,0.03819619481181702,0.21941644453209896,0.4875
Linear Regression,1.391272364096436,1.0516325031763594,0.03181013567898383,0.20275765481055283,0.4625
Lasso,1.393046856681816,1.0539605820807512,0.029338813144291098,0.2778859899175125,0.5125
Elastic Net,1.3967970788959891,1.0512390738084032,0.02410554333203563,0.28547618899888605,0.5375
Mean Benchmark,1.4174265277689821,1.0610570108583097,-0.004933509194514185,,0.5
