Date,REGIONAL__USD_FX__USDAMD,REGIONAL__USD_FX__USDAZN,REGIONAL__USD_FX__USDRUB,REGIONAL__USD_FX__USDTRY,REGIONAL__ICE_TRI__GDAM,REGIONAL__ICE_TRI__GDAZ,REGIONAL__ICE_TRI__GDRU,REGIONAL__ICE_TRI__GDTR,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123BB58__mat2038,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123AY60__mat2036,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123CB40__mat2043,REGIONAL__BOND_YLD_BPS_CHG__Russia__RU000A0JXU14__mat2047,REGIONAL__BOND_YLD_BPS_CHG__Russia__XS0767473852__mat2042,REGIONAL__BOND_YLD_BPS_CHG__Russia__XS0088543193__mat2028,REGIONAL__BOND_YLD_BPS_CHG__Russia__RU000A1006S9__mat2035,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS3020792696__mat2035,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010028939__mat2031,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010043904__mat2029,REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623734__mat2032,REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623064__mat2029,REGIONAL__MARKET_USD__AKBNK,REGIONAL__MARKET_USD__BIST,REGIONAL__MARKET_USD__MOEX,REGIONAL__MARKET_USD__AAZ
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,0.0,0.0,-0.0034063729054283343,-0.007077467950076688,,,,,,,,4.0135750736032705,-1.5456740691521809,0.0,,,,,,,0.031150666004405303,,,
2018-01-03,4.131463158252302e-05,0.0,-0.005889729639508623,0.0056768146333952,-0.0005482781241008539,0.0031246957989381485,0.001139583689576007,0.002648625770120816,-3.3222309778886405,-4.275462716895895,-2.467945043106745,-3.7637817490513648,-0.8352974361279131,-1.0257093260254813,,,,,,,-0.020654544272442288,,,0.006261830066965124
2018-01-04,-6.197258747864254e-05,-0.005899722127188256,-0.003123643105518603,-0.009224767849080662,0.002501851786102627,0.0040426818228063155,0.0019861530138962635,5.6410947498974906e-05,-0.3764006981688439,0.4099081648118563,0.410482353467323,-6.1415995922875055,-2.369956142106311,-1.0247414670212507,,,,,,,-0.000886560045660012,0.00437900617409781,0.0236412146648175,-0.006261830066965124
2018-01-05,2.0657955896119518e-05,0.0,-5.4571748218990024e-05,-0.002931325382072414,0.001359328228459411,0.012055011390887493,0.005417955662344376,0.0025680262934342224,-1.1278305079556183,-1.8834853682356822,-2.94800344438233,4.209352232280494,-0.8300899170268217,-1.0237753203755418,,,,,,,0.024048101387637244,0.012813841871163412,0.004508598512221518,0.0030717405699106637
2018-01-08,0.0016925017972404532,0.0,0.0030786440150833982,0.0027222297200457657,0.0027352133155389424,-0.0009487743031071361,-0.0003106005862116845,-0.0008380696745007299,-0.5256182516768959,1.8834853682356822,1.3080852073357185,-8.501314604685284,-7.159215376530259,-5.1044440275011205,,,,,,,-0.013727677830869589,0.0,0.0,-0.013571819919323325
2018-01-09,0.0,0.0,-0.004194168552130506,0.005690975301289036,4.417383878774217e-05,-0.007079832758646987,-0.0029900611629818385,-0.003568082875566425,1.5781960806532602,4.360652586778357,2.4618915913896977,4.908494495901827,4.803994540904988,1.0189701189755151,,,,,,,-0.018855708250519188,-0.022356217992352434,0.009227823131296109,0.04478105433664048
2018-01-10,-0.00041254125997625124,0.0,0.0028838477234840454,0.008025366861551309,-0.000972275495702668,-0.004807584439002532,-0.002795837424821812,-0.0046480022880661664,6.429351656468185,3.808053598429506,9.886129361771356,2.78500925901497,4.721329269912378,4.085473908525605,,,,,,,-0.026544293195652546,-0.02057080461475458,0.00020297606433006266,0.08168453771897999
2018-01-11,-0.0014865593025383816,0.0,-0.01040727547724618,-0.006215230197524235,0.0015757891409160507,0.0033239226848840175,6.772116735387357e-05,0.002383344503691376,-0.15204791286613784,-4.220660907386531,-1.5915560328254585,-2.78500925901497,0.0,0.0,,,,,,,0.012426363669362228,0.016114219522257223,0.01673946296866413,0.07651425193012029
2018-01-12,-0.000992268655442885,0.0,0.003195862577955566,-0.007419746589167886,0.00043401022444378157,0.00038937019863105604,0.0003093042909467769,0.0003618093021318103,-0.3799566734720372,-2.2236623596505467,-0.6686257096881754,3.6550201046091857,0.8339376248460262,1.0237753203755418,,,,,,,0.01870768775961673,0.006774484014679061,0.0038703014969443394,0.0021508620615440233
