Date,GLOBAL_PC1,GLOBAL_PC2,GLOBAL_PC3,GLOBAL_PC4,GLOBAL_PC5
2018-01-02,1.16139556862289,-0.5961010175408075,-1.6040359950901901,2.088440295001093,0.052758186624636064
2018-01-03,1.9524609604348557,-0.9958312545150254,0.7714586071207322,0.963088047294297,-0.3247558614006856
2018-01-04,1.4628956840847955,0.6973202958825012,-1.393016477311265,-0.820331004054561,-0.46116922813282635
2018-01-05,1.2673439675051927,-0.4625065887357812,0.29042036732036786,2.063404415122929,-0.4604742613165272
2018-01-08,-0.15498460490521726,0.32433434366805797,0.2781707113284659,-0.34833890871730006,-0.2459141990606811
2018-01-09,1.1789404618487938,1.6552701356110038,-0.3190129975151213,0.5880016936136054,-0.3832972535526436
2018-01-10,0.532688239010747,0.23664939969337037,-0.7488312026790503,-0.8483914135860479,0.0800045446772804
2018-01-11,0.20442847986457538,0.21517606424296792,1.6286492066893357,-2.4867029522788218,-0.6666309225248608
2018-01-12,2.4636113547851055,-0.35443952875888457,0.3481172428802238,1.360463927297332,0.15210585366479223
2018-01-15,0.8572276828434079,-1.3064569707988385,3.2689745670842147,1.6834002242337527,0.07742564639953367
2018-01-16,-1.8393672939896417,0.22582685285604734,4.087472055021854,-2.9721699695047743,-0.16612775571059274
2018-01-17,0.4098520718476999,1.199278727133806,0.42470890094821273,-0.7113878551004894,-0.291829620004069
2018-01-18,0.4555137303506285,0.8030312315122033,-0.7693083996638389,0.21388136467731172,-0.48311599480324285
2018-01-19,0.7982629539480505,-0.09683356770399139,1.009008001859417,0.6541825406880787,-0.022528865280852718
2018-01-22,0.7049131206193499,0.7010435041390068,1.1137432241743614,-1.1331704763976498,-0.1841869191858914
2018-01-23,-0.3685139839587189,-0.7706577132734953,0.783559745262327,0.13601723786982417,-0.7876846437095791
2018-01-24,2.156976499781972,-0.6466637473062428,0.006453497269588284,0.6347407908697663,2.1565108892643696
2018-01-25,0.26727660667161257,-1.870488610277292,2.6308192849011984,1.0974038901237455,0.07403734396761044
