Date,G3GE
12/31/2025,96.16
1/2/2026,96.17
1/5/2026,96.25
1/6/2026,96.3
1/7/2026,96.3
1/8/2026,95.93
1/9/2026,95.9
1/12/2026,95.9
1/13/2026,95.89
1/14/2026,96.42
1/15/2026,96.46
1/16/2026,96.46
1/19/2026,96.47
1/20/2026,96.51
1/21/2026,96.53
1/22/2026,96.56
1/23/2026,96.56
1/26/2026,96.57
1/27/2026,96.57
1/28/2026,96.79
1/29/2026,96.79
1/30/2026,96.79
1/31/2026,96.78
2/2/2026,96.81
2/3/2026,96.83
2/4/2026,96.74
2/5/2026,96.74
2/6/2026,96.75
2/9/2026,96.75
2/10/2026,96.75
2/11/2026,97.27
2/12/2026,97.27
2/13/2026,97.32
2/16/2026,97.32
2/17/2026,97.41
2/18/2026,97.5
2/19/2026,97.5
2/20/2026,97.54
2/23/2026,97.54
2/24/2026,97.54
2/25/2026,97.54
2/26/2026,98.09
2/27/2026,98.13
2/28/2026,98.13
3/2/2026,98.13
3/3/2026,98.13
3/4/2026,98.14
3/5/2026,98.05
3/6/2026,98.07
3/9/2026,98.07
3/10/2026,98.06
3/11/2026,98.06
3/12/2026,98.27
3/13/2026,98.28
3/16/2026,98.3
3/17/2026,98.33
3/18/2026,98.71
3/19/2026,98.71
3/20/2026,98.71
3/23/2026,98.78
3/24/2026,98.83
3/25/2026,99.04
3/26/2026,99.07
3/27/2026,99.1
3/30/2026,99.11
3/31/2026,99.11
4/1/2026,99.11
4/2/2026,99.1
4/3/2026,99.09
4/6/2026,99.1
4/7/2026,99.1
4/8/2026,98.5
4/9/2026,98.5
4/10/2026,98.51
4/13/2026,98.51
4/14/2026,98.49
4/15/2026,98.91
4/16/2026,98.9
4/17/2026,98.9
4/20/2026,98.91
4/21/2026,98.95
4/22/2026,99.18
4/23/2026,99.2
4/24/2026,99.23
4/27/2026,99.24
4/28/2026,99.27
4/29/2026,99.37
4/30/2026,99.39
5/1/2026,99.42
5/4/2026,99.42
5/5/2026,99.42
5/6/2026,99.42
5/7/2026,98.91
5/8/2026,98.89
