Date,G2GE
12/31/2025,101.29
1/2/2026,101.29
1/5/2026,101.39
1/6/2026,101.42
1/7/2026,101.42
1/8/2026,101.09
1/9/2026,101.05
1/12/2026,101.05
1/13/2026,101.02
1/14/2026,101.43
1/15/2026,101.45
1/16/2026,101.47
1/19/2026,101.46
1/20/2026,101.5
1/21/2026,101.5
1/22/2026,101.49
1/23/2026,101.53
1/26/2026,101.51
1/27/2026,101.49
1/28/2026,101.66
1/29/2026,101.67
1/30/2026,101.69
1/31/2026,101.69
2/2/2026,101.69
2/3/2026,101.72
2/4/2026,101.65
2/5/2026,101.65
2/6/2026,101.65
2/9/2026,101.65
2/10/2026,101.65
2/11/2026,102.01
2/12/2026,102.04
2/13/2026,102.04
2/16/2026,102.07
2/17/2026,102.1
2/18/2026,102.18
2/19/2026,102.18
2/20/2026,102.21
2/23/2026,102.21
2/24/2026,102.21
2/25/2026,102.24
2/26/2026,102.64
2/27/2026,102.68
2/28/2026,102.68
3/2/2026,102.68
3/3/2026,102.68
3/4/2026,102.68
3/5/2026,102.62
3/6/2026,102.63
3/9/2026,102.62
3/10/2026,102.62
3/11/2026,102.61
3/12/2026,102.74
3/13/2026,102.74
3/16/2026,102.75
3/17/2026,102.77
3/18/2026,103.04
3/19/2026,103.05
3/20/2026,103.05
3/23/2026,103.09
3/24/2026,103.12
3/25/2026,103.27
3/26/2026,103.3
3/27/2026,103.32
3/30/2026,103.32
3/31/2026,103.32
4/1/2026,103.31
4/2/2026,103.31
4/3/2026,103.3
4/6/2026,103.3
4/7/2026,103.29
4/8/2026,102.8
4/9/2026,102.8
4/10/2026,102.8
4/13/2026,102.8
4/14/2026,102.79
4/15/2026,103.02
4/16/2026,103.02
4/17/2026,103.02
4/20/2026,103.02
4/21/2026,103.04
4/22/2026,103.2
4/23/2026,103.21
4/24/2026,103.23
4/27/2026,103.24
4/28/2026,103.25
4/29/2026,103.31
4/30/2026,103.33
5/1/2026,103.35
5/4/2026,103.34
5/5/2026,103.34
5/6/2026,103.33
5/7/2026,102.92
5/8/2026,102.91
