Date,G1GE
12/31/2025,101.7
1/2/2026,101.7
1/5/2026,101.74
1/6/2026,101.75
1/7/2026,101.75
1/8/2026,101.59
1/9/2026,101.56
1/12/2026,101.55
1/13/2026,101.54
1/14/2026,101.73
1/15/2026,101.72
1/16/2026,101.74
1/19/2026,101.73
1/20/2026,101.73
1/21/2026,101.72
1/22/2026,101.72
1/23/2026,101.73
1/26/2026,101.72
1/27/2026,101.69
1/28/2026,101.77
1/29/2026,101.77
1/30/2026,101.76
1/31/2026,101.88
2/2/2026,101.89
2/3/2026,101.89
2/4/2026,101.84
2/5/2026,101.86
2/6/2026,101.86
2/9/2026,101.85
2/10/2026,101.85
2/11/2026,102.02
2/12/2026,102.02
2/13/2026,102.03
2/16/2026,102.03
2/17/2026,102.06
2/18/2026,102.08
2/19/2026,102.08
2/20/2026,102.1
2/23/2026,102.08
2/24/2026,102.07
2/25/2026,102.06
2/26/2026,102.29
2/27/2026,102.28
2/28/2026,102.28
3/2/2026,102.28
3/3/2026,102.28
3/4/2026,102.27
3/5/2026,102.23
3/6/2026,102.24
3/9/2026,102.23
3/10/2026,102.22
3/11/2026,102.21
3/12/2026,102.25
3/13/2026,102.25
3/16/2026,102.25
3/17/2026,102.26
3/18/2026,102.38
3/19/2026,102.38
3/20/2026,102.38
3/23/2026,102.39
3/24/2026,102.4
3/25/2026,102.47
3/26/2026,102.48
3/27/2026,102.49
3/30/2026,102.48
3/31/2026,102.48
4/1/2026,102.46
4/2/2026,102.46
4/3/2026,102.45
4/6/2026,102.44
4/7/2026,102.43
4/8/2026,102.15
4/9/2026,102.15
4/10/2026,102.15
4/13/2026,102.15
4/14/2026,102.13
4/15/2026,102.2
4/16/2026,102.2
4/17/2026,102.19
4/20/2026,102.19
4/21/2026,102.21
4/22/2026,102.28
4/23/2026,102.28
4/24/2026,102.29
4/27/2026,102.29
4/28/2026,102.29
4/29/2026,102.31
4/30/2026,102.32
5/1/2026,102.32
5/4/2026,102.32
5/5/2026,102.31
5/6/2026,102.3
5/7/2026,102.07
5/8/2026,102.06
