Factor,Share
Global equities,0.5188431923005469
Regional equities,0.1834696256650624
US Treasury rates,0.13210627459102137
Commodity volumes,0.04111810410831335
Crypto,0.031794226646002274
Local currency,0.02697945250880079
Commodities,0.02681543186247023
Crypto volumes,0.024641033821334823
Regional ICE bond indices,0.012083904051922814
Regional market volumes,0.0011621889665184907
Local interest rates,0.0009865654780064643
