factor_name,standardized_difference,t_stat
REGIONAL_ICE_INDICES_PC1,0.35520430109771883,3.2191510286196117
GLOBAL_EQUITY_RISK_PC1,0.3496304711767575,3.159949679679956
COMMODITIES_PC2,-0.3142834228642589,-2.8586529403564422
GLOBAL_EQUITY_RISK_PC2,0.2366009273561223,2.1436503142639554
REGIONAL_EQUITY_PC1,0.20945712214638249,1.919515751495111
GLOBAL_RATES_PC2,0.15464111849773057,1.4070776459320844
LOCAL_RATES_PC2,0.15315902947849747,1.3509734072058712
COMMODITY_VOLUME_PC2,-0.14228492113619953,-1.2901121162101747
COMMODITIES_PC1,0.13614922174244343,1.2611882489150903
CRYPTO_PC1,0.13300429221597937,1.2283010194411537
LOCAL_CURRENCY_PC3,-0.13286077871760082,-1.2297659955647688
COMMODITY_VOLUME_PC1,0.13263904581839406,1.2083803558806656
