"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","IND.NGDP_R.A","OBS_VALUE","India","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","43267.4","45354.6","47079.8","50780.5","54803.8","59146.1","63913.8","68810.1","70934.0","76510.8","83012.4","87363.3","92130.2","98013.7","105276.7","113694.9","123081.9","131445.8","139929.1","145346.4","136948.7","150218.5","160714.3","173817.2","186020.097","198038.137"
"IMF.RES:WEO(6.0.0)","IND.NGDP.A","OBS_VALUE","India","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","21398.9","23152.4","24926.1","27925.3","31863.3","36321.3","42546.3","48986.6","55141.5","63664.1","76344.7","87363.3","99440.1","112335.2","124679.6","137718.7","153916.7","170900.4","188996.7","201035.9","198541.0","235974.0","269496.5","295356.7","325061.423","358790.571"
