"DATASET","SERIES_CODE","OBS_MEASURE","INDICATOR","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.FAD:FM(5.0.0)","JPN.G1_S13_POGDP_PT.A","OBS_VALUE","Revenue, General government, Percent of GDP","Units","28.6687144133049","28.993504985104","28.0558390645797","27.6051222143613","28.3640054257558","29.0810447618812","30.0278864555612","30.221719001405","29.9975863157364","28.9926382757935","28.6691052925382","29.6411089378007","30.4415448855946","31.1668199329822","32.772910988219","33.6174364220445","33.6296665874306","33.5872660571028","34.2672988758603","34.2490530297938","35.4613407831167","36.3423681209536","37.4595305787454","36.9495325548499","36.1039408337465","36.8067525602663"
"IMF.FAD:FM(5.0.0)","JPN.G2M_S13_POGDP_PT.A","OBS_VALUE","Expenditure, General government, Percent of GDP","Units","35.9505604781911","35.1939861628025","35.3918090477268","35.0384097370702","33.6781822622515","33.519525061801","33.0566985979414","33.1227631124883","34.107272161657","38.6856020870476","37.7449159358504","38.6266330819843","38.6380247868723","38.7781929095425","38.3889627650603","37.2952260867561","37.2292761138399","36.6860794144715","36.7387067282204","37.2936968967625","44.5167116094764","42.4401808693036","41.8347302725555","41.1649576988882","42.1979018792348","39.8254994801115"
