Date,MOEX,BIST,EUFN,IXG,EEM,TBCG,BGEO,CGEO,HSBK,AAZ,FTMC,AKBNK
2018-01-01,,,,,,,,,,,,6.301042556762695
2018-01-02,,1175.24,16.550596237182617,56.66155242919922,39.98330307006836,1741.283203125,3528.751953125,,3.3320350646972656,32.89932632446289,20681.5,6.4545698165893555
2018-01-03,2152.97,1160.52,16.52946662902832,56.94417953491211,40.36640930175781,1741.283203125,3526.759521484375,,3.414104461669922,32.89932632446289,20743.900390625,6.358616352081299
2018-01-04,2197.6,1154.91,16.811180114746094,57.56593322753906,40.56626892089844,1703.42919921875,3534.729248046875,,3.4633469581604004,32.89932632446289,20820.5,6.2946457862854
2018-01-05,2207.41,1166.38,16.825260162353516,57.557865142822266,40.91605758666992,1649.636474609375,3630.37060546875,,3.5454165935516357,32.89932632446289,20932.599609375,6.428982257843018
2018-01-08,2207.41,1163.05,16.775964736938477,57.65476608276367,40.91605758666992,1657.6060791015625,3630.37060546875,,3.5946576595306396,32.400856018066406,20856.599609375,6.358616352081299
2018-01-09,2225.39,1150.23,16.853437423706055,57.84048843383789,40.84943389892578,1605.8057861328125,3654.280517578125,,3.775212287902832,33.896278381347656,20875.0,6.275454044342041
2018-01-10,2232.27,1135.89,17.121061325073242,58.36534881591797,40.59126281738281,1665.5751953125,3807.70458984375,,3.840867757797241,36.887123107910156,20760.0,6.160308361053467
2018-01-11,2246.45,1147.19,17.339391708374023,58.8014030456543,40.841102600097656,1693.4677734375,3853.532470703125,,3.955765724182129,39.87797164916992,20737.900390625,6.198690891265869
2018-01-12,2262.38,1146.45,17.557714462280273,59.390869140625,41.232521057128906,1707.413818359375,3759.884033203125,,4.005007266998291,39.87797164916992,20859.400390625,6.2690582275390625
2018-01-15,2261.53,1121.59,17.557714462280273,59.390869140625,41.232521057128906,1735.3060302734375,3763.869140625,,4.070663928985596,38.88102340698242,20832.80078125,6.128324031829834
2018-01-16,2257.89,1144.18,17.536592483520508,59.22129821777344,41.07429122924805,1737.298583984375,3741.951416015625,,4.0542497634887695,43.86576461791992,20877.30078125,6.2946457862854
2018-01-17,2277.89,1165.93,17.635189056396484,59.73809051513672,41.61561965942383,1723.35205078125,3737.966064453125,,4.03783655166626,40.37644958496094,20769.400390625,6.460967540740967
2018-01-18,2297.47,1168.56,17.68448829650879,59.810760498046875,41.66558837890625,1711.3983154296875,3765.861328125,,4.070663928985596,45.36119842529297,20665.0,6.4929518699646
2018-01-19,2286.33,1151.47,17.754913330078125,60.149898529052734,42.00703811645508,1717.3753662109375,3765.861328125,,4.070663928985596,43.3672981262207,20653.30078125,6.40339469909668
2018-01-22,2308.61,1172.35,17.96619987487793,60.57786560058594,42.24855041503906,1741.283203125,3793.75732421875,,4.169147968292236,42.37035369873047,20655.19921875,6.537732124328613
2018-01-23,2298.95,1184.0,17.9239444732666,60.69900131225586,42.448429107666016,1739.29052734375,3779.809326171875,,4.10349178314209,42.86882781982422,20671.19921875,6.614495277404785
2018-01-24,2306.99,1196.48,18.07184600830078,61.013919830322266,42.806541442871094,1737.298583984375,3733.981201171875,,4.2019758224487305,45.161800384521484,20538.5,6.889566898345947
2018-01-25,2320.03,1186.04,18.07184600830078,60.81204605102539,42.781551361083984,1709.406005859375,3739.958984375,,4.251216888427734,43.86576461791992,20521.69921875,6.812801837921143
2018-01-26,2295.26,1207.02,18.191566467285156,61.36113739013672,43.372859954833984,1699.444580078125,3720.033935546875,,4.284045696258545,41.87187576293945,20615.599609375,7.0878729820251465
2018-01-29,2284.27,1208.45,18.043672561645508,60.94125747680664,42.714935302734375,1679.5213623046875,3729.996826171875,,4.316873073577881,39.87797164916992,20577.900390625,7.0878729820251465
2018-01-30,2280.36,1193.03,17.83238410949707,60.41638946533203,42.131954193115234,1595.84423828125,3684.1689453125,,4.316873073577881,38.88102340698242,20370.900390625,6.902360916137695
