Date,AAZ.L,AKBNK.IS,BGEO.L,CGEO.L,EEM,EUFN,HSBK.L,IXG,TBCG.L,^FTMC,BZ=F,GC=F,HG=F,BTC-USD,ETH-USD,BIST,MOEX
2018-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-30,-0.07269330517188843,0.6430033787784564,0.7556536833548505,0.8134777363822079,-0.43139573021447086,-0.9333627157728025,0.46274514008791756,-0.9911030534142776,-1.1481116511992442,-0.13536558711722885,-0.7163434385000795,-2.027920491052592,0.19049647347754364,-0.14006909948266333,-0.1264456490604341,0.19095514778681555,0.19494161719444045
2018-05-31,-0.7513953468881648,-0.3393323462926093,0.3443347980379425,0.047870473677564876,0.2346023858256135,-0.7278094455528813,0.36080467420745643,0.08618900852223045,0.0447965433038458,0.6875482889313668,-2.2310797870833197,-2.5221947248554475,-0.706809406729849,0.04072140633223913,-0.03413546405193934,0.14131353306657748,0.6221191301269765
2018-06-01,-0.6734092202825308,0.7474584689009877,-0.21133590340664316,0.5093894889691265,-0.32137083138824707,-0.41776836041023574,-0.6530230698381121,-1.3334186090719429,1.4897090609224537,-0.7853459661877833,3.536443696934447,-1.8175673531839276,0.09683142317060522,-0.040940790317661804,-0.019919584443706333,0.02298951822469878,-0.8492465456664182
2018-06-04,-0.018551416422857903,-0.5909440015606474,0.05095119620006634,-1.318788599818055,-0.6092394242283102,-0.733820110460412,-0.8974382575301612,0.7595616234589524,1.6034339845946248,0.006905357524197266,-0.12021705702466491,-1.5269616906098618,-0.9393560048051511,0.01446568261803639,-0.02206195041883343,-0.3635382696074044,-0.14728623009259068
2018-06-05,1.5990689948787813,-0.47436421864917533,-1.384266616780481,0.3868441395200873,0.09928417378961946,1.7301018079236674,0.23884009346848212,0.08281920182182856,-2.383734264787738,-0.007406987025117556,0.31680323832778184,0.9079224822036384,0.14217448878054254,-0.0063145220589122955,-0.03157402099342759,-0.06520709666063668,0.3685302958655565
2018-06-06,1.1856293361356658,0.6951611239720858,0.17663598223691043,-0.6360017875321375,0.1547334520154545,-0.0843079627345014,-2.3521236328829995,0.45181707063788057,-0.5751861566820111,0.1217544496206331,-0.15331454975649195,0.043842637864176526,0.3312953484416791,-0.05584213189781131,-0.048743209889859654,0.2644423149767647,-0.2918706398067933
2018-06-07,-1.7127914836396594,0.43665603297185884,-0.26937674635341763,-0.7915636127425855,0.6511406284416231,-0.17884928126280686,1.470214176795707,-0.683779430556345,0.4903331033758733,-0.0012373246477767727,-0.014924843089419144,-1.552130567176794,-0.41940261595194606,-0.04499747093764245,0.06800595985056637,0.06899287148695142,-0.09893571693129193
2018-06-08,-0.35880806706236107,-0.5458463940214098,-0.20140202285390332,-0.5938733644518966,-0.19373836559258503,-1.2589698849742235,0.026904545383930258,0.1551491821568479,0.23709263169173997,-0.1623687795794535,-0.5164712406551756,2.107524510422661,0.0881072675102668,-0.059287135072046034,-0.13800461243685325,-0.11466290832013976,0.5619236683213473
2018-06-11,-0.07600573394514727,0.2325500933904483,-0.06103434876484571,-0.22387489366725175,-0.6572542314923782,1.5678337315369948,0.27774480121482825,-0.6911531619530809,-0.6405769031439607,0.06895541453108275,0.0276482107482128,-2.2142924858483672,0.43786620400692117,0.11551857925116156,0.19082529995299388,0.11466290832013973,-0.906094292911887
2018-06-13,-0.019536955935661644,-0.6188273112858136,-0.03705674818535657,-0.091063270217257,0.9660705980209201,-0.9417140427399688,0.19691216355654861,0.8731419954034237,0.1941013168659397,0.02182165128574888,0.30245078490876154,0.642594901397114,-0.15804628272808874,0.06270519021281153,0.048263468145159895,-0.3360206719252319,0.6096591481254481
2018-06-14,0.49433879482054666,-0.29338313659626464,0.2971962482803965,1.563238036926168,-0.28015395167987234,-0.28982041766962835,-1.0032297604337141,-0.052958573706611695,0.4513074672300369,0.2160650746467103,-0.2311097516860818,-1.1676051601550612,-0.30668356354838056,0.016948606237843594,0.16718204953913118,-0.5831909883765869,-0.11934503390651381
2018-06-18,-1.901808521704749,0.27391313845773924,0.3186814165478375,-1.2638651123462425,0.09325704343502784,0.19040446813688258,2.852881826375689,-1.1526795099383855,-0.260417438966592,-0.26894919138481815,0.2758154904843939,-0.1823215567939546,-0.14062865449528428,-0.24075542575654663,-0.484943210010584,0.3797007415645895,0.1512038771864337
2018-06-19,1.6623619765129922,0.3164299641158421,-0.20349051284662886,0.206893423335949,0.38415975890088283,1.070823326118423,-1.0273353595702512,2.2880353119793146,0.3157976870604184,0.16315250344857085,0.043634018992298754,-0.028987536873252298,0.36575044582159966,0.004404498654570459,0.13146751784896474,0.31016064551349826,0.16534185768594847
2018-06-20,-0.7271373482435335,0.01201561739497153,-0.11787178226611537,1.5661195186567478,-0.5634361297305435,-0.376747142740386,-0.18744042359153412,-0.01820300545707675,-0.23655086479518353,-0.08791208030344479,0.3485293653680177,-1.580450375560848,-0.2811160606808904,-0.042391669112032404,-0.07845455536140292,-0.04738086903140212,-0.00257023019378775
2018-06-21,1.4219015516030902,0.19679692497662676,0.6744120092523264,-1.2219519427573533,0.2108731333837799,-0.8604675344358459,0.009968080018827175,-1.8315773755910825,0.745707039091633,-0.16448227244332037,0.039844417610973674,1.8827312474337816,-0.24163813395037406,-0.09700810499310109,-0.08782896611002668,-0.10108232088616395,0.023806352325593756
2018-06-22,-1.125801302889092,0.26382868341523164,-0.3619025672459621,0.9871351652017895,-0.5709288601057887,-0.5418110391282992,-4.117368073653018,0.19183411366165323,0.3559580016666823,0.36290221777640674,0.19898546584711224,0.4754236967150748,0.4230867094579839,0.36422249165329745,0.42036651504815964,-0.10897016614445566,0.09221935879421565
2018-06-25,0.8314806469479172,0.2817642644764333,-0.8297704718540511,-2.1529089339425966,0.8223136533644507,0.4378849413006943,5.173478245167445,0.9396836114488605,-1.494852516942139,-0.31531890511553434,-0.36511749214420475,-0.6931471805599453,0.20106759961500992,0.07962152898676833,0.5880601428252725,0.6119467722397588,-0.3572309095129503
2018-06-26,0.14782214715140096,-0.5592750645367177,-0.06665136546805706,-0.24865427434605736,-0.47080301411033426,1.0267646274415154,-2.0248781655990844,0.9215945607492754,0.4374261352334395,-0.022739234670071457,-0.0022881927247614476,0.8777184570879153,-0.21646944422651654,-0.5171251877920819,-1.083327824998443,-0.23052365861183238,-0.15700026910349574
2018-06-27,-0.8794143878068719,0.18660874254749193,0.680308202486937,1.756376247456776,0.3200381287514786,0.466848701311508,-2.582897845576535,-1.4737239906565018,0.46451206507265547,0.14790104826937717,-0.5274406674096876,2.5692615676797166,4.817488167663556,0.005006118308260856,0.009084657493474264,0.252342706006472,0.3158629740557676
