Date,US900123BB58,US900123AY60,US900123CB40,RU000A0JXU14,XS0767473852,XS0088543193,RU000A1006S9,XS3020792696,XS2010028939,XS2010043904,XS1678623734,XS1678623064,XS2808539410,XS2334109423,XS3262542155,XS2801343414
2018-01-01,,,,4.931120069507544,4.795535409638707,4.065400252380924,,,,,,,,,,
2018-01-02,5.858547029225177,5.832793432868906,5.763836381779211,4.9712558202435755,4.780078668947185,4.065400252380924,,,,,,,,,,
2018-01-03,5.82532471944629,5.790038805699947,5.739156931348144,4.933618002753063,4.771725694585906,4.055143159120669,,,,,,,,,,
2018-01-04,5.821560712464602,5.794137887348065,5.743261754882817,4.872202006830188,4.748026133164843,4.044895744450456,,,,,,,,,,
2018-01-05,5.810282407385046,5.7753030336657085,5.713781720438994,4.914295529152993,4.739725233994575,4.034657991246701,,,,,,,,,,
2018-01-08,5.805026224868277,5.794137887348065,5.726862572512351,4.82928238310614,4.668133080229272,3.9836135509716897,,,,,,,,,,
2018-01-09,5.820808185674809,5.837744413215849,5.751481488426248,4.878367328065158,4.716173025638322,3.9938032521614444,,,,,,,,,,
2018-01-10,5.885101702239491,5.875824949200144,5.8503427820439615,4.906217420655308,4.763386318337446,4.034657991246701,,,,,,,,,,
2018-01-11,5.88358122311083,5.833618340126279,5.834427221715707,4.878367328065158,4.763386318337446,4.034657991246701,,,,,,,,,,
2018-01-12,5.879781656376109,5.811381716529773,5.827740964618825,4.91491752911125,4.771725694585906,4.044895744450456,,,,,,,,,,
2018-01-15,5.873707190744478,5.817962589308128,5.821897771114943,4.897534268761516,4.755700466212119,4.034657991246701,,,,,,,,,,
2018-01-16,5.892709697406948,5.852619523672926,5.843635357575868,4.8919611682659445,4.739725233994575,4.024429882429774,,,,,,,,,,
2018-01-17,5.901089290038085,5.886626485951671,5.868834413590111,4.916784050029718,4.763386318337446,4.024429882429774,,,,,,,,,,
2018-01-18,5.938554729730034,5.931683074566649,5.892467837114043,4.962445227806501,4.820104297845282,4.106525755346678,,,,,,,,,,
2018-01-19,6.002537133932038,5.9829498248805,5.933241878680128,4.9674777227450315,4.8774564815199115,4.137472353434743,,,,,,,,,,
2018-01-22,6.0234935288354325,5.984637399741454,5.988124868996673,4.9996938830646664,4.885327103844907,4.158152475684122,,,,,,,,,,
2018-01-23,5.943925451589312,5.9576873571795215,5.9272750936408976,4.9567904446513635,4.8278874116900505,4.137472353434743,,,,,,,,,,
2018-01-24,5.987059306876851,5.989702689743877,5.932389048658449,4.966848350541837,4.8604447275107105,4.168507306447111,,,,,,,,,,
2018-01-25,6.003312038139459,5.9644146544850605,5.946051655161555,4.933618002753063,4.820104297845282,4.168507306447111,,,,,,,,,,
2018-01-26,5.989378524555384,5.946769969831607,5.928127059570296,4.935492371372041,4.787801211989665,4.158152475684122,,,,,,,,,,
2018-01-29,5.994793401375564,5.974518355048911,5.957179819332452,4.980715072839256,4.885327103844907,4.220429862756251,,,,,,,,,,
2018-01-30,6.039841918404575,6.019327171340846,6.001939292972998,4.964960766121237,4.844791439174088,4.210025505383946,,,,,,,,,,
2018-01-31,6.015723661830328,5.982106197675439,5.9400697128949975,4.903734792525486,4.787801211989665,4.1788720071113765,,,,,,,,,,
