Date,TIBR,TIBR1M,TIBR3M,TIBR6M
2018-11-29,7.08,,,
2018-11-30,7.07,,,
2018-12-03,7.08,,,
2018-12-04,7.07,,,
2018-12-05,7.08,,,
2018-12-06,7.08,,,
2018-12-07,7.07,,,
2018-12-10,7.08,,,
2018-12-11,7.07,,,
2018-12-12,7.03,,,
2018-12-13,7.08,,,
2018-12-14,7.07,,,
2018-12-17,7.08,,,
2018-12-18,7.09,,,
2018-12-19,7.09,,,
2018-12-20,7.09,,,
2018-12-21,7.09,,,
2018-12-24,7.01,,,
2018-12-25,7.0,,,
2018-12-26,7.0,,,
2018-12-27,7.06,,,
2018-12-28,7.03,,,
2018-12-31,7.03,,,
2019-01-03,7.0,,,
2019-01-04,7.0,,,
2019-01-08,7.0,,,
2019-01-09,7.0,,,
2019-01-10,7.05,,,
2019-01-11,7.05,,,
2019-01-14,7.05,,,
2019-01-15,7.05,,,
2019-01-16,7.07,,,
2019-01-17,7.05,,,
2019-01-18,7.06,,,
2019-01-21,7.06,,,
2019-01-22,7.06,,,
2019-01-23,7.06,,,
2019-01-24,7.01,,,
2019-01-25,7.01,,,
2019-01-28,7.01,,,
2019-01-29,7.0,,,
2019-01-30,6.69,,,
2019-01-31,6.7,,,
2019-02-01,6.63,,,
2019-02-04,6.59,,,
2019-02-05,6.64,,,
2019-02-06,6.62,,,
2019-02-07,6.77,,,
2019-02-08,6.74,,,
2019-02-11,6.75,,,
2019-02-12,6.72,,,
2019-02-13,6.6,,,
2019-02-14,6.69,,,
2019-02-15,6.67,,,
2019-02-18,6.65,,,
2019-02-19,6.32,,,
2019-02-20,6.55,,,
2019-02-21,6.51,,,
2019-02-22,6.46,,,
2019-02-25,6.75,,,
2019-02-26,6.75,,,
2019-02-27,6.75,,,
2019-02-28,6.75,,,
2019-03-01,6.75,,,
2019-03-04,6.75,,,
2019-03-05,6.74,,,
2019-03-06,6.75,,,
2019-03-07,6.75,,,
2019-03-11,6.75,,,
2019-03-12,6.75,,,
2019-03-13,6.6,6.6837,6.9269,7.0826
2019-03-14,6.5,6.6837,6.9215,7.0804
2019-03-15,6.52,6.6769,6.9089,7.075
2019-03-18,6.5,6.6607,6.8963,7.0686
2019-03-19,6.5,6.6553,6.8897,7.0655
2019-03-20,6.5,6.6618,6.883,7.0627
2019-03-21,6.5,6.66,6.8763,7.0593
2019-03-22,6.5,6.6596,6.862,7.0526
2019-03-25,6.33,6.6639,6.8506,7.0457
2019-03-26,6.44,6.6489,6.843,7.0415
2019-03-27,6.35,6.6377,6.8367,7.0381
2019-03-28,6.37,6.6234,6.8287,7.0339
2019-03-29,6.24,6.6097,6.8139,7.0269
2019-04-01,6.12,6.577,6.7865,7.0175
2019-04-02,6.24,6.5409,6.7801,7.0122
2019-04-03,6.12,6.532,6.7753,7.0079
2019-04-04,6.45,6.5197,6.7653,7.0026
2019-04-05,6.48,6.51,6.747,6.9993
2019-04-08,6.5,6.452,6.7416,6.9888
2019-04-10,6.5,6.4573,6.7303,6.9819
2019-04-11,6.5,6.4598,6.724,6.9788
2019-04-12,6.5,6.4517,6.7077,6.9757
2019-04-15,6.5,6.4403,6.6992,6.9672
2019-04-16,6.5,6.4319,6.693,6.9643
2019-04-17,6.5,6.4352,6.6866,6.9615
2019-04-18,6.5,6.4384,6.6804,6.9586
2019-04-19,6.5,6.4384,6.6627,6.9558
2019-04-22,6.5,6.4383,6.6551,6.9462
2019-04-23,6.5,6.4319,6.6487,6.9432
2019-04-24,6.5,6.4352,6.6424,6.9402
2019-04-25,6.5,6.4384,6.6367,6.9372
2019-04-30,6.5,6.4763,6.6079,6.921
2019-05-01,6.45,6.4781,6.6035,6.9157
2019-05-02,6.51,6.4892,6.5984,6.9122
2019-05-03,6.51,6.4983,6.5986,6.9043
2019-05-06,6.5,6.5145,6.5963,6.8992
2019-05-07,6.5,6.5151,6.5949,6.896
2019-05-08,6.5,6.5157,6.5918,6.8928
2019-05-10,6.33,6.5157,6.5834,6.8821
2019-05-13,6.44,6.4962,6.5724,6.8746
2019-05-14,6.42,6.4953,6.5706,6.8715
2019-05-15,6.4,6.4939,6.5675,6.8682
2019-05-16,6.5,6.4906,6.5596,6.8648
2019-05-17,6.5,6.4906,6.5601,6.8562
2019-05-20,6.5,6.4876,6.5609,6.8513
2019-05-21,6.5,6.4891,6.5603,6.8479
2019-05-22,6.5,6.4906,6.5602,6.8444
2019-05-23,6.5,6.4906,6.5607,6.8345
2019-05-24,6.04,6.4906,6.5612,6.8339
2019-05-27,6.03,6.4349,6.5401,6.8214
2019-05-28,6.0,6.4215,6.5319,6.8129
2019-05-29,6.02,6.4035,6.5234,6.8095
2019-05-30,6.5,6.3913,6.5188,6.8035
2019-05-31,6.5,6.396,6.5198,6.7946
2019-06-03,6.5,6.4017,6.5114,6.7933
2019-06-04,6.5,6.3917,6.5124,6.79
2019-06-05,6.5,6.3964,6.5097,6.7868
2019-06-06,6.5,6.4008,6.507,6.7835
2019-06-07,6.5,6.4008,6.5043,6.7802
2019-06-10,6.51,6.4008,6.492,6.7705
2019-06-11,6.5,6.4097,6.4934,6.7672
2019-06-12,6.5,6.4138,6.4906,6.764
2019-06-13,6.5,6.4177,6.4878,6.761
2019-06-14,6.5,6.4197,6.4867,6.7577
2019-06-17,6.5,6.4254,6.4848,6.748
2019-06-18,6.51,6.418,6.4861,6.7447
2019-06-19,6.5,6.4222,6.4862,6.7414
2019-06-20,6.44,6.4258,6.4862,6.738
2019-06-21,6.48,6.4239,6.4855,6.7344
2019-06-24,6.47,6.4218,6.4835,6.724
2019-06-25,6.46,6.461,6.4845,6.7209
2019-06-26,6.47,6.4621,6.486,6.7178
2019-06-27,6.51,6.4634,6.4863,6.7148
2019-06-28,6.51,6.479,6.4881,6.7117
2019-07-01,6.5,6.5094,6.4973,6.6935
2019-07-02,6.5,6.5102,6.5015,6.6936
2019-07-03,6.5,6.511,6.5044,6.6937
2019-07-04,6.5,6.511,6.5087,6.6909
2019-07-05,6.5,6.511,6.5092,6.6789
2019-07-08,6.5,6.5094,6.5099,6.6795
2019-07-09,6.5,6.5102,6.5088,6.6766
2019-07-10,6.5,6.511,6.5099,6.6738
2019-07-11,6.5,6.5107,6.5099,6.6706
2019-07-12,6.5,6.5107,6.5099,6.6607
2019-07-15,6.5,6.5091,6.5099,6.6581
2019-07-16,6.5,6.5099,6.5099,6.655
2019-07-17,6.5,6.5107,6.5099,6.6517
2019-07-18,6.5,6.5107,6.5099,6.6486
2019-07-19,6.5,6.5103,6.5099,6.6382
2019-07-22,6.5,6.513,6.5099,6.6358
2019-07-23,6.5,6.5137,6.5099,6.6326
2019-07-24,6.5,6.5143,6.5099,6.6294
2019-07-25,6.5,6.5153,6.5099,6.6265
2019-07-26,6.5,6.5167,6.5058,6.6167
2019-07-29,6.5,6.5152,6.5089,6.6149
2019-07-30,6.5,6.5158,6.51,6.612
2019-07-31,6.5,6.5163,6.51,6.6109
2019-08-01,6.36,6.5169,6.511,6.6098
2019-08-02,6.5,6.5124,6.51,6.6056
2019-08-05,6.41,6.5123,6.5085,6.6062
2019-08-06,6.5,6.5078,6.5086,6.6049
2019-08-07,6.5,6.5086,6.5086,6.6042
2019-08-08,6.5,6.5095,6.5086,6.6027
2019-08-09,6.5,6.5095,6.5075,6.5974
2019-08-12,6.5,6.5094,6.5132,6.5972
2019-08-13,6.5,6.5078,6.5142,6.5959
2019-08-14,6.5,6.5086,6.5149,6.5953
2019-08-15,6.5,6.5095,6.5158,6.5943
2019-08-16,6.5,6.5095,6.5169,6.59
2019-08-19,6.5,6.5094,6.5159,6.5905
2019-08-20,6.5,6.5078,6.5169,6.5915
2019-08-21,6.5,6.5086,6.5169,6.5912
2019-08-22,6.5,6.5095,6.5169,6.5912
2019-08-23,6.5,6.5095,6.5169,6.5906
2019-08-26,6.5,6.5094,6.5313,6.5904
2019-08-27,6.5,6.5078,6.5321,6.589
2019-08-29,6.5,6.5094,6.5428,6.5862
2019-08-30,6.5,6.5094,6.5481,6.5868
2019-09-02,6.51,6.5139,6.5475,6.5826
2019-09-03,6.51,6.5129,6.5482,6.5834
2019-09-04,6.53,6.514,6.5484,6.5841
2019-09-05,7.0,6.5156,6.5487,6.5829
2019-09-06,7.0,6.5347,6.5542,6.5844
2019-09-09,7.0,6.5833,6.5704,6.5927
2019-09-10,7.0,6.6041,6.5763,6.5879
2019-09-11,7.0,6.6185,6.5817,6.5914
2019-09-12,7.0,6.632,6.5872,6.5928
2019-09-13,7.0,6.6482,6.5928,6.5942
2019-09-16,7.02,6.6968,6.6093,6.6005
2019-09-17,7.02,6.726,6.6151,6.604
2019-09-18,7.02,6.7371,6.6208,6.6076
2019-09-19,7.0,6.7475,6.6264,6.6105
2019-09-20,7.02,6.7637,6.632,6.6133
2019-09-23,7.0,6.8142,6.651,6.621
2019-09-24,7.0,6.8508,6.6561,6.6244
2019-09-25,7.0,6.8571,6.6619,6.6277
2019-09-26,7.51,6.8629,6.6679,6.6314
2019-09-27,7.51,6.8957,6.6794,6.6374
2019-09-30,7.5,6.9939,6.7135,6.6598
2019-10-01,7.51,7.0602,6.7235,6.6657
2019-10-02,7.52,7.0766,6.7346,6.6736
2019-10-03,7.51,7.1104,6.7459,6.6808
2019-10-04,7.5,7.144,6.757,6.6887
2019-10-07,7.5,7.2222,6.7922,6.7061
2019-10-08,7.5,7.2332,6.8012,6.7119
2019-10-09,7.5,7.2435,6.8123,6.7175
2019-10-10,7.5,7.2603,6.8234,6.7232
2019-10-11,7.5,7.277,6.8344,6.7288
2019-10-15,7.51,7.3544,6.8786,6.7514
