Date,EUFN,IXG,FM,EEM,TBCG,BGEO,CGEO,HSBK,AAZ,FTMC,AKBNK,MOEX,BIST
2018-01-01,,,,,,,,,,,1.69060879896168,,
2018-01-02,16.550600051879883,56.66155242919922,26.94036102294922,39.98330307006836,23.527037684155076,47.67810319791112,,0.04502019468655874,0.4445134673327538,279.43442117989065,1.744101225840185,,
2018-01-03,16.529464721679688,56.94417190551758,27.307659149169922,40.36640167236328,23.674822214026644,47.95050590636616,,0.04641883884799654,0.44730566814754635,282.0380896804342,1.7084470873721038,37.977209000145365,311.8111239018788
2018-01-04,16.81117820739746,57.56593704223633,27.595109939575195,40.56627655029297,23.015581669831302,47.7588709560188,,0.046794395279661956,0.4445134673327538,281.3124950402975,1.7069331176560094,38.88573334536569,313.17954070471706
2018-01-05,16.82526206970215,57.5578727722168,27.539215087890625,40.91604995727539,22.35734304429556,49.20201283589239,,0.048050646934801766,0.4458809966565968,283.6972162339557,1.7484791679534033,39.06144932361745,317.2183951748471
2018-01-08,16.775964736938477,57.65476608276367,27.56316566467285,40.91604995727539,22.50347292805847,49.28551223229035,,0.04880069662483095,0.43987045928852236,283.14690341073555,1.7246406076415455,39.06144932361745,317.2183951748471
2018-01-09,16.853435516357422,57.840484619140625,27.682937622070312,40.84942626953125,21.792840851485817,49.59327369580889,,0.051234466457959225,0.46001602562600513,283.30052480101585,1.692425956988579,39.423569690954686,310.20527707388743
2018-01-10,17.121065139770508,58.36534881591797,27.7867374420166,40.59125900268555,22.539144614237596,51.527186908353464,,0.051975968919502125,0.49916957361773256,280.9315625667572,1.6480927066403923,39.431572544138746,303.88929011569917
2018-01-11,17.339391708374023,58.80139923095703,28.082170486450195,40.841094970703125,22.883459326517766,52.07195155383088,,0.05345339758622686,0.5388623278435262,280.2267489021644,1.668700279395617,40.09719140097886,308.8258968062408
2018-01-12,17.557714462280273,59.39087677001953,28.289775848388672,41.23252487182617,23.121590412285002,50.91589260824112,,0.05423532810573875,0.5400225937195046,282.47546487665505,1.7002116364845687,40.25268032128984,310.92513550852107
2018-01-15,,,,,23.831059603597826,51.68942863452946,,0.055902645787157895,0.533955302255531,286.0980360919191,1.6383984403601592,40.466631781546724,299.8554179245414
2018-01-16,17.536590576171875,59.221275329589844,28.473424911499023,41.074283599853516,23.971660566659995,51.63234975088038,,0.05594152438488663,0.6052704714738502,288.0700404548831,1.6847528792492035,40.25035048077937,306.23815236832195
2018-01-17,17.635189056396484,59.73808288574219,28.561254501342773,41.61561965942383,23.780214094847906,51.57949778843788,,0.05571734165199587,0.5571471105308592,286.59308914088643,1.7131159337838762,40.30060466033716,309.14462818353906
2018-01-18,17.684486389160156,59.81077194213867,28.696996688842773,41.665584564208984,23.665231584254652,52.07437135877378,,0.05628916089985182,0.6272549171487117,285.7557889342308,1.7335412352499087,40.79750654032968,311.99165459168324
2018-01-19,17.754915237426758,60.14990997314453,28.68102264404297,42.00703811645508,23.862376630908404,52.32544205782207,,0.056560552730558704,0.602574711561274,286.9709713093238,1.6935136788478975,40.435412171426044,304.53068839534086
2018-01-22,17.966197967529297,60.577877044677734,28.864673614501953,42.24855422973633,24.189190011822213,52.70131316474872,,0.057916092730505395,0.5885914605665676,286.9335515117738,1.7535170008879557,41.11361164702292,314.441708056692
2018-01-23,17.92394256591797,60.698997497558594,28.720951080322266,42.448429107666016,24.32370166611217,52.86002943200001,,0.05738667390805574,0.5995136922123265,289.08343659269156,1.770851899377944,40.950444689374635,316.98389820854567
2018-01-24,18.071840286254883,61.01393127441406,28.744903564453125,42.806541442871094,24.352372189824237,52.34063963830238,,0.0589006854953368,0.6330501928079684,287.8959933900833,1.85807710202393,41.239951092459435,322.6839120030443
2018-01-25,18.071840286254883,60.81203842163086,28.593196868896484,42.781558990478516,24.30930297310901,53.18560701585142,,0.06045616464580746,0.6238109912575419,291.8371657298645,1.8479293632449483,41.80799056420271,321.7058405814162
2018-01-26,18.19157600402832,61.36113357543945,28.792814254760742,43.37284851074219,24.04760468709399,52.639499712862886,,0.060620411185552135,0.5924986104550134,291.7164035974,1.9201477195531451,41.136370485946195,326.9890064920898
2018-01-29,18.043670654296875,60.941246032714844,28.385591506958008,42.714935302734375,23.764005877057787,52.77674328497378,,0.06108061676032776,0.5642443263943278,291.16236797003074,1.9030336204658982,40.92802977602991,324.45852652413885
2018-01-30,17.832387924194336,60.41637420654297,28.034263610839844,42.131954193115234,22.464024978411036,51.86048596881883,,0.06076679134189476,0.547311736351744,286.7525565656577,1.848043674545846,40.69509163864131,319.42285783898336
2018-01-31,17.839427947998047,60.472896575927734,28.201942443847656,42.4984016418457,23.126444410322,51.67316888546455,,0.06017974405258031,0.5786207185964122,286.5660676748748,1.8756755698072658,40.91248788665719,320.9461613881595
2018-02-01,17.980289459228516,60.731285095214844,28.257837295532227,41.92375183105469,22.944721765267897,52.458552759147715,,0.0587378524208657,0.5662875200416237,286.64441436052323,1.8437885054967258,41.45588535182864,324.307301354831
2018-02-02,17.550674438476562,59.552364349365234,27.56316566467285,40.84942626953125,23.364423686037483,52.24845353841491,,0.059948568446475295,0.54048302143,284.80020347237587,1.8365926422338936,40.67859615380793,318.42477070230075
2018-02-05,16.8604793548584,57.041080474853516,25.99018096923828,39.416988372802734,22.63195198097121,50.02034845617658,,0.0588322597123539,0.5345950218146163,277.8593177014589,1.818941755332072,40.035554336415764,313.4560112599844
2018-02-06,17.14923667907715,57.945457458496094,26.732755661010742,40.699520111083984,21.946379927283413,46.42553193628788,,0.057675578741582856,0.5073922699369768,268.59181058446177,1.810038111040297,39.69179064942532,311.4270058142554
2018-02-07,16.980207443237305,57.48519515991211,26.828582763671875,39.416988372802734,21.94215836688556,48.978588101288764,,0.05819580995749163,0.5566438647023005,274.87016392557416,1.7778421496065933,39.25512177233399,308.8366236356621
2018-02-08,16.599897384643555,55.60374450683594,26.43732452392578,38.051185607910156,21.706693392942544,48.395678459463525,,0.05900370984124436,0.5258025611419589,268.25397494839973,1.7275372866109313,38.43298926946466,304.0147377864905
2018-02-09,16.67032241821289,56.17704391479492,26.53314208984375,38.65913772583008,21.904854757619322,47.50704729263321,,0.05558086203393032,0.5487514680220738,267.7949175477028,1.7442715114983083,37.95090602450769,302.1719456532091
2018-02-12,16.87456703186035,56.8068962097168,26.724777221679688,39.26707458496094,21.818493464228812,47.250707026406886,,0.05628682194259682,0.5927658168459857,267.96599449818956,1.771354567654569,38.65519070016828,306.01226879412826
2018-02-13,16.853435516357422,56.952247619628906,26.828582763671875,39.56689453125,21.885384026393876,47.03217767297756,,0.057070306736613924,0.5731182320332664,267.6284731374588,1.7569319781061203,39.269928267642925,304.11716535198826
