Date,US5Y,US2Y,US10Y
2018-01-02,2.25,1.378000020980835,2.4649999141693115
2018-01-03,2.246999979019165,1.3700000047683716,2.447000026702881
2018-01-04,2.2679998874664307,1.3700000047683716,2.453000068664551
2018-01-05,2.2850000858306885,1.3700000047683716,2.4760000705718994
2018-01-08,2.2850000858306885,1.3799999952316284,2.4800000190734863
2018-01-09,2.3239998817443848,1.4149999618530273,2.5460000038146973
2018-01-10,2.328000068664551,1.3949999809265137,2.549999952316284
2018-01-11,2.313999891281128,1.402999997138977,2.5309998989105225
2018-01-12,2.3469998836517334,1.409999966621399,2.552000045776367
2018-01-16,2.3550000190734863,1.3949999809265137,2.5439999103546143
2018-01-17,2.3940000534057617,1.4149999618530273,2.578000068664551
2018-01-18,2.4100000858306885,1.4049999713897705,2.6110000610351562
2018-01-19,2.436000108718872,1.402999997138977,2.63700008392334
2018-01-22,2.4609999656677246,1.3899999856948853,2.6649999618530273
2018-01-23,2.4210000038146973,1.4129999876022339,2.624000072479248
2018-01-24,2.440999984741211,1.409999966621399,2.6540000438690186
2018-01-25,2.4200000762939453,1.3930000066757202,2.621000051498413
2018-01-26,2.4700000286102295,1.3880000114440918,2.6619999408721924
2018-01-29,2.494999885559082,1.375,2.6989998817443848
2018-01-30,2.506999969482422,1.4249999523162842,2.7260000705718994
2018-01-31,2.5239999294281006,1.4299999475479126,2.7200000286102295
2018-02-01,2.559000015258789,1.4529999494552612,2.7730000019073486
2018-02-02,2.5989999771118164,1.4500000476837158,2.8540000915527344
2018-02-05,2.5209999084472656,1.4579999446868896,2.7939999103546143
2018-02-06,2.507999897003174,1.4880000352859497,2.7679998874664307
2018-02-07,2.565000057220459,1.5149999856948853,2.8440001010894775
2018-02-08,2.568000078201294,1.5149999856948853,2.8510000705718994
2018-02-09,2.5160000324249268,1.524999976158142,2.8289999961853027
2018-02-12,2.555000066757202,1.534999966621399,2.8570001125335693
2018-02-13,2.5490000247955322,1.5700000524520874,2.8399999141693115
2018-02-14,2.640000104904175,1.5499999523162842,2.9130001068115234
2018-02-15,2.634999990463257,1.559999942779541,2.8910000324249268
2018-02-16,2.625999927520752,1.5700000524520874,2.877000093460083
2018-02-20,2.6480000019073486,1.5729999542236328,2.8929998874664307
2018-02-21,2.678999900817871,1.6080000400543213,2.943000078201294
2018-02-22,2.6519999504089355,1.6050000190734863,2.9170000553131104
2018-02-23,2.618000030517578,1.6050000190734863,2.871000051498413
2018-02-26,2.6070001125335693,1.6080000400543213,2.8589999675750732
2018-02-27,2.6689999103546143,1.6349999904632568,2.9079999923706055
2018-02-28,2.6500000953674316,1.6180000305175781,2.868000030517578
2018-03-01,2.575000047683716,1.590000033378601,2.803999900817871
2018-03-02,2.622999906539917,1.6050000190734863,2.8570001125335693
2018-03-05,2.6440000534057617,1.625,2.88100004196167
2018-03-06,2.6449999809265137,1.6430000066757202,2.877000093460083
2018-03-07,2.6489999294281006,1.649999976158142,2.882999897003174
2018-03-08,2.632999897003174,1.6349999904632568,2.865999937057495
2018-03-09,2.6540000438690186,1.6349999904632568,2.8940000534057617
2018-03-12,2.634999990463257,1.6430000066757202,2.869999885559082
2018-03-13,2.630000114440918,1.690000057220459,2.8480000495910645
2018-03-14,2.6059999465942383,1.718000054359436,2.816999912261963
2018-03-15,2.621999979019165,1.7330000400543213,2.8259999752044678
2018-03-16,2.6449999809265137,1.7380000352859497,2.8480000495910645
2018-03-19,2.6419999599456787,1.7280000448226929,2.8450000286102295
2018-03-20,2.680999994277954,1.7580000162124634,2.878999948501587
2018-03-21,2.697999954223633,1.7100000381469727,2.9070000648498535
2018-03-22,2.631999969482422,1.6829999685287476,2.8320000171661377
2018-03-23,2.6110000610351562,1.687999963760376,2.8299999237060547
2018-03-26,2.634999990463257,1.7050000429153442,2.8429999351501465
2018-03-27,2.5789999961853027,1.7330000400543213,2.7860000133514404
2018-03-28,2.5889999866485596,1.6950000524520874,2.7750000953674316
2018-03-29,2.562000036239624,1.6699999570846558,2.740999937057495
2018-04-02,2.5490000247955322,1.6829999685287476,2.7320001125335693
2018-04-03,2.6040000915527344,1.7130000591278076,2.7839999198913574
2018-04-04,2.6059999465942383,1.6679999828338623,2.7880001068115234
2018-04-05,2.640000104904175,1.6749999523162842,2.8320000171661377
2018-04-06,2.5889999866485596,1.6799999475479126,2.7750000953674316
2018-04-09,2.6010000705718994,1.6749999523162842,2.7860000133514404
2018-04-10,2.625,1.6950000524520874,2.796999931335449
2018-04-11,2.619999885559082,1.6929999589920044,2.7899999618530273
2018-04-12,2.6710000038146973,1.7050000429153442,2.8340001106262207
2018-04-13,2.6760001182556152,1.718000054359436,2.8289999961853027
2018-04-16,2.683000087738037,1.7130000591278076,2.8320000171661377
2018-04-17,2.677999973297119,1.7549999952316284,2.813999891281128
2018-04-18,2.7309999465942383,1.7699999809265137,2.867000102996826
2018-04-19,2.759999990463257,1.7829999923706055,2.9140000343322754
2018-04-20,2.7929999828338623,1.7649999856948853,2.9509999752044678
2018-04-23,2.819000005722046,1.7829999923706055,2.9730000495910645
2018-04-24,2.811000108718872,1.8229999542236328,2.9830000400543213
2018-04-25,2.8350000381469727,1.815000057220459,3.0239999294281006
2018-04-26,2.819000005722046,1.784999966621399,2.990000009536743
2018-04-27,2.8010001182556152,1.7699999809265137,2.9570000171661377
2018-04-30,2.7890000343322754,1.7630000114440918,2.936000108718872
2018-05-01,2.821000099182129,1.809999942779541,2.9760000705718994
2018-05-02,2.802000045776367,1.784999966621399,2.9639999866485596
2018-05-03,2.7820000648498535,1.7879999876022339,2.946000099182129
2018-05-04,2.7799999713897705,1.7929999828338623,2.944000005722046
2018-05-07,2.7839999198913574,1.7929999828338623,2.950000047683716
2018-05-08,2.808000087738037,1.8350000381469727,2.9690001010894775
2018-05-09,2.8380000591278076,1.8450000286102295,3.003999948501587
2018-05-10,2.8329999446868896,1.8450000286102295,2.9709999561309814
2018-05-11,2.8380000591278076,1.8600000143051147,2.9709999561309814
2018-05-14,2.8519999980926514,1.8550000190734863,2.994999885559082
2018-05-15,2.924999952316284,1.875,3.0799999237060547
2018-05-16,2.934000015258789,1.8650000095367432,3.0950000286102295
2018-05-17,2.931999921798706,1.8630000352859497,3.1089999675750732
2018-05-18,2.8919999599456787,1.8550000190734863,3.066999912261963
2018-05-21,2.8980000019073486,1.8630000352859497,3.065000057220459
2018-05-22,2.8989999294281006,1.8930000066757202,3.065000057220459
2018-05-23,2.8299999237060547,1.8730000257492065,3.003000020980835
2018-05-24,2.815999984741211,1.8600000143051147,2.9809999465942383
2018-05-25,2.7639999389648438,1.8530000448226929,2.930999994277954
2018-05-29,2.5759999752044678,1.840000033378601,2.7679998874664307
2018-05-30,2.6730000972747803,1.878000020980835,2.8420000076293945
2018-05-31,2.6640000343322754,1.8700000047683716,2.822000026702881
2018-06-01,2.73799991607666,1.8680000305175781,2.8949999809265137
2018-06-04,2.7850000858306885,1.8650000095367432,2.937000036239624
2018-06-05,2.76200008392334,1.902999997138977,2.9189999103546143
2018-06-06,2.812999963760376,1.899999976158142,2.9749999046325684
2018-06-07,2.7769999504089355,1.8849999904632568,2.933000087738037
2018-06-08,2.7750000953674316,1.8799999952316284,2.937000036239624
2018-06-11,2.802000045776367,1.8680000305175781,2.9570000171661377
2018-06-12,2.808000087738037,1.8880000114440918,2.9570000171661377
2018-06-13,2.8399999141693115,1.8949999809265137,2.9769999980926514
2018-06-14,2.815999984741211,1.8830000162124634,2.946000099182129
2018-06-15,2.7990000247955322,1.8880000114440918,2.9240000247955322
2018-06-18,2.7990000247955322,1.8830000162124634,2.9260001182556152
2018-06-19,2.7669999599456787,1.8980000019073486,2.8929998874664307
2018-06-20,2.7960000038146973,1.8880000114440918,2.927999973297119
2018-06-21,2.7669999599456787,1.8899999856948853,2.8970000743865967
2018-06-22,2.7739999294281006,1.8700000047683716,2.9000000953674316
2018-06-25,2.743000030517578,1.8530000448226929,2.875
2018-06-26,2.747999906539917,1.8930000066757202,2.880000114440918
2018-06-27,2.697000026702881,1.8799999952316284,2.8269999027252197
2018-06-28,2.7260000705718994,1.8799999952316284,2.8469998836517334
2018-06-29,2.7309999465942383,1.8799999952316284,2.8489999771118164
2018-07-02,2.753000020980835,1.8949999809265137,2.865999937057495
2018-07-03,2.7300000190734863,1.9329999685287476,2.8380000591278076
2018-07-05,2.740999937057495,1.909999966621399,2.8399999141693115
2018-07-06,2.7230000495910645,1.9049999713897705,2.8310000896453857
2018-07-09,2.752000093460083,1.9149999618530273,2.859999895095825
2018-07-10,2.7720000743865967,1.934999942779541,2.872999906539917
2018-07-11,2.740000009536743,1.9199999570846558,2.8420000076293945
2018-07-12,2.755000114440918,1.9279999732971191,2.8529999256134033
2018-07-13,2.7269999980926514,1.9279999732971191,2.8310000896453857
2018-07-16,2.753999948501587,1.937999963760376,2.8580000400543213
2018-07-17,2.763000011444092,1.975000023841858,2.864000082015991
2018-07-18,2.7679998874664307,1.9600000381469727,2.875
2018-07-19,2.740000009536743,1.9479999542236328,2.8469998836517334
2018-07-20,2.7679998874664307,1.9329999685287476,2.8949999809265137
2018-07-23,2.828000068664551,1.9199999570846558,2.9649999141693115
2018-07-24,2.818000078201294,1.9600000381469727,2.9489998817443848
2018-07-25,2.813999891281128,1.9529999494552612,2.936000108718872
2018-07-26,2.8580000400543213,1.9450000524520874,2.9749999046325684
2018-07-27,2.8459999561309814,1.9450000524520874,2.9600000381469727
2018-07-30,2.8499999046325684,1.9450000524520874,2.9749999046325684
2018-07-31,2.8480000495910645,1.9850000143051147,2.9639999866485596
2018-08-01,2.875,1.9780000448226929,3.003000020980835
2018-08-02,2.8529999256134033,1.965000033378601,2.9860000610351562
2018-08-03,2.815999984741211,1.9600000381469727,2.953000068664551
2018-08-06,2.805999994277954,1.968000054359436,2.937999963760376
2018-08-07,2.8410000801086426,2.007999897003174,2.9730000495910645
2018-08-08,2.8380000591278076,2.007999897003174,2.9709999561309814
