Date,Georgian Market,Model Explanation
2025-01-02,-0.003472387830386717,0.00931183956956307
2025-01-03,0.0061879380280504374,0.00587793032753132
2025-01-06,0.011879008640152632,0.007132926811131127
2025-01-07,-0.007433997394032978,-0.0008126637575754728
2025-01-08,-0.023878670279554447,-0.018459201982076474
2025-01-09,-0.0353828785246824,-0.014770275140359234
2025-01-10,-0.05798546521363484,-0.023055705332712832
2025-01-13,-0.0832742332172353,-0.02091721323244414
2025-01-14,-0.07516961632000661,-0.021967633515933647
2025-01-15,-0.036940078151340594,0.0010539616764602237
2025-01-16,-0.03916699948252225,0.013010530766875455
2025-01-17,-0.034742535650917394,0.01852201191649656
2025-01-20,-0.033170791669391936,0.015108566214063974
2025-01-21,-0.01879060009427244,0.020786109752110735
2025-01-22,-0.021545732293486372,0.0215885444898975
2025-01-23,-0.0168278402206119,0.020648422714422215
2025-01-24,-0.010962802638223409,0.016186842286618878
2025-01-27,-0.029438560778095722,0.006254238905645897
2025-01-28,-0.01717846335893317,0.017756846805642792
2025-01-29,0.03823235017668304,0.014791980335643188
2025-01-30,0.021392360814826424,0.02231063684246782
2025-01-31,0.018440251940392876,0.03325473199199155
2025-02-03,0.013481641855643784,0.022025107773973658
2025-02-04,0.00929023040613825,0.01535396138273221
2025-02-05,0.003018071383971585,0.01724714395121426
2025-02-06,0.040421693290302235,0.034105465448272705
2025-02-07,0.0398287273727201,0.027184239817553822
2025-02-10,0.05220612571030244,0.0352839046929144
2025-02-11,0.07407333302989835,0.034921355499614226
2025-02-12,0.1313356763432422,0.03973924329137977
2025-02-13,0.12903785682821442,0.04821852298795531
2025-02-14,0.13537153258602524,0.042558593387559934
2025-02-17,0.14022676970094608,0.047945430365653345
2025-02-18,0.1417624910828794,0.0476709078123234
2025-02-19,0.12882000934909751,0.038195624119962315
2025-02-20,0.13696304683917523,0.03116508876614036
2025-02-21,0.18334358991275046,0.02731457672751844
2025-02-24,0.20887755042994083,0.02529277459190437
2025-02-25,0.2370553673434052,0.02296461392118207
2025-02-26,0.2639355139668595,0.02661750933406523
2025-02-27,0.24546307732073777,0.018890901644903448
2025-02-28,0.2281522425591659,0.015482324454510732
2025-03-03,0.23227835977097644,0.020262408261320967
2025-03-04,0.20764545538927487,-0.00021446597112101048
2025-03-05,0.25474484853140533,0.009631751789846283
2025-03-06,0.26212314421890703,0.012061343745849554
2025-03-07,0.26003135802285765,0.01154699120319934
2025-03-10,0.22635965932186747,-0.002098488388297041
2025-03-11,0.19092792488030874,-0.001697773101002763
2025-03-12,0.22566417403721656,0.0056643147263801845
2025-03-13,0.22223723527963443,-0.009134625878984323
2025-03-14,0.275353143872492,0.009718588593885476
2025-03-17,0.26774560605892267,0.015708721472673565
2025-03-18,0.3035861263974888,0.018528663874384985
2025-03-19,0.29486035325487814,0.010172039891199594
2025-03-20,0.28401905197696814,0.005776659305415623
2025-03-21,0.27674255964015376,-0.007528424166970296
2025-03-24,0.26525872091791747,-0.0024857936185166477
2025-03-25,0.278479773736339,0.002120901817879459
2025-03-26,0.29029188565683517,0.004816201593445792
2025-03-27,0.27007033264906366,0.010665322229497422
2025-03-28,0.25874717523563306,0.0065566120734220695
2025-03-31,0.23374646794667284,-0.013048396408091838
2025-04-01,0.2501010302447317,-0.01032272012418857
2025-04-02,0.2561886115962855,-0.006937932764393926
2025-04-03,0.20517203073545331,-0.04608244418346439
2025-04-04,0.08128408778513137,-0.10858946329895477
2025-04-07,0.03461746527732344,-0.13820010150859463
2025-04-08,0.08488370853355459,-0.09865671023673718
2025-04-09,0.042859112640975416,-0.12938284579125023
2025-04-10,0.13910631863544543,-0.0826660288733429
2025-04-11,0.13122786736242198,-0.07866537464237995
2025-04-14,0.17420660155916384,-0.054889487167835205
2025-04-15,0.19881198055308016,-0.03856875766234515
2025-04-16,0.19380736536736173,-0.039152720739873956
2025-04-17,0.18897843488421978,-0.04139595392668772
2025-04-22,0.23653072032153766,-0.034962773922506185
2025-04-23,0.271632985099213,-0.01785291276044672
2025-04-24,0.2754908841732454,-0.018763000786150064
2025-04-25,0.29641425196551663,-0.007640331381449624
2025-04-28,0.31679567617497906,-0.005197420028241399
2025-04-29,0.33644901441343156,-0.0056747333737347805
2025-04-30,0.3363053213052056,-0.004538287945933993
2025-05-01,0.3682960757142654,0.0037259312770824247
2025-05-02,0.35202883358408527,0.020143173407603743
2025-05-05,0.35118395808181413,0.016297762015332215
2025-05-06,0.3784411479444486,0.0237386201248677
2025-05-07,0.4101373290919918,0.026390695998305028
2025-05-08,0.3802262636006775,0.035285605026751904
2025-05-09,0.40634684124461573,0.03766469979122582
2025-05-12,0.42514201216461706,0.05305845413289592
2025-05-13,0.43698011731967384,0.06086794590047809
2025-05-14,0.4176259999270353,0.06402488409538773
2025-05-15,0.3632958670856433,0.05718899613652861
2025-05-16,0.39611711011764655,0.06089324917357127
2025-05-19,0.39800498255815586,0.06861792367458312
2025-05-20,0.3933282192694177,0.0708839982790711
2025-05-21,0.404788716578715,0.06943357704437551
2025-05-22,0.42585472879737385,0.05914383811277425
2025-05-23,0.42276424353781267,0.0512119148709784
2025-05-26,0.42191936803554153,0.04680085299979006
2025-05-27,0.43032192316338597,0.053276443416936714
2025-05-28,0.39186723510321636,0.05302789072542419
2025-05-29,0.3918280729305794,0.05451367595043069
2025-05-30,0.4011669136059892,0.05860265990472846
2025-06-02,0.3922780283870674,0.05930946432357293
2025-06-03,0.39537876383298076,0.05981672053909318
2025-06-04,0.4225542384646749,0.06147085152356163
2025-06-05,0.41259691372286805,0.061234319429688495
2025-06-06,0.42392266130245476,0.06572556700148816
2025-06-09,0.4170304665203068,0.06656156520400751
2025-06-10,0.39875253560495877,0.06970584892332277
2025-06-11,0.40071881609203513,0.0692009166821381
2025-06-12,0.40668711952635384,0.068643847860166
2025-06-13,0.384425389734843,0.06542609637247837
2025-06-16,0.3809019896236229,0.06813138982307748
