date,actual,predicted,split_date,is_hit
2025-01-02,-0.003472387830386717,-0.00020172998194378745,2025-01-01,1
2025-01-03,0.009660325858437154,0.001216385102045019,2025-01-01,1
2025-01-06,0.005691070612102194,0.00033314981249312685,2025-01-01,1
2025-01-07,-0.01931300603418561,0.00037405710380681754,2025-01-01,0
2025-01-08,-0.01644467288552147,-0.0011962954626241373,2025-01-01,1
2025-01-09,-0.011504208245127958,-0.0004207159745809807,2025-01-01,1
2025-01-10,-0.022602586688952438,0.000923060655395291,2025-01-01,0
2025-01-13,-0.025288768003600467,-0.001205148200149281,2025-01-01,1
2025-01-14,0.00810461689722869,-0.0008501623216758916,2025-01-01,0
2025-01-15,0.03822953816866602,-0.0003744716092605035,2025-01-01,0
2025-01-16,-0.002226921331181657,0.0042810068918761445,2025-01-01,0
2025-01-17,0.004424463831604858,-0.0006396720932835196,2025-01-01,0
2025-01-20,0.0015717439815254588,6.27924645245847e-06,2025-01-01,1
2025-01-21,0.014380191575119492,-0.0009520225583214483,2025-01-01,0
2025-01-22,-0.0027551321992139305,0.0014786406447138732,2025-01-01,0
2025-01-23,0.004717892072874472,-0.0016467648112659218,2025-01-01,0
2025-01-24,0.005865037582388491,0.00030882797488494893,2025-01-01,1
2025-01-27,-0.018475758139872313,-0.0006923709350006248,2025-01-01,1
2025-01-28,0.012260097419162553,-0.0016408839245883556,2025-01-01,0
2025-01-29,0.055410813535616214,-0.0007778169379906742,2025-01-01,0
2025-01-30,-0.016839989361856617,0.0005549394724591793,2025-01-01,0
2025-01-31,-0.0029521088744335487,0.001580651497015952,2025-01-01,0
2025-02-03,-0.004958610084749091,-0.0009384222869056459,2025-01-01,1
2025-02-04,-0.004191411449505534,-0.0010976176660292807,2025-01-01,1
2025-02-05,-0.006272159022166665,0.00010429723967044565,2025-01-01,0
2025-02-06,0.03740362190633065,0.0011747375871920137,2025-01-01,1
2025-02-07,-0.0005929659175821363,0.001009797059395689,2025-01-01,0
2025-02-10,0.01237739833758234,0.0001574640144693238,2025-01-01,1
