Factor,Share
Global equities,0.5188431923005471
Regional equities,0.18346962566506245
US Treasury rates,0.13210627459102137
Commodity volumes,0.041118104108313354
Crypto,0.03179422664600229
Local currency,0.026979452508800766
Commodities,0.02681543186247013
Crypto volumes,0.024641033821334812
Regional ICE bond indices,0.01208390405192287
Regional market volumes,0.0011621889665184599
Local interest rates,0.0009865654780064634
