Date,Price,,,
3/18/2022,81.45,,,
3/21/2022,82.9,,,
3/22/2022,81.93,,,
3/23/2022,81.89,,,
3/24/2022,82.55,,,
3/25/2022,83.65,,,
3/28/2022,82.59,,,
3/29/2022,82.52,,,
3/30/2022,83.41,,,
3/31/2022,85.41,,,
4/1/2022,85.57,,,
4/4/2022,85.13,,,
4/5/2022,85.59,,,
4/6/2022,85.41,,,
4/7/2022,85.68,,,
4/8/2022,85.91,,,
4/11/2022,86.11,,,
4/12/2022,86.13,,,
4/13/2022,86.61,,,
4/14/2022,86.32,,,
4/19/2022,86.25,,,
4/20/2022,86,,,
4/21/2022,85.89,,,
4/22/2022,85.9,,,
4/25/2022,85.9,,,
4/26/2022,85.81,,,
4/27/2022,85.77,,,
4/28/2022,85.71,,,
4/29/2022,85.7,,,
5/2/2022,85.75,,,
5/3/2022,85.61,,,
5/4/2022,85.75,,,
5/5/2022,85.67,,,
5/6/2022,85.63,,,
5/9/2022,85.71,,,
5/10/2022,85.57,,,
5/11/2022,85.56,,,
5/12/2022,85.58,,,
5/13/2022,85.64,,,
5/16/2022,85.61,,,
5/17/2022,85.6,,,
5/18/2022,85.66,,,
5/19/2022,85.72,,,
5/20/2022,85.66,,,
5/23/2022,85.4,,,
5/24/2022,85.39,,,
5/25/2022,85.32,,,
5/26/2022,85.37,,,
5/27/2022,85.35,,,
5/30/2022,85.37,,,
5/31/2022,85.3,,,
6/1/2022,85.45,,,
6/2/2022,85.86,,,
6/3/2022,85.86,,,
6/6/2022,85.58,,,
6/7/2022,85.79,,,
6/8/2022,85.67,,,
6/9/2022,85.67,,,
6/10/2022,85.34,,,
6/13/2022,84.44,,,
6/14/2022,84.01,,,
6/15/2022,85.13,,,
6/16/2022,84.11,,,
6/17/2022,83.25,,,
6/20/2022,84.7,,,
6/21/2022,83.64,,,
6/22/2022,82.86,,,
6/23/2022,82.83,,,
6/24/2022,82.72,,,
6/27/2022,82.67,,,
6/28/2022,82.7,,,
6/29/2022,82.47,,,
6/30/2022,82.32,,,
7/1/2022,81.93,,,
7/4/2022,82.71,,,
7/5/2022,82.68,,,
7/6/2022,82.93,,,
7/7/2022,82.87,,,
7/8/2022,82.87,,,
7/11/2022,82.87,,,
7/12/2022,82.79,,,
7/13/2022,82.41,,,
7/14/2022,82.56,,,
7/15/2022,82.53,,,
7/18/2022,81.97,,,
7/19/2022,81.55,,,
7/20/2022,82.18,,,
7/21/2022,82.19,,,
7/22/2022,82.56,,,
7/25/2022,83.27,,,
7/26/2022,83.3,,,
7/27/2022,83.38,,,
7/28/2022,83.92,,,
7/29/2022,84.62,,,
8/1/2022,84.74,,,
8/2/2022,84.87,,,
8/3/2022,84.84,,,
8/4/2022,85.23,,,
8/5/2022,85.51,,,
8/8/2022,85.69,,,
8/9/2022,85.74,,,
8/10/2022,85.71,,,
8/11/2022,85.92,,,
8/12/2022,85.91,,,
8/15/2022,85.92,,,
8/16/2022,86.14,,,
8/17/2022,86.55,,,
8/18/2022,86.36,,,
8/19/2022,86.31,,,
8/22/2022,86.29,,,
8/23/2022,86.43,,,
8/24/2022,86.18,,,
8/25/2022,86.18,,,
8/26/2022,86.18,,,
8/29/2022,86.41,,,
8/30/2022,86.55,,,
8/31/2022,86.48,,,
9/1/2022,86.45,,,
9/2/2022,86.47,,,
9/5/2022,86.74,,,
9/6/2022,86.74,,,
9/7/2022,86.71,,,
9/8/2022,86.89,,,
9/9/2022,86.88,,,
9/12/2022,86.79,,,
9/13/2022,86.97,,,
9/14/2022,86.3,,,
9/15/2022,86.19,,,
9/16/2022,86.53,,,
9/19/2022,86.34,,,
9/20/2022,86.48,,,
9/21/2022,86.41,,,
9/22/2022,86.51,,,
9/23/2022,86.42,,,
9/26/2022,85.79,,,
9/27/2022,86.17,,,
9/28/2022,85.24,,,
9/29/2022,85.5,,,
9/30/2022,85,,,
10/3/2022,84.99,,,
10/4/2022,85.01,,,
10/5/2022,85.01,,,
10/6/2022,85.13,,,
10/7/2022,85.11,,,
10/10/2022,85.03,,,
10/11/2022,84.81,,,
10/12/2022,84.84,,,
10/13/2022,84.55,,,
10/14/2022,84.61,,,
10/17/2022,84.53,,,
10/18/2022,84.58,,,
10/19/2022,84.66,,,
10/20/2022,84.55,,,
10/21/2022,84.59,,,
10/24/2022,84.57,,,
10/25/2022,84.59,,,
10/26/2022,85,,,
10/27/2022,84.94,,,
10/28/2022,84.4,,,
10/31/2022,84.81,,,
11/1/2022,84.26,,,
11/2/2022,84.77,,,
11/3/2022,84.58,,,
11/4/2022,84.78,,,
11/7/2022,84.83,,,
11/8/2022,84.86,,,
11/9/2022,84.86,,,
11/10/2022,84.8,,,
11/11/2022,86.5,,,
11/14/2022,86.3,,,
11/15/2022,87.22,,,
11/16/2022,87.33,,,
11/17/2022,87.59,,,
11/18/2022,87.33,,,
11/21/2022,87.39,,,
11/22/2022,87.41,,,
11/23/2022,87.5,,,
11/24/2022,87.98,,,
11/25/2022,87.82,,,
11/28/2022,88.16,,,
11/29/2022,88.38,,,
11/30/2022,89.09,,,
12/1/2022,90.05,,,
12/2/2022,90.04,,,
12/5/2022,90.06,,,
12/6/2022,90.33,,,
12/7/2022,90.18,,,
12/8/2022,90.22,,,
12/9/2022,90.13,,,
12/12/2022,90.24,,,
12/13/2022,90.3,,,
12/14/2022,90.55,,,
12/15/2022,90.51,,,
12/16/2022,90.53,,,
12/19/2022,90.57,,,
12/20/2022,90.6,,,
12/21/2022,90.62,,,
12/22/2022,90.58,,,
12/23/2022,90.67,,,
12/27/2022,90.48,,,
12/28/2022,90.43,,,
12/29/2022,90.35,,,
12/30/2022,90.42,,,
1/2/2023,90.39,,,
1/3/2023,90.39,,,
1/4/2023,90.55,,,
1/5/2023,90.57,,,
1/6/2023,90.55,,,
1/9/2023,90.72,,,
1/10/2023,90.64,,,
1/11/2023,90.59,,,
1/12/2023,90.85,,,
1/13/2023,90.92,,,
1/16/2023,90.82,,,
1/17/2023,90.79,,,
1/18/2023,91.11,,,
1/19/2023,91.02,,,
1/20/2023,91.42,,,
1/23/2023,91.37,,,
1/24/2023,91.33,,,
1/25/2023,91.34,,,
1/26/2023,91.41,,,
1/27/2023,91.37,,,
1/30/2023,91.4,,,
1/31/2023,91.6,,,
2/1/2023,91.63,,,
2/2/2023,91.8,,,
2/3/2023,91.92,,,
2/6/2023,91.38,,,
2/7/2023,90.97,,,
2/8/2023,91.53,,,
2/9/2023,91.58,,,
2/10/2023,91.67,,,
2/13/2023,91.42,,,
2/14/2023,91.48,,,
2/15/2023,91.39,,,
2/16/2023,91.19,,,
2/17/2023,91.26,,,
2/20/2023,90.9,,,
2/21/2023,90.63,,,
2/22/2023,90.58,,,
2/23/2023,90.65,,,
2/24/2023,90.65,,,
2/27/2023,90.69,,,
2/28/2023,90.74,,,
3/1/2023,90.69,,,
3/2/2023,90.55,,,
3/3/2023,90.5,,,
3/6/2023,90.46,,,
3/7/2023,90.46,,,
3/8/2023,90.3,,,
3/9/2023,89.92,,,
3/10/2023,89.34,,,
3/13/2023,89.29,,,
3/14/2023,89.13,,,
3/15/2023,89.15,,,
3/16/2023,89.13,,,
3/17/2023,89.1,,,
3/20/2023,89.06,,,
3/21/2023,89.05,,,
3/22/2023,89.02,,,
3/23/2023,88.95,,,
3/24/2023,88.62,,,
3/27/2023,88.79,,,
3/28/2023,88.77,,,
3/29/2023,88.77,,,
3/30/2023,88.8,,,
3/31/2023,88.8,,,
4/3/2023,88.88,,,
4/4/2023,88.95,,,
4/5/2023,89,,,
4/6/2023,89.11,,,
4/11/2023,89.57,,,
4/12/2023,89.69,,,
4/13/2023,89.69,,,
4/14/2023,89.72,,,
4/17/2023,89.66,,,
4/18/2023,89.79,,,
4/19/2023,89.79,,,
4/20/2023,89.95,,,
4/21/2023,89.95,,,
4/24/2023,89.66,,,
4/25/2023,89.57,,,
4/26/2023,89.67,,,
4/27/2023,89.65,,,
4/28/2023,89.65,,,
5/2/2023,89.52,,,
5/3/2023,89.38,,,
5/4/2023,89.21,,,
5/5/2023,89.31,,,
5/8/2023,89.5,,,
5/9/2023,89.25,,,
5/10/2023,89.24,,,
5/11/2023,89.54,,,
5/12/2023,89.34,,,
5/15/2023,89.32,,,
5/16/2023,89.58,,,
5/17/2023,89.55,,,
5/18/2023,89.65,,,
5/19/2023,89.65,,,
5/22/2023,89.48,,,
5/23/2023,89.65,,,
5/24/2023,89.66,,,
5/25/2023,89.65,,,
