Date,Price,,,
9/21/2020,109.49%,,,
9/22/2020,108.62%,,,
9/23/2020,108.64%,,,
9/24/2020,107.80%,,,
9/25/2020,107.78%,,,
9/28/2020,106.96%,,,
9/29/2020,105.14%,,,
9/30/2020,104.99%,,,
10/1/2020,105.03%,,,
10/2/2020,105.56%,,,
10/5/2020,105.50%,,,
10/6/2020,105.85%,,,
10/7/2020,105.84%,,,
10/8/2020,106.20%,,,
10/9/2020,106.21%,,,
10/12/2020,108.62%,,,
10/13/2020,108.68%,,,
10/14/2020,108.51%,,,
10/15/2020,107.76%,,,
10/16/2020,107.77%,,,
10/19/2020,107.81%,,,
10/20/2020,107.44%,,,
10/21/2020,107.73%,,,
10/22/2020,107.52%,,,
10/23/2020,107.50%,,,
10/26/2020,107.29%,,,
10/27/2020,107.30%,,,
10/28/2020,106.82%,,,
10/29/2020,106.73%,,,
10/30/2020,106.46%,,,
11/2/2020,106.44%,,,
11/3/2020,106.46%,,,
11/4/2020,106.68%,,,
11/5/2020,107.37%,,,
11/6/2020,107.38%,,,
11/9/2020,107.73%,,,
11/10/2020,107.91%,,,
11/11/2020,108.84%,,,
11/12/2020,109.27%,,,
11/13/2020,110.80%,,,
11/16/2020,110.81%,,,
11/17/2020,110.81%,,,
11/18/2020,110.81%,,,
11/19/2020,110.81%,,,
11/20/2020,109.84%,,,
11/23/2020,109.85%,,,
11/24/2020,109.85%,,,
11/25/2020,110.14%,,,
11/26/2020,109.89%,,,
11/27/2020,110.15%,,,
11/30/2020,110.03%,,,
12/1/2020,110.50%,,,
12/2/2020,111.72%,,,
12/3/2020,112.00%,,,
12/4/2020,113.19%,,,
12/7/2020,113.49%,,,
12/8/2020,113.07%,,,
12/9/2020,112.90%,,,
12/10/2020,113.10%,,,
12/11/2020,113.09%,,,
12/14/2020,113.08%,,,
12/15/2020,113.07%,,,
12/16/2020,113.07%,,,
12/17/2020,113.08%,,,
12/18/2020,113.29%,,,
12/21/2020,113.08%,,,
12/22/2020,113.06%,,,
12/23/2020,113.29%,,,
12/28/2020,112.86%,,,
12/29/2020,112.92%,,,
12/30/2020,112.91%,,,
1/4/2021,113.11%,,,
1/5/2021,113.12%,,,
1/6/2021,112.99%,,,
1/7/2021,112.66%,,,
1/8/2021,112.56%,,,
1/11/2021,112.52%,,,
1/12/2021,112.40%,,,
1/13/2021,112.05%,,,
1/14/2021,112.11%,,,
1/15/2021,112.06%,,,
1/18/2021,112.02%,,,
1/19/2021,111.96%,,,
1/20/2021,112.04%,,,
1/21/2021,111.96%,,,
1/22/2021,111.82%,,,
1/25/2021,111.48%,,,
1/26/2021,111.55%,,,
1/27/2021,111.83%,,,
1/28/2021,111.60%,,,
1/29/2021,111.85%,,,
2/1/2021,112.05%,,,
2/2/2021,112.45%,,,
2/3/2021,112.47%,,,
2/4/2021,112.46%,,,
2/5/2021,112.76%,,,
2/8/2021,112.61%,,,
2/9/2021,112.57%,,,
2/10/2021,112.50%,,,
2/11/2021,112.57%,,,
2/12/2021,112.79%,,,
2/15/2021,112.25%,,,
2/16/2021,112.32%,,,
2/17/2021,111.74%,,,
2/18/2021,111.78%,,,
2/19/2021,111.87%,,,
2/22/2021,111.80%,,,
2/23/2021,111.77%,,,
2/24/2021,111.88%,,,
2/25/2021,111.81%,,,
2/26/2021,111.59%,,,
3/1/2021,111.92%,,,
3/2/2021,111.98%,,,
3/3/2021,112.39%,,,
3/4/2021,112.25%,,,
3/5/2021,111.98%,,,
3/8/2021,110.45%,,,
3/9/2021,109.89%,,,
3/10/2021,110.59%,,,
3/11/2021,110.88%,,,
3/12/2021,111.80%,,,
3/15/2021,111.44%,,,
3/16/2021,111.50%,,,
3/17/2021,111.38%,,,
3/18/2021,110.75%,,,
3/19/2021,110.33%,,,
3/22/2021,110.62%,,,
3/23/2021,110.52%,,,
3/24/2021,110.39%,,,
3/25/2021,110.39%,,,
3/26/2021,110.76%,,,
3/29/2021,110.84%,,,
3/30/2021,110.61%,,,
3/31/2021,110.11%,,,
4/1/2021,110.11%,,,
4/6/2021,110.27%,,,
4/7/2021,110.25%,,,
4/8/2021,110.27%,,,
4/9/2021,110.27%,,,
4/12/2021,110.41%,,,
4/13/2021,110.26%,,,
4/14/2021,110.39%,,,
4/15/2021,110.49%,,,
4/16/2021,110.70%,,,
4/19/2021,110.92%,,,
4/20/2021,111.34%,,,
4/21/2021,111.27%,,,
4/22/2021,111.31%,,,
4/23/2021,111.41%,,,
4/26/2021,111.41%,,,
4/27/2021,111.66%,,,
4/28/2021,111.34%,,,
4/29/2021,110.95%,,,
4/30/2021,110.93%,,,
5/3/2021,111.24%,,,
5/4/2021,110.95%,,,
5/5/2021,111.23%,,,
5/6/2021,111.19%,,,
5/7/2021,111.39%,,,
5/10/2021,111.17%,,,
5/11/2021,111.57%,,,
5/12/2021,111.33%,,,
5/13/2021,111.21%,,,
5/14/2021,110.75%,,,
5/17/2021,110.84%,,,
5/18/2021,111.22%,,,
5/19/2021,110.79%,,,
5/20/2021,110.56%,,,
5/21/2021,110.68%,,,
5/25/2021,110.83%,,,
5/26/2021,110.80%,,,
5/27/2021,110.89%,,,
5/28/2021,111.11%,,,
5/31/2021,110.93%,,,
6/1/2021,111.16%,,,
6/2/2021,111.13%,,,
6/3/2021,111.15%,,,
6/4/2021,111.26%,,,
6/7/2021,111.28%,,,
6/8/2021,111.45%,,,
6/9/2021,111.53%,,,
6/10/2021,112.03%,,,
6/11/2021,112.43%,,,
6/14/2021,112.58%,,,
6/15/2021,112.59%,,,
6/16/2021,112.55%,,,
6/17/2021,112.21%,,,
6/18/2021,112.19%,,,
6/21/2021,112.31%,,,
6/22/2021,112.19%,,,
6/23/2021,112.18%,,,
6/24/2021,112.17%,,,
6/25/2021,112.17%,,,
6/28/2021,112.16%,,,
6/29/2021,112.02%,,,
6/30/2021,112.17%,,,
7/1/2021,112.17%,,,
7/2/2021,111.99%,,,
7/5/2021,112.01%,,,
7/6/2021,112.00%,,,
7/7/2021,112.00%,,,
7/8/2021,112.00%,,,
7/9/2021,111.98%,,,
7/12/2021,112.01%,,,
7/13/2021,112.01%,,,
7/14/2021,112.01%,,,
7/15/2021,112.09%,,,
7/16/2021,112.11%,,,
7/19/2021,112.08%,,,
7/20/2021,112.09%,,,
7/21/2021,112.11%,,,
7/22/2021,112.14%,,,
7/23/2021,111.92%,,,
7/26/2021,112.02%,,,
7/27/2021,112.19%,,,
7/28/2021,112.14%,,,
7/29/2021,112.15%,,,
7/30/2021,112.15%,,,
8/2/2021,112.15%,,,
8/3/2021,112.14%,,,
8/4/2021,112.14%,,,
8/5/2021,112.30%,,,
8/6/2021,112.17%,,,
8/9/2021,112.15%,,,
8/10/2021,112.29%,,,
8/11/2021,112.05%,,,
8/12/2021,112.03%,,,
8/13/2021,111.99%,,,
8/16/2021,112.08%,,,
8/17/2021,112.13%,,,
8/18/2021,112.09%,,,
8/19/2021,112.10%,,,
8/20/2021,112.10%,,,
8/23/2021,112.10%,,,
8/24/2021,112.10%,,,
8/25/2021,112.13%,,,
8/26/2021,112.09%,,,
8/27/2021,112.08%,,,
8/30/2021,112.23%,,,
8/31/2021,112.24%,,,
9/1/2021,112.28%,,,
9/2/2021,112.28%,,,
9/3/2021,112.32%,,,
9/6/2021,112.40%,,,
9/7/2021,112.37%,,,
9/8/2021,112.40%,,,
9/9/2021,112.35%,,,
9/10/2021,112.33%,,,
9/13/2021,112.35%,,,
9/14/2021,112.31%,,,
9/15/2021,112.34%,,,
9/16/2021,112.36%,,,
9/17/2021,112.36%,,,
9/20/2021,112.18%,,,
9/21/2021,112.12%,,,
9/22/2021,112.13%,,,
9/23/2021,112.10%,,,
9/24/2021,111.96%,,,
9/27/2021,111.66%,,,
9/28/2021,111.24%,,,
9/29/2021,110.85%,,,
9/30/2021,110.71%,,,
10/1/2021,110.91%,,,
