Date,Price
4/12/2024,99.25%
4/15/2024,99.25%
4/16/2024,98.26%
4/17/2024,98.26%
4/18/2024,98.35%
4/19/2024,98.35%
4/22/2024,98.38%
4/23/2024,98.26%
4/24/2024,97.97%
4/25/2024,97.72%
4/26/2024,97.70%
4/29/2024,97.78%
4/30/2024,97.53%
5/2/2024,97.53%
5/3/2024,97.53%
5/6/2024,98.88%
5/7/2024,99.02%
5/8/2024,99.13%
5/9/2024,99.09%
5/10/2024,99.24%
5/13/2024,99.24%
5/14/2024,99.23%
5/15/2024,98.40%
5/16/2024,98.27%
5/17/2024,98.47%
5/20/2024,98.52%
5/21/2024,98.14%
5/22/2024,98.29%
5/23/2024,98.04%
5/24/2024,98.05%
5/27/2024,98.66%
5/28/2024,98.06%
5/29/2024,98.01%
5/30/2024,97.98%
5/31/2024,97.89%
6/3/2024,97.90%
6/4/2024,97.66%
6/5/2024,97.56%
6/6/2024,97.47%
6/7/2024,97.73%
6/10/2024,97.81%
6/11/2024,97.59%
6/12/2024,97.63%
6/13/2024,97.17%
6/14/2024,97.58%
6/17/2024,97.51%
6/18/2024,97.28%
6/19/2024,97.26%
6/20/2024,97.32%
6/21/2024,97.38%
6/24/2024,97.52%
6/25/2024,97.20%
6/26/2024,97.02%
6/27/2024,97.21%
6/28/2024,97.17%
7/1/2024,97.46%
7/2/2024,97.44%
7/3/2024,97.42%
7/4/2024,97.40%
7/5/2024,97.46%
7/8/2024,97.25%
7/9/2024,97.40%
7/10/2024,97.40%
7/11/2024,97.40%
7/12/2024,97.40%
7/15/2024,97.40%
7/16/2024,97.40%
7/17/2024,97.40%
7/18/2024,97.40%
7/19/2024,97.40%
7/22/2024,97.00%
7/23/2024,97.00%
7/24/2024,97.00%
7/25/2024,97.00%
7/26/2024,97.00%
7/29/2024,97.00%
7/30/2024,97.00%
7/31/2024,97.00%
8/1/2024,97.00%
8/2/2024,97.00%
8/5/2024,97.00%
8/6/2024,97.00%
8/7/2024,97.00%
8/8/2024,97.00%
8/9/2024,97.00%
8/12/2024,97.00%
8/13/2024,97.00%
8/14/2024,97.00%
8/15/2024,97.00%
8/16/2024,97.00%
8/19/2024,97.00%
8/20/2024,97.00%
8/21/2024,97.00%
8/22/2024,97.00%
8/23/2024,97.00%
8/26/2024,97.00%
8/27/2024,97.00%
8/28/2024,97.00%
8/29/2024,97.00%
8/30/2024,97.00%
9/2/2024,97.00%
9/3/2024,97.00%
9/4/2024,97.00%
9/5/2024,97.00%
9/6/2024,97.00%
9/9/2024,97.00%
9/10/2024,97.00%
9/11/2024,97.00%
9/12/2024,97.32%
9/13/2024,97.31%
9/16/2024,97.35%
9/17/2024,97.36%
9/18/2024,97.37%
9/19/2024,97.47%
9/20/2024,97.55%
9/23/2024,97.52%
9/24/2024,97.56%
9/25/2024,97.56%
9/26/2024,97.59%
9/27/2024,97.63%
9/30/2024,97.65%
10/1/2024,97.67%
10/2/2024,97.69%
10/3/2024,97.69%
10/4/2024,97.66%
10/7/2024,97.65%
10/8/2024,97.60%
