Date,Price,,,,,,,,
10/7/2024,84.54%,,,,,,,,
10/8/2024,84.46%,,,,,,,,
10/9/2024,84.46%,,,,,,,,
10/10/2024,84.41%,,,,,,,,
10/11/2024,84.46%,,,,,,,,
10/14/2024,84.45%,,,,,,,,
10/15/2024,84.62%,,,,,,,,
10/16/2024,84.64%,,,,,,,,
10/17/2024,84.71%,,,,,,,,
10/18/2024,84.67%,,,,,,,,
10/21/2024,84.66%,,,,,,,,
10/22/2024,84.36%,,,,,,,,
10/23/2024,84.20%,,,,,,,,
10/24/2024,83.93%,,,,,,,,
10/25/2024,83.72%,,,,,,,,
10/28/2024,83.69%,,,,,,,,
10/29/2024,83.61%,,,,,,,,
10/30/2024,83.68%,,,,,,,,
10/31/2024,83.76%,,,,,,,,
11/1/2024,83.66%,,,,,,,,
11/4/2024,83.53%,,,,,,,,
11/5/2024,83.52%,,,,,,,,
11/6/2024,83.37%,,,,,,,,
11/7/2024,83.46%,,,,,,,,
11/8/2024,83.73%,,,,,,,,
11/11/2024,83.82%,,,,,,,,
11/12/2024,83.66%,,,,,,,,
11/13/2024,83.38%,,,,,,,,
11/14/2024,83.38%,,,,,,,,
11/15/2024,83.19%,,,,,,,,
11/18/2024,82.97%,,,,,,,,
11/19/2024,83.01%,,,,,,,,
11/20/2024,82.91%,,,,,,,,
11/21/2024,82.91%,,,,,,,,
11/22/2024,82.90%,,,,,,,,
11/25/2024,83.07%,,,,,,,,
11/26/2024,83.13%,,,,,,,,
11/27/2024,83.08%,,,,,,,,
11/28/2024,83.00%,,,,,,,,
11/29/2024,82.99%,,,,,,,,
12/2/2024,83.13%,,,,,,,,
12/3/2024,83.02%,,,,,,,,
12/4/2024,83.10%,,,,,,,,
12/5/2024,83.06%,,,,,,,,
12/6/2024,83.20%,,,,,,,,
12/9/2024,83.22%,,,,,,,,
12/10/2024,83.23%,,,,,,,,
12/11/2024,83.37%,,,,,,,,
12/12/2024,83.36%,,,,,,,,
12/13/2024,83.49%,,,,,,,,
12/16/2024,83.39%,,,,,,,,
12/17/2024,83.35%,,,,,,,,
12/18/2024,83.33%,,,,,,,,
12/19/2024,82.77%,,,,,,,,
12/20/2024,82.37%,,,,,,,,
12/23/2024,82.32%,,,,,,,,
12/27/2024,82.36%,,,,,,,,
12/30/2024,82.30%,,,,,,,,
1/2/2025,82.30%,,,,,,,,
1/3/2025,82.34%,,,,,,,,
1/6/2025,82.35%,,,,,,,,
1/7/2025,82.31%,,,,,,,,
1/8/2025,82.17%,,,,,,,,
1/9/2025,82.30%,,,,,,,,
1/10/2025,82.26%,,,,,,,,
1/13/2025,81.89%,,,,,,,,
1/14/2025,81.93%,,,,,,,,
1/15/2025,82.22%,,,,,,,,
1/16/2025,82.28%,,,,,,,,
1/17/2025,82.21%,,,,,,,,
1/20/2025,82.19%,,,,,,,,
1/21/2025,82.45%,,,,,,,,
1/22/2025,82.43%,,,,,,,,
1/23/2025,82.38%,,,,,,,,
1/24/2025,82.38%,,,,,,,,
1/27/2025,82.46%,,,,,,,,
1/28/2025,82.45%,,,,,,,,
1/29/2025,82.61%,,,,,,,,
1/30/2025,82.71%,,,,,,,,
1/31/2025,82.78%,,,,,,,,
2/3/2025,82.75%,,,,,,,,
2/4/2025,82.90%,,,,,,,,
2/5/2025,83.09%,,,,,,,,
2/6/2025,83.40%,,,,,,,,
2/7/2025,83.46%,,,,,,,,
2/10/2025,83.60%,,,,,,,,
2/11/2025,83.64%,,,,,,,,
2/12/2025,83.72%,,,,,,,,
2/13/2025,83.64%,,,,,,,,
2/14/2025,83.96%,,,,,,,,
2/17/2025,84.21%,,,,,,,,
2/18/2025,84.29%,,,,,,,,
2/19/2025,84.20%,,,,,,,,
2/20/2025,84.26%,,,,,,,,
2/21/2025,84.32%,,,,,,,,
2/24/2025,84.39%,,,,,,,,
2/25/2025,84.44%,,,,,,,,
2/26/2025,84.63%,,,,,,,,
2/27/2025,84.83%,,,,,,,,
2/28/2025,85.01%,,,,,,,,
3/3/2025,85.03%,,,,,,,,
3/4/2025,84.86%,,,,,,,,
3/5/2025,84.81%,,,,,,,,
3/6/2025,84.77%,,,,,,,,
3/7/2025,84.81%,,,,,,,,
3/10/2025,84.84%,,,,,,,,
3/11/2025,84.82%,,,,,,,,
3/12/2025,84.83%,,,,,,,,
3/13/2025,84.74%,,,,,,,,
3/14/2025,84.86%,,,,,,,,
3/17/2025,84.86%,,,,,,,,
3/18/2025,84.90%,,,,,,,,
3/19/2025,84.85%,,,,,,,,
3/20/2025,85.10%,,,,,,,,
3/21/2025,85.03%,,,,,,,,
3/24/2025,84.87%,,,,,,,,
3/25/2025,84.83%,,,,,,,,
3/26/2025,84.82%,,,,,,,,
3/27/2025,84.67%,,,,,,,,
3/28/2025,84.68%,,,,,,,,
3/31/2025,84.62%,,,,,,,,
4/1/2025,84.72%,,,,,,,,
4/2/2025,84.76%,,,,,,,,
4/3/2025,84.67%,,,,,,,,
4/4/2025,84.57%,,,,,,,,
4/7/2025,84.20%,,,,,,,,
4/8/2025,83.43%,,,,,,,,
4/9/2025,82.70%,,,,,,,,
4/10/2025,83.56%,,,,,,,,
4/11/2025,83.13%,,,,,,,,
4/14/2025,83.24%,,,,,,,,
4/15/2025,83.50%,,,,,,,,
4/16/2025,83.51%,,,,,,,,
4/17/2025,83.47%,,,,,,,,
4/22/2025,83.49%,,,,,,,,
4/23/2025,83.92%,,,,,,,,
4/24/2025,84.08%,,,,,,,,
4/25/2025,84.32%,,,,,,,,
4/28/2025,84.49%,,,,,,,,
4/29/2025,84.53%,,,,,,,,
4/30/2025,84.54%,,,,,,,,
5/2/2025,84.21%,,,,,,,,
5/5/2025,84.13%,,,,,,,,
5/6/2025,84.07%,,,,,,,,
5/7/2025,84.07%,,,,,,,,
5/8/2025,84.09%,,,,,,,,
5/9/2025,83.99%,,,,,,,,
5/12/2025,84.25%,,,,,,,,
5/13/2025,84.29%,,,,,,,,
5/14/2025,84.29%,,,,,,,,
5/15/2025,84.18%,,,,,,,,
5/16/2025,84.18%,,,,,,,,
5/19/2025,84.08%,,,,,,,,
5/20/2025,84.16%,,,,,,,,
5/21/2025,84.24%,,,,,,,,
5/22/2025,84.14%,,,,,,,,
5/23/2025,84.18%,,,,,,,,
5/26/2025,84.22%,,,,,,,,
5/27/2025,84.34%,,,,,,,,
5/28/2025,84.52%,,,,,,,,
5/29/2025,85.34%,,,,,,,,
5/30/2025,85.22%,,,,,,,,
6/2/2025,85.12%,,,,,,,,
6/3/2025,85.60%,,,,,,,,
6/4/2025,85.58%,,,,,,,,
6/5/2025,85.29%,,,,,,,,
6/6/2025,85.16%,,,,,,,,
6/9/2025,85.33%,,,,,,,,
6/10/2025,85.93%,,,,,,,,
6/11/2025,85.38%,,,,,,,,
6/12/2025,85.54%,,,,,,,,
6/13/2025,85.61%,,,,,,,,
6/16/2025,85.92%,,,,,,,,
6/17/2025,85.77%,,,,,,,,
6/18/2025,85.78%,,,,,,,,
6/19/2025,85.51%,,,,,,,,
6/20/2025,85.59%,,,,,,,,
6/23/2025,85.66%,,,,,,,,
6/24/2025,85.94%,,,,,,,,
6/25/2025,85.97%,,,,,,,,
6/26/2025,85.98%,,,,,,,,
6/27/2025,86.03%,,,,,,,,
6/30/2025,86.21%,,,,,,,,
7/1/2025,86.59%,,,,,,,,
7/2/2025,86.65%,,,,,,,,
7/3/2025,86.76%,,,,,,,,
7/4/2025,86.89%,,,,,,,,
7/7/2025,86.81%,,,,,,,,
7/8/2025,86.78%,,,,,,,,
7/9/2025,86.65%,,,,,,,,
7/10/2025,86.62%,,,,,,,,
7/11/2025,86.26%,,,,,,,,
7/14/2025,86.14%,,,,,,,,
7/15/2025,86.05%,,,,,,,,
7/16/2025,85.84%,,,,,,,,
7/17/2025,85.87%,,,,,,,,
7/18/2025,85.95%,,,,,,,,
7/21/2025,86.07%,,,,,,,,
7/22/2025,86.21%,,,,,,,,
7/23/2025,86.26%,,,,,,,,
7/24/2025,86.30%,,,,,,,,
7/25/2025,86.42%,,,,,,,,
7/28/2025,86.53%,,,,,,,,
7/29/2025,86.59%,,,,,,,,
7/30/2025,86.67%,,,,,,,,
7/31/2025,86.71%,,,,,,,,
8/1/2025,86.78%,,,,,,,,
8/4/2025,86.97%,,,,,,,,
8/5/2025,87.04%,,,,,,,,
8/6/2025,87.10%,,,,,,,,
8/7/2025,87.19%,,,,,,,,
8/8/2025,87.39%,,,,,,,,
8/11/2025,87.64%,,,,,,,,
8/12/2025,88.02%,,,,,,,,
8/13/2025,88.51%,,,,,,,,
8/14/2025,88.74%,,,,,,,,
8/15/2025,88.89%,,,,,,,,
8/18/2025,89.00%,,,,,,,,
8/19/2025,89.08%,,,,,,,,
8/20/2025,89.04%,,,,,,,,
8/21/2025,89.17%,,,,,,,,
8/22/2025,89.23%,,,,,,,,
8/25/2025,89.40%,,,,,,,,
8/26/2025,89.57%,,,,,,,,
8/27/2025,89.46%,,,,,,,,
8/28/2025,89.57%,,,,,,,,
8/29/2025,89.66%,,,,,,,,
9/1/2025,89.62%,,,,,,,,
9/2/2025,89.88%,,,,,,,,
9/3/2025,89.52%,,,,,,,,
9/4/2025,89.50%,,,,,,,,
9/5/2025,89.55%,,,,,,,,
9/8/2025,89.55%,,,,,,,,
9/9/2025,89.72%,,,,,,,,
9/10/2025,89.68%,,,,,,,,
9/11/2025,89.77%,,,,,,,,
9/12/2025,89.77%,,,,,,,,
9/15/2025,89.78%,,,,,,,,
9/16/2025,89.87%,,,,,,,,
9/17/2025,89.89%,,,,,,,,
9/18/2025,89.91%,,,,,,,,
9/19/2025,89.79%,,,,,,,,
9/22/2025,89.79%,,,,,,,,
9/23/2025,89.76%,,,,,,,,
9/24/2025,89.77%,,,,,,,,
9/25/2025,89.64%,,,,,,,,
9/26/2025,89.65%,,,,,,,,
9/29/2025,89.73%,,,,,,,,
9/30/2025,89.73%,,,,,,,,
10/1/2025,89.81%,,,,,,,,
10/2/2025,89.81%,,,,,,,,
10/3/2025,89.88%,,,,,,,,
10/6/2025,89.86%,,,,,,,,
10/7/2025,89.87%,,,,,,,,
10/8/2025,89.95%,,,,,,,,
10/9/2025,89.96%,,,,,,,,
10/10/2025,89.91%,,,,,,,,
10/13/2025,89.82%,,,,,,,,
10/14/2025,89.80%,,,,,,,,
10/15/2025,89.88%,,,,,,,,
10/16/2025,89.93%,,,,,,,,
10/17/2025,89.97%,,,,,,,,
10/20/2025,89.98%,,,,,,,,
10/21/2025,90.37%,,,,,,,,
10/22/2025,90.52%,,,,,,,,
10/23/2025,90.88%,,,,,,,,
10/24/2025,90.74%,,,,,,,,
10/27/2025,90.87%,,,,,,,,
10/28/2025,90.96%,,,,,,,,
10/29/2025,91.08%,,,,,,,,
10/30/2025,91.01%,,,,,,,,
10/31/2025,91.09%,,,,,,,,
11/3/2025,91.14%,,,,,,,,
11/4/2025,91.07%,,,,,,,,
11/5/2025,91.02%,,,,,,,,
11/6/2025,90.62%,,,,,,,,
11/7/2025,90.93%,,,,,,,,
11/10/2025,90.85%,,,,,,,,
11/11/2025,90.84%,,,,,,,,
11/12/2025,90.94%,,,,,,,,
11/13/2025,90.87%,,,,,,,,
11/14/2025,90.76%,,,,,,,,
11/17/2025,90.69%,,,,,,,,
11/18/2025,90.65%,,,,,,,,
11/19/2025,90.60%,,,,,,,,
11/20/2025,90.69%,,,,,,,,
11/21/2025,90.63%,,,,,,,,
11/24/2025,90.68%,,,,,,,,
11/25/2025,90.72%,,,,,,,,
11/26/2025,90.70%,,,,,,,,
11/27/2025,90.74%,,,,,,,,
11/28/2025,90.73%,,,,,,,,
12/1/2025,90.73%,,,,,,,,
12/2/2025,90.58%,,,,,,,,
12/3/2025,90.70%,,,,,,,,
12/4/2025,90.64%,,,,,,,,
12/5/2025,90.59%,,,,,,,,
12/8/2025,90.54%,,,,,,,,
12/9/2025,90.04%,,,,,,,,
12/10/2025,90.33%,,,,,,,,
12/11/2025,90.51%,,,,,,,,
12/12/2025,90.56%,,,,,,,,
12/15/2025,90.20%,,,,,,,,
12/16/2025,90.35%,,,,,,,,
12/17/2025,90.39%,,,,,,,,
12/18/2025,90.70%,,,,,,,,
12/19/2025,90.30%,,,,,,,,
12/22/2025,90.45%,,,,,,,,
12/23/2025,90.60%,,,,,,,,
12/29/2025,90.85%,,,,,,,,
12/30/2025,90.74%,,,,,,,,
1/2/2026,90.79%,,,,,,,,
1/5/2026,90.78%,,,,,,,,
1/6/2026,90.87%,,,,,,,,
1/7/2026,90.88%,,,,,,,,
1/8/2026,90.86%,,,,,,,,
1/9/2026,90.86%,,,,,,,,
1/12/2026,90.84%,,,,,,,,
1/13/2026,90.83%,,,,,,,,
1/14/2026,90.92%,,,,,,,,
1/15/2026,90.95%,,,,,,,,
1/16/2026,90.94%,,,,,,,,
1/19/2026,90.84%,,,,,,,,
1/20/2026,90.82%,,,,,,,,
1/21/2026,90.86%,,,,,,,,
1/22/2026,90.95%,,,,,,,,
1/23/2026,90.99%,,,,,,,,
1/26/2026,91.03%,,,,,,,,
1/27/2026,91.08%,,,,,,,,
1/28/2026,91.03%,,,,,,,,
1/29/2026,91.00%,,,,,,,,
1/30/2026,90.97%,,,,,,,,
2/2/2026,90.92%,,,,,,,,
2/3/2026,90.79%,,,,,,,,
2/4/2026,90.78%,,,,,,,,
2/5/2026,90.80%,,,,,,,,
2/6/2026,90.82%,,,,,,,,
2/9/2026,91.10%,,,,,,,,
2/10/2026,91.28%,,,,,,,,
2/11/2026,91.32%,,,,,,,,
2/12/2026,91.46%,,,,,,,,
2/13/2026,91.82%,,,,,,,,
2/16/2026,91.82%,,,,,,,,
2/17/2026,91.85%,,,,,,,,
2/18/2026,91.87%,,,,,,,,
2/19/2026,91.86%,,,,,,,,
2/20/2026,91.81%,,,,,,,,
2/23/2026,91.94%,,,,,,,,
2/24/2026,91.95%,,,,,,,,
2/25/2026,92.03%,,,,,,,,
2/26/2026,91.93%,,,,,,,,
2/27/2026,91.99%,,,,,,,,
3/2/2026,91.92%,,,,,,,,
3/3/2026,91.51%,,,,,,,,
3/4/2026,91.49%,,,,,,,,
3/5/2026,91.63%,,,,,,,,
3/6/2026,91.60%,,,,,,,,
3/9/2026,91.12%,,,,,,,,
3/10/2026,91.18%,,,,,,,,
3/11/2026,91.14%,,,,,,,,
3/12/2026,90.79%,,,,,,,,
3/13/2026,90.68%,,,,,,,,
3/16/2026,90.61%,,,,,,,,
3/17/2026,90.55%,,,,,,,,
3/18/2026,90.68%,,,,,,,,
3/19/2026,90.30%,,,,,,,,
3/20/2026,90.05%,,,,,,,,
3/23/2026,89.44%,,,,,,,,
3/24/2026,89.54%,,,,,,,,
3/25/2026,89.63%,,,,,,,,
3/26/2026,89.43%,,,,,,,,
3/27/2026,89.03%,,,,,,,,
3/30/2026,88.93%,,,,,,,,
3/31/2026,88.83%,,,,,,,,
4/1/2026,89.17%,,,,,,,,
4/2/2026,88.93%,,,,,,,,
4/7/2026,89.10%,,,,,,,,
4/8/2026,89.69%,,,,,,,,
4/9/2026,89.68%,,,,,,,,
4/10/2026,89.81%,,,,,,,,
4/13/2026,89.82%,,,,,,,,
4/14/2026,90.37%,,,,,,,,
4/15/2026,90.60%,,,,,,,,
4/16/2026,90.87%,,,,,,,,
4/17/2026,91.11%,,,,,,,,
4/20/2026,91.14%,,,,,,,,
4/21/2026,91.25%,,,,,,,,
4/22/2026,91.33%,,,,,,,,
4/23/2026,91.44%,,,,,,,,
4/24/2026,91.56%,,,,,,,,
4/27/2026,91.68%,,,,,,,,
4/28/2026,91.56%,,,,,,,,
4/29/2026,91.55%,,,,,,,,
4/30/2026,91.47%,,,,,,,,
5/4/2026,91.74%,,,,,,,,
5/5/2026,91.57%,,,,,,,,
5/6/2026,91.89%,,,,,,,,
5/7/2026,92.06%,,,,,,,,
5/8/2026,92.09%,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
