Date,Price
3/11/2025,97.25%
3/12/2025,97.32%
3/13/2025,97.19%
3/14/2025,97.23%
3/17/2025,97.39%
3/18/2025,97.33%
3/19/2025,97.25%
3/20/2025,97.33%
3/21/2025,97.27%
3/24/2025,96.92%
3/25/2025,96.79%
3/26/2025,96.73%
3/27/2025,96.47%
3/28/2025,96.55%
3/31/2025,96.51%
4/1/2025,96.39%
4/2/2025,96.36%
4/3/2025,96.18%
4/4/2025,96.09%
4/7/2025,95.55%
4/8/2025,93.73%
4/9/2025,93.90%
4/10/2025,92.42%
4/11/2025,93.82%
4/14/2025,93.51%
4/15/2025,93.98%
4/16/2025,93.96%
4/17/2025,93.96%
4/22/2025,94.38%
4/23/2025,93.86%
4/24/2025,94.27%
4/25/2025,94.74%
4/28/2025,94.72%
4/29/2025,94.94%
4/30/2025,94.93%
5/2/2025,94.44%
5/5/2025,94.35%
5/6/2025,94.41%
5/7/2025,94.20%
5/8/2025,94.28%
5/9/2025,94.11%
5/12/2025,94.26%
5/13/2025,94.41%
5/14/2025,94.44%
5/15/2025,94.19%
5/16/2025,94.24%
5/19/2025,94.11%
5/20/2025,94.29%
5/21/2025,94.41%
5/22/2025,94.12%
5/23/2025,94.34%
5/26/2025,94.31%
5/27/2025,94.34%
5/28/2025,94.56%
5/29/2025,94.67%
5/30/2025,94.83%
6/2/2025,95.14%
6/3/2025,95.09%
6/4/2025,95.49%
6/5/2025,95.52%
6/6/2025,95.72%
6/9/2025,95.82%
6/10/2025,95.86%
6/11/2025,95.85%
6/12/2025,96.27%
6/13/2025,96.36%
6/16/2025,96.08%
6/17/2025,96.27%
6/18/2025,96.33%
6/19/2025,96.14%
6/20/2025,96.08%
6/23/2025,96.13%
6/24/2025,96.53%
6/25/2025,96.77%
6/26/2025,96.79%
6/27/2025,96.86%
6/30/2025,96.85%
7/1/2025,97.16%
7/2/2025,97.34%
7/3/2025,97.49%
7/4/2025,97.71%
7/7/2025,97.69%
7/8/2025,97.56%
7/9/2025,97.48%
7/10/2025,97.44%
7/11/2025,97.01%
7/14/2025,96.72%
7/15/2025,96.65%
7/16/2025,96.34%
7/17/2025,96.41%
7/18/2025,96.56%
7/21/2025,96.78%
7/22/2025,96.99%
7/23/2025,97.32%
7/24/2025,97.18%
7/25/2025,97.45%
7/28/2025,97.57%
7/29/2025,97.55%
7/30/2025,97.82%
7/31/2025,97.79%
8/1/2025,97.62%
8/4/2025,97.90%
8/5/2025,98.06%
8/6/2025,98.16%
8/7/2025,98.24%
8/8/2025,98.62%
8/11/2025,98.77%
8/12/2025,99.19%
8/13/2025,99.71%
8/14/2025,100.54%
8/15/2025,100.90%
8/18/2025,101.04%
8/19/2025,101.25%
8/20/2025,101.23%
8/21/2025,101.06%
8/22/2025,101.12%
8/25/2025,101.75%
8/26/2025,101.63%
8/27/2025,101.50%
8/28/2025,101.58%
8/29/2025,101.57%
9/1/2025,101.62%
9/2/2025,101.64%
9/3/2025,101.20%
9/4/2025,101.34%
9/5/2025,101.25%
9/8/2025,101.36%
9/9/2025,101.75%
9/10/2025,101.61%
9/11/2025,101.77%
9/12/2025,102.10%
9/15/2025,102.08%
9/16/2025,102.17%
9/17/2025,102.18%
9/18/2025,102.28%
9/19/2025,102.25%
9/22/2025,102.09%
9/23/2025,102.09%
9/24/2025,101.99%
9/25/2025,101.95%
9/26/2025,101.63%
9/29/2025,101.80%
9/30/2025,101.92%
10/1/2025,101.97%
10/2/2025,101.98%
10/3/2025,102.14%
10/6/2025,102.14%
10/7/2025,102.11%
10/8/2025,102.08%
10/9/2025,102.12%
10/10/2025,102.08%
10/13/2025,102.08%
10/14/2025,102.07%
10/15/2025,102.03%
10/16/2025,102.23%
10/17/2025,102.56%
10/20/2025,102.25%
10/21/2025,102.53%
10/22/2025,103.00%
10/23/2025,103.29%
10/24/2025,103.36%
10/27/2025,103.65%
10/28/2025,103.91%
10/29/2025,103.92%
10/30/2025,104.09%
10/31/2025,104.00%
11/3/2025,104.12%
11/4/2025,104.16%
11/5/2025,103.96%
11/6/2025,103.79%
11/7/2025,103.79%
11/10/2025,103.73%
11/11/2025,103.81%
11/12/2025,103.99%
11/13/2025,103.79%
11/14/2025,103.58%
11/17/2025,103.53%
11/18/2025,103.47%
11/19/2025,103.51%
11/20/2025,103.39%
11/21/2025,103.48%
11/24/2025,103.44%
11/25/2025,103.50%
11/26/2025,103.42%
11/27/2025,103.50%
11/28/2025,103.50%
12/1/2025,103.48%
12/2/2025,103.07%
12/3/2025,103.27%
12/4/2025,103.45%
12/5/2025,103.26%
12/8/2025,103.23%
12/9/2025,102.98%
12/10/2025,102.97%
12/11/2025,103.23%
12/12/2025,103.37%
12/15/2025,103.55%
12/16/2025,103.49%
12/17/2025,103.66%
12/18/2025,103.71%
12/19/2025,103.88%
12/22/2025,103.92%
12/23/2025,103.84%
12/29/2025,104.09%
12/30/2025,103.41%
1/2/2026,104.05%
1/5/2026,104.14%
1/6/2026,104.13%
1/7/2026,104.10%
1/8/2026,104.23%
1/9/2026,103.99%
1/12/2026,103.98%
1/13/2026,103.88%
1/14/2026,104.12%
1/15/2026,104.22%
1/16/2026,104.10%
1/19/2026,104.05%
1/20/2026,104.06%
1/21/2026,103.86%
1/22/2026,104.08%
1/23/2026,104.28%
1/26/2026,104.43%
1/27/2026,104.46%
1/28/2026,104.48%
1/29/2026,104.47%
1/30/2026,104.42%
2/2/2026,104.27%
2/3/2026,104.24%
2/4/2026,104.07%
2/5/2026,103.95%
2/6/2026,104.36%
2/9/2026,104.25%
2/10/2026,104.49%
2/11/2026,104.76%
2/12/2026,104.82%
2/13/2026,105.40%
2/16/2026,105.74%
2/17/2026,105.51%
2/18/2026,105.63%
2/19/2026,105.59%
2/20/2026,105.69%
2/23/2026,105.71%
2/24/2026,105.98%
2/25/2026,105.86%
2/26/2026,105.95%
2/27/2026,106.01%
3/2/2026,106.22%
3/3/2026,105.68%
3/4/2026,105.34%
3/5/2026,105.33%
3/6/2026,105.38%
3/9/2026,105.00%
3/10/2026,104.48%
3/11/2026,104.45%
3/12/2026,104.06%
3/13/2026,103.88%
3/16/2026,103.79%
3/17/2026,103.78%
3/18/2026,103.70%
3/19/2026,103.58%
3/20/2026,103.07%
3/23/2026,102.19%
3/24/2026,102.15%
3/25/2026,101.99%
3/26/2026,102.11%
3/27/2026,101.58%
3/30/2026,101.10%
3/31/2026,100.94%
4/1/2026,101.26%
4/2/2026,101.38%
4/7/2026,101.40%
4/8/2026,101.67%
4/9/2026,102.24%
4/10/2026,102.49%
4/13/2026,102.17%
4/14/2026,102.54%
4/15/2026,103.62%
4/16/2026,103.66%
4/17/2026,103.70%
4/20/2026,104.45%
4/21/2026,104.57%
4/22/2026,104.37%
4/23/2026,104.71%
4/24/2026,104.82%
