Date,Price
9/23/2020,100.72%
9/24/2020,100.05%
9/25/2020,99.61%
9/28/2020,99.31%
9/29/2020,96.60%
9/30/2020,95.62%
10/1/2020,96.44%
10/2/2020,96.83%
10/5/2020,96.87%
10/6/2020,96.97%
10/7/2020,97.48%
10/8/2020,98.78%
10/9/2020,98.87%
10/12/2020,99.78%
10/13/2020,99.82%
10/14/2020,99.62%
10/15/2020,98.66%
10/16/2020,97.80%
10/19/2020,98.03%
10/20/2020,97.85%
10/21/2020,97.96%
10/22/2020,97.76%
10/23/2020,97.62%
10/26/2020,97.37%
10/27/2020,96.98%
10/28/2020,96.80%
10/29/2020,96.30%
10/30/2020,96.30%
11/2/2020,96.45%
11/3/2020,96.51%
11/4/2020,97.28%
11/5/2020,99.19%
11/6/2020,99.57%
11/9/2020,99.99%
11/10/2020,100.43%
11/11/2020,101.95%
11/12/2020,102.02%
11/13/2020,102.17%
11/16/2020,102.44%
11/17/2020,102.92%
11/18/2020,102.85%
11/19/2020,102.92%
11/20/2020,102.92%
11/23/2020,102.92%
11/24/2020,102.93%
11/25/2020,103.06%
11/26/2020,103.05%
11/27/2020,102.89%
11/30/2020,102.86%
12/1/2020,103.17%
12/2/2020,104.30%
12/3/2020,104.38%
12/4/2020,105.28%
12/7/2020,105.54%
12/8/2020,105.54%
12/9/2020,105.54%
12/10/2020,105.51%
12/11/2020,104.94%
12/14/2020,104.60%
12/15/2020,104.68%
12/16/2020,104.80%
12/17/2020,104.90%
12/18/2020,105.07%
12/21/2020,104.87%
12/22/2020,104.91%
12/23/2020,105.04%
12/28/2020,104.78%
12/29/2020,105.04%
12/30/2020,105.05%
1/4/2021,105.53%
1/5/2021,105.62%
1/6/2021,105.36%
1/7/2021,105.14%
1/8/2021,105.07%
1/11/2021,105.01%
1/12/2021,104.85%
1/13/2021,104.64%
1/14/2021,104.62%
1/15/2021,104.66%
1/18/2021,104.63%
1/19/2021,104.56%
1/20/2021,104.58%
1/21/2021,104.54%
1/22/2021,104.50%
1/25/2021,104.00%
1/26/2021,104.47%
1/27/2021,104.57%
1/28/2021,104.53%
1/29/2021,104.73%
2/1/2021,105.00%
2/2/2021,105.97%
2/3/2021,106.11%
2/4/2021,106.31%
2/5/2021,106.38%
2/8/2021,106.31%
2/9/2021,106.25%
2/10/2021,106.23%
2/11/2021,106.01%
2/12/2021,105.61%
2/15/2021,105.21%
2/16/2021,105.04%
2/17/2021,104.04%
2/18/2021,103.78%
2/19/2021,103.81%
2/22/2021,103.77%
2/23/2021,103.76%
