Date,G1GE
12/31/2025,100
1/2/2026,100.044
1/5/2026,100.159
1/6/2026,100.196
1/7/2026,100.213
1/8/2026,100.091
1/9/2026,100.081
1/12/2026,100.152
1/13/2026,100.164
1/14/2026,100.364
1/15/2026,100.385
1/16/2026,100.421
1/19/2026,100.492
1/20/2026,100.514
1/21/2026,100.529
1/22/2026,100.551
1/23/2026,100.587
1/26/2026,100.654
1/27/2026,100.651
1/28/2026,100.747
1/29/2026,100.771
1/30/2026,100.793
1/31/2026,100.818
2/2/2026,100.598
2/3/2026,100.621
2/4/2026,100.603
2/5/2026,100.643
2/6/2026,100.666
2/9/2026,100.74
2/10/2026,100.763
2/11/2026,100.954
2/12/2026,100.976
2/13/2026,101.016
2/16/2026,101.09
2/17/2026,101.147
2/18/2026,101.198
2/19/2026,101.221
2/20/2026,101.26
2/23/2026,101.316
2/24/2026,101.339
2/25/2026,101.355
2/26/2026,101.6
2/27/2026,101.623
2/28/2026,101.648
3/2/2026,101.701
3/3/2026,101.723
3/4/2026,101.741
3/5/2026,101.728
3/6/2026,101.755
3/9/2026,101.824
3/10/2026,101.842
3/11/2026,101.858
3/12/2026,101.926
3/13/2026,101.95
3/16/2026,102.023
3/17/2026,102.056
3/18/2026,102.205
3/19/2026,102.233
3/20/2026,102.255
3/23/2026,102.338
3/24/2026,102.375
3/25/2026,102.471
3/26/2026,102.505
3/27/2026,102.538
3/30/2026,102.604
3/31/2026,102.629
4/1/2026,102.641
4/2/2026,102.661
4/3/2026,102.678
4/6/2026,102.75
4/7/2026,102.764
4/8/2026,102.514
4/9/2026,102.536
4/10/2026,102.561
4/13/2026,102.634
4/14/2026,102.646
4/15/2026,102.743
4/16/2026,102.76
4/17/2026,102.782
4/20/2026,102.859
4/21/2026,102.897
4/22/2026,102.993
4/23/2026,103.024
4/24/2026,103.055
4/27/2026,103.129
4/28/2026,103.155
4/29/2026,103.205
4/30/2026,103.236
5/1/2026,103.268
5/4/2026,103.339
5/5/2026,103.357
5/6/2026,103.373
5/7/2026,103.175
5/8/2026,103.19
