Date,GDTR
4/27/2017,615.639
4/28/2017,618.296
4/30/2017,618.491
5/1/2017,618.617
5/2/2017,620.221
5/3/2017,621.589
5/4/2017,617.57
5/5/2017,615.895
5/8/2017,615.804
5/9/2017,613.909
5/10/2017,613.982
5/11/2017,613.054
5/12/2017,613.625
5/15/2017,614.924
5/16/2017,616.052
5/17/2017,615.701
5/18/2017,611.769
5/19/2017,612.913
5/22/2017,615.674
5/23/2017,616.775
5/24/2017,617.143
5/25/2017,619.539
5/26/2017,622.55
5/29/2017,622.841
5/30/2017,623.385
5/31/2017,623.931
6/1/2017,624.333
6/2/2017,626.601
6/5/2017,627.906
6/6/2017,628.018
6/7/2017,625.599
6/8/2017,623.668
6/9/2017,623.453
6/12/2017,625.081
6/13/2017,625.335
6/14/2017,629.255
6/15/2017,626.79
6/16/2017,627.167
6/19/2017,626.96
6/20/2017,624.017
6/21/2017,623.382
6/22/2017,624.1
6/23/2017,625.95
6/26/2017,627.105
6/27/2017,626.406
6/28/2017,624.194
6/29/2017,621.984
6/30/2017,620.636
7/3/2017,617.485
7/4/2017,617.582
7/5/2017,614.343
7/6/2017,609.868
7/7/2017,608.527
7/10/2017,612.149
7/11/2017,612.276
7/12/2017,617.824
7/13/2017,618.43
7/14/2017,621.093
7/17/2017,621.622
7/18/2017,624.15
7/19/2017,625.527
7/20/2017,627.513
7/21/2017,629.432
7/24/2017,626.737
7/25/2017,624.417
7/26/2017,625.288
7/27/2017,628.136
7/28/2017,627.364
7/31/2017,628.899
8/1/2017,630.428
8/2/2017,632.199
8/3/2017,633.521
8/4/2017,634.067
8/7/2017,634.651
8/8/2017,635.37
8/9/2017,634.517
8/10/2017,633.26
8/11/2017,631.017
8/14/2017,632.79
8/15/2017,632.01
8/16/2017,631.759
8/17/2017,633.055
8/18/2017,632.884
8/21/2017,633.935
8/22/2017,634.614
8/23/2017,635.061
8/24/2017,636.292
8/25/2017,636.765
8/28/2017,636.17
8/29/2017,638.151
8/30/2017,638.716
8/31/2017,641.529
9/1/2017,641.359
9/4/2017,641.653
9/5/2017,641.643
9/6/2017,640.42
9/7/2017,642.013
9/8/2017,643.794
9/11/2017,643.271
9/12/2017,640.915
9/13/2017,640.057
9/14/2017,639.502
9/15/2017,639.496
9/18/2017,638.067
9/19/2017,634.97
9/20/2017,633.966
9/21/2017,632.27
9/22/2017,633.743
9/25/2017,630.416
9/26/2017,630.693
9/27/2017,628.243
9/28/2017,628.634
9/29/2017,631.572
9/30/2017,631.67
10/2/2017,632.189
10/3/2017,632.694
10/4/2017,632.849
10/5/2017,632.955
10/6/2017,630.954
10/9/2017,631.251
10/10/2017,628.905
10/11/2017,629.5
10/12/2017,631.237
10/13/2017,632.006
10/16/2017,632.216
10/17/2017,631.016
10/18/2017,630.809
10/19/2017,632.999
10/20/2017,630.373
10/23/2017,628.853
10/24/2017,625.425
10/25/2017,623.18
10/26/2017,620.116
10/27/2017,619.652
10/30/2017,624.881
10/31/2017,623.781
11/1/2017,621.965
11/2/2017,622.355
11/3/2017,617.262
11/6/2017,617.629
11/7/2017,613.884
11/8/2017,612.02
11/9/2017,611.818
11/10/2017,611.075
11/13/2017,611.666
11/14/2017,612.526
11/15/2017,614.365
11/16/2017,617.305
11/17/2017,615.996
11/20/2017,611.722
11/21/2017,611.02
11/22/2017,615.345
11/23/2017,615.445
11/24/2017,619.101
11/27/2017,623.87
11/28/2017,620.868
11/29/2017,618.914
11/30/2017,622.602
12/1/2017,622.926
12/4/2017,625.858
12/5/2017,628.725
12/6/2017,629.17
12/7/2017,627.901
12/8/2017,627.582
12/11/2017,629.484
12/12/2017,630.062
12/13/2017,630.722
12/14/2017,630.297
12/15/2017,631.082
12/18/2017,632.801
12/19/2017,632.417
12/20/2017,631.222
12/21/2017,631.177
12/22/2017,631.333
12/26/2017,631.736
12/27/2017,632.228
12/28/2017,633.14
12/29/2017,634.212
12/31/2017,634.315
1/2/2018,636.468
1/3/2018,638.156
1/4/2018,638.192
1/5/2018,639.833
1/8/2018,639.297
1/9/2018,637.02
1/10/2018,634.066
1/11/2018,635.579
1/12/2018,635.809
1/15/2018,636.112
1/16/2018,635.47
1/17/2018,634.127
1/18/2018,632.663
1/19/2018,630.816
1/22/2018,630.351
1/23/2018,632.041
1/24/2018,630.966
1/25/2018,631.802
1/26/2018,632.769
1/29/2018,629.426
1/30/2018,629.301
1/31/2018,630.801
2/1/2018,631.543
2/2/2018,627.248
2/5/2018,624.651
2/6/2018,624.146
2/7/2018,626.131
2/8/2018,621.072
2/9/2018,617.023
2/12/2018,616.617
2/13/2018,615.684
2/14/2018,612.323
2/15/2018,614.287
2/16/2018,619.172
2/19/2018,619.474
2/20/2018,617.013
2/21/2018,617.993
2/22/2018,615.974
2/23/2018,615.523
2/26/2018,618.17
2/27/2018,618.012
2/28/2018,617.209
3/1/2018,616.316
3/2/2018,615.348
3/5/2018,615.802
3/6/2018,617.11
3/7/2018,616.052
3/8/2018,615.397
3/9/2018,614.934
3/12/2018,614.451
3/13/2018,613.153
3/14/2018,614.428
3/15/2018,613.834
3/16/2018,612.818
3/19/2018,611.068
3/20/2018,610.545
3/21/2018,611.241
3/22/2018,612.709
3/23/2018,611.41
3/26/2018,610.719
3/27/2018,611.002
3/28/2018,610.616
3/29/2018,613.23
3/31/2018,613.333
4/2/2018,613.535
4/3/2018,614.097
4/4/2018,613.119
4/5/2018,612.803
4/6/2018,614.948
4/9/2018,612.816
4/10/2018,610.838
4/11/2018,610.564
4/12/2018,612.202
4/13/2018,613.784
4/16/2018,610.812
4/17/2018,610.385
4/18/2018,614.6
4/19/2018,614.586
4/20/2018,613.409
4/23/2018,610.845
4/24/2018,611.742
4/25/2018,610.842
4/26/2018,611.794
4/27/2018,610.359
4/30/2018,610.068
5/1/2018,607.005
5/2/2018,601.441
5/3/2018,597.281
5/4/2018,592.798
5/7/2018,593.131
5/8/2018,587.724
5/9/2018,584.606
5/10/2018,589.089
5/11/2018,589.755
