Date,GDGE
4/28/2017,216.606
4/30/2017,216.679
5/1/2017,216.716
5/2/2017,216.753
5/3/2017,216.99
5/4/2017,216.828
5/5/2017,216.865
5/8/2017,216.854
5/9/2017,217.03
5/10/2017,217.153
5/11/2017,217.285
5/12/2017,217.439
5/15/2017,217.52
5/16/2017,217.764
5/17/2017,217.509
5/18/2017,216.477
5/19/2017,217.341
5/22/2017,217.539
5/23/2017,217.6
5/24/2017,218.063
5/25/2017,217.612
5/26/2017,218.04
5/29/2017,218.152
5/30/2017,218.58
5/31/2017,218.776
6/1/2017,218.813
6/2/2017,218.655
6/5/2017,218.657
6/6/2017,218.804
6/7/2017,219.135
6/8/2017,219.27
6/9/2017,219.307
6/12/2017,219.956
6/13/2017,219.994
6/14/2017,220.139
6/15/2017,220.068
6/16/2017,220.213
6/19/2017,220.364
6/20/2017,219.522
6/21/2017,220.068
6/22/2017,220.33
6/23/2017,220.367
6/26/2017,220.352
6/27/2017,220.516
6/28/2017,220.114
6/29/2017,220.347
6/30/2017,220.423
7/3/2017,220.398
7/4/2017,220.436
7/5/2017,220.121
7/6/2017,219.924
7/7/2017,219.375
7/10/2017,220.063
7/11/2017,220.419
7/12/2017,220.597
7/13/2017,220.635
7/14/2017,220.516
7/17/2017,220.839
7/18/2017,220.763
7/19/2017,220.898
7/20/2017,221.033
7/21/2017,221.07
7/24/2017,221.28
7/25/2017,221.219
7/26/2017,220.475
7/27/2017,220.512
7/28/2017,220.55
7/31/2017,221.601
8/1/2017,222.03
8/2/2017,222.067
8/3/2017,222.358
8/4/2017,222.396
8/7/2017,222.752
8/8/2017,222.789
8/9/2017,222.827
8/10/2017,222.864
8/11/2017,222.501
8/14/2017,222.613
8/15/2017,222.357
8/16/2017,222.453
8/17/2017,222.822
8/18/2017,222.86
8/21/2017,222.972
8/22/2017,223.243
8/23/2017,222.949
8/24/2017,223.279
8/25/2017,223.414
8/28/2017,223.135
8/29/2017,223.505
8/30/2017,223.172
8/31/2017,223.21
9/1/2017,223.833
9/4/2017,223.945
9/5/2017,224.315
9/6/2017,224.411
9/7/2017,224.741
9/8/2017,224.74
9/11/2017,224.402
9/12/2017,224.674
9/13/2017,224.711
9/14/2017,224.651
9/15/2017,224.884
9/18/2017,224.996
9/19/2017,225.131
9/20/2017,225.07
9/21/2017,224.775
9/22/2017,225.243
9/25/2017,225.355
9/26/2017,225.197
9/27/2017,224.413
9/28/2017,224.587
9/29/2017,224.624
9/30/2017,224.662
10/2/2017,224.736
10/3/2017,224.872
10/4/2017,224.909
10/5/2017,224.712
10/6/2017,224.983
10/9/2017,225.095
10/10/2017,224.937
10/11/2017,224.975
10/12/2017,225.207
10/13/2017,225.01
10/16/2017,225.22
10/17/2017,225.16
10/18/2017,225.197
10/19/2017,225.469
10/20/2017,225.311
10/23/2017,225.481
10/24/2017,225.753
10/25/2017,225.595
10/26/2017,225.632
10/27/2017,225.474
10/30/2017,225.803
10/31/2017,226.337
11/1/2017,226.619
11/2/2017,226.808
11/3/2017,226.958
11/6/2017,227.063
11/7/2017,227.202
11/8/2017,227.14
11/9/2017,227.178
11/10/2017,226.713
11/13/2017,226.829
11/14/2017,226.666
11/15/2017,225.999
11/16/2017,226.239
11/17/2017,226.519
11/20/2017,226.695
11/21/2017,226.975
11/22/2017,226.869
11/23/2017,226.907
11/24/2017,226.164
11/27/2017,227.27
11/28/2017,226.801
11/29/2017,226.981
11/30/2017,227.019
12/1/2017,227.175
12/4/2017,227.358
12/5/2017,227.715
12/6/2017,228.016
12/7/2017,227.879
12/8/2017,228.193
12/11/2017,228.006
12/12/2017,228.347
12/13/2017,228.204
12/14/2017,228.243
12/15/2017,228.462
12/18/2017,228.578
12/19/2017,228.072
12/20/2017,228.695
12/21/2017,228.331
12/22/2017,228.329
12/26/2017,228.483
12/27/2017,228.32
12/28/2017,228.358
12/29/2017,228.236
12/31/2017,228.274
1/2/2018,228.512
1/3/2018,228.248
1/4/2018,228.287
1/5/2018,228.325
1/8/2018,228.441
1/9/2018,228.479
1/10/2018,228.115
1/11/2018,227.65
1/12/2018,227.185
1/15/2018,227.3
1/16/2018,225.969
1/17/2018,225.403
1/18/2018,226.65
1/19/2018,225.943
1/22/2018,225.354
1/23/2018,225.291
1/24/2018,224.927
1/25/2018,224.563
1/26/2018,224.5
1/29/2018,224.233
1/30/2018,224.314
1/31/2018,224.352
2/1/2018,224.31
2/2/2018,223.442
2/5/2018,223.839
2/6/2018,224.103
2/7/2018,224.142
2/8/2018,223.804
2/9/2018,224.15
2/12/2018,224.473
2/13/2018,224.699
2/14/2018,224.196
2/15/2018,224.127
2/16/2018,224.299
2/19/2018,224.414
2/20/2018,224.906
2/21/2018,225.206
2/22/2018,225.098
2/23/2018,224.884
2/26/2018,225.556
2/27/2018,225.554
2/28/2018,225.669
3/1/2018,225.555
3/2/2018,225.253
3/5/2018,225.342
3/6/2018,225.38
3/7/2018,225.366
3/8/2018,225.413
3/9/2018,225.19
3/12/2018,225.079
3/13/2018,224.846
3/14/2018,224.844
3/15/2018,224.917
3/16/2018,224.965
3/19/2018,224.819
3/20/2018,224.481
3/21/2018,224.628
3/22/2018,224.419
3/23/2018,224.133
3/26/2018,223.588
3/27/2018,223.701
3/28/2018,223.739
3/29/2018,223.777
3/31/2018,223.816
4/2/2018,223.744
4/3/2018,223.736
4/4/2018,223.774
4/5/2018,223.813
4/6/2018,224.713
4/9/2018,224.843
4/10/2018,224.033
4/11/2018,224.229
4/12/2018,224.094
4/13/2018,224.133
4/16/2018,224.248
4/17/2018,224.287
4/18/2018,224.339
4/19/2018,224.225
4/20/2018,224.293
4/23/2018,224.133
4/24/2018,224.278
4/25/2018,224.334
4/26/2018,224.335
4/27/2018,224.373
4/30/2018,224.489
5/1/2018,224.528
5/2/2018,223.132
5/3/2018,222.332
5/4/2018,222.008
5/7/2018,222.249
5/8/2018,221.83
5/9/2018,221.884
5/10/2018,221.413
5/11/2018,221.614
5/14/2018,221.733
5/15/2018,221.544
5/16/2018,221.372
5/17/2018,220.578
5/18/2018,220.618
5/21/2018,220.479
5/22/2018,220.808
5/23/2018,220.848
5/24/2018,221.825
5/25/2018,221.864
5/28/2018,221.984
5/29/2018,222.389
5/30/2018,222.389
5/31/2018,222.429
6/1/2018,222.522
6/4/2018,223.269
6/5/2018,222.897
6/6/2018,222.937
6/7/2018,222.977
6/8/2018,223.016
