Date,G4GE
12/31/2025,100
1/2/2026,100.052
1/5/2026,100.239
1/6/2026,100.322
1/7/2026,100.354
1/8/2026,100.075
1/9/2026,100.138
1/12/2026,100.891
1/13/2026,100.859
1/14/2026,100.888
1/15/2026,101.657
1/16/2026,100.995
1/19/2026,101.067
1/20/2026,101.149
1/21/2026,101.121
1/22/2026,101.832
1/23/2026,101.228
1/26/2026,101.3
1/27/2026,102.011
1/28/2026,101.582
1/29/2026,101.607
1/30/2026,101.632
1/31/2026,101.655
2/2/2026,101.671
2/3/2026,102.475
2/4/2026,102.384
2/5/2026,102.41
2/6/2026,102.436
2/9/2026,102.511
2/10/2026,102.538
2/11/2026,103.289
2/12/2026,103.316
2/13/2026,103.402
2/16/2026,103.477
2/17/2026,103.624
2/18/2026,103.775
2/19/2026,103.801
2/20/2026,103.887
2/23/2026,103.962
2/24/2026,103.988
2/25/2026,104.018
2/26/2026,104.652
2/27/2026,104.739
2/28/2026,104.763
3/2/2026,104.816
3/3/2026,104.842
3/4/2026,104.875
3/5/2026,104.807
3/6/2026,104.85
3/9/2026,104.914
3/10/2026,104.93
3/11/2026,104.962
3/12/2026,105.317
3/13/2026,105.353
3/16/2026,105.445
3/17/2026,105.515
3/18/2026,106.031
3/19/2026,106.053
3/20/2026,106.079
3/23/2026,106.247
3/24/2026,106.342
3/25/2026,106.612
3/26/2026,106.678
3/27/2026,106.744
3/30/2026,106.816
3/31/2026,106.851
4/1/2026,106.87
4/2/2026,106.88
4/3/2026,106.887
4/6/2026,106.947
4/7/2026,106.999
4/8/2026,106.342
4/9/2026,106.368
4/10/2026,106.399
4/13/2026,106.474
4/14/2026,106.483
4/15/2026,107.166
4/16/2026,107.194
4/17/2026,107.222
4/20/2026,107.31
4/21/2026,107.38
4/22/2026,107.713
4/23/2026,107.77
4/24/2026,107.828
4/27/2026,107.921
4/28/2026,107.983
4/29/2026,108.126
4/30/2026,108.185
5/1/2026,108.242
5/4/2026,108.321
5/5/2026,108.341
5/6/2026,108.372
5/7/2026,107.789
5/8/2026,107.79
