Date,GDRU
4/27/2017,633.272
4/28/2017,633.514
4/30/2017,633.719
5/1/2017,633.726
5/2/2017,633.807
5/3/2017,634.237
5/4/2017,632.894
5/5/2017,631.772
5/8/2017,632.321
5/9/2017,632.053
5/10/2017,633.007
5/11/2017,633.266
5/12/2017,633.603
5/15/2017,634.357
5/16/2017,634.962
5/17/2017,634.71
5/18/2017,634.305
5/19/2017,635.221
5/22/2017,636.521
5/23/2017,636.583
5/24/2017,636.631
5/25/2017,637.248
5/26/2017,636.912
5/29/2017,637.22
5/30/2017,637.376
5/31/2017,636.548
6/1/2017,636.454
6/2/2017,636.531
6/5/2017,637.197
6/6/2017,637.504
6/7/2017,638.393
6/8/2017,637.334
6/9/2017,637.33
6/12/2017,637.553
6/13/2017,637.713
6/14/2017,637.852
6/15/2017,635.995
6/16/2017,636.124
6/19/2017,635.73
6/20/2017,632.969
6/21/2017,632.64
6/22/2017,632.223
6/23/2017,632.855
6/26/2017,633.709
6/27/2017,633.657
6/28/2017,633.055
6/29/2017,632.409
6/30/2017,632.13
7/3/2017,632.019
7/4/2017,632.121
7/5/2017,631.367
7/6/2017,628.855
7/7/2017,628.538
7/10/2017,629.933
7/11/2017,630.561
7/12/2017,632.586
7/13/2017,632.422
7/14/2017,633.518
7/17/2017,633.778
7/18/2017,634.511
7/19/2017,636.337
7/20/2017,636.59
7/21/2017,637.381
7/24/2017,635.709
7/25/2017,635.387
7/26/2017,636.197
7/27/2017,637.093
7/28/2017,636.821
7/31/2017,636.553
8/1/2017,636.891
8/2/2017,637.706
8/3/2017,638.009
8/4/2017,638.141
8/7/2017,638.435
8/8/2017,638.781
8/9/2017,638.638
8/10/2017,638.726
8/11/2017,638.278
8/14/2017,639.113
8/15/2017,639.002
8/16/2017,639.118
8/17/2017,639.824
8/18/2017,639.813
8/21/2017,640.487
8/22/2017,640.898
8/23/2017,641.645
8/24/2017,642.896
8/25/2017,642.886
8/28/2017,643.493
8/29/2017,643.537
8/30/2017,644.091
8/31/2017,645.714
9/1/2017,645.833
9/4/2017,646.119
9/5/2017,646.909
9/6/2017,648.402
9/7/2017,648.627
9/8/2017,649.151
9/11/2017,648.821
9/12/2017,647.632
9/13/2017,645.513
9/14/2017,645.121
9/15/2017,646.649
9/18/2017,646.5
9/19/2017,644.582
9/20/2017,643.036
9/21/2017,641.58
9/22/2017,643.322
9/25/2017,642.018
9/26/2017,641.812
9/27/2017,639.71
9/28/2017,639.742
9/29/2017,641.549
9/30/2017,641.645
10/2/2017,641.881
10/3/2017,642.03
10/4/2017,642.366
10/5/2017,642.566
10/6/2017,641.887
10/9/2017,642.174
10/10/2017,642.217
10/11/2017,642.592
10/12/2017,643.175
10/13/2017,643.503
10/16/2017,644.184
10/17/2017,643.984
10/18/2017,643.815
10/19/2017,644.021
10/20/2017,642.962
10/23/2017,643.24
10/24/2017,642.988
10/25/2017,642.494
10/26/2017,642.308
10/27/2017,642.512
10/30/2017,644.195
10/31/2017,643.865
11/1/2017,644.139
11/2/2017,644.315
11/3/2017,643.997
11/6/2017,644.036
11/7/2017,644.158
11/8/2017,643.876
11/9/2017,643.472
11/10/2017,642.575
11/13/2017,641.682
11/14/2017,641.597
11/15/2017,642.054
11/16/2017,642.139
11/17/2017,642.701
11/20/2017,642.938
11/21/2017,643.664
11/22/2017,643.772
11/23/2017,643.868
11/24/2017,643.973
11/27/2017,644.362
11/28/2017,644.659
11/29/2017,645.394
11/30/2017,645.557
12/1/2017,645.675
12/4/2017,644.592
12/5/2017,644.863
12/6/2017,645.874
12/7/2017,645.605
12/8/2017,644.934
12/11/2017,645.323
12/12/2017,645.039
12/13/2017,645.265
12/14/2017,645.884
12/15/2017,646.27
12/18/2017,647.203
12/19/2017,646.751
12/20/2017,645.779
12/21/2017,645.336
12/22/2017,645.574
12/26/2017,645.949
12/27/2017,646.75
12/28/2017,647.299
12/29/2017,647.68
12/31/2017,647.774
1/2/2018,648.113
1/3/2018,648.852
1/4/2018,650.142
1/5/2018,653.674
1/8/2018,653.471
1/9/2018,651.52
1/10/2018,649.701
1/11/2018,649.745
1/12/2018,649.946
1/15/2018,650.231
1/16/2018,651.337
1/17/2018,650.271
1/18/2018,647.816
1/19/2018,646.296
1/22/2018,646.116
1/23/2018,648.065
1/24/2018,647.141
1/25/2018,648.003
1/26/2018,648.68
1/29/2018,645.42
1/30/2018,646.507
1/31/2018,648.591
2/1/2018,650.52
2/2/2018,647.63
2/5/2018,645.651
2/6/2018,645.365
2/7/2018,647.033
2/8/2018,642.923
2/9/2018,639.682
2/12/2018,640.613
2/13/2018,639.317
2/14/2018,637.378
2/15/2018,639.261
2/16/2018,640.971
2/19/2018,641.26
2/20/2018,640.702
2/21/2018,641.206
2/22/2018,641.044
2/23/2018,643.389
2/26/2018,646.273
2/27/2018,645.104
2/28/2018,644.743
3/1/2018,642.693
3/2/2018,641.691
3/5/2018,641.971
3/6/2018,641.925
3/7/2018,639.593
3/8/2018,639.161
3/9/2018,638.41
3/12/2018,639.366
3/13/2018,639.435
3/14/2018,638.323
3/15/2018,637.14
3/16/2018,637.449
3/19/2018,636.063
3/20/2018,635.278
3/21/2018,635.707
3/22/2018,636.129
3/23/2018,634.986
3/26/2018,635.104
3/27/2018,635.933
3/28/2018,637.859
3/29/2018,637.224
3/31/2018,637.32
4/2/2018,637.661
4/3/2018,638.945
4/4/2018,639.82
4/5/2018,641.834
4/6/2018,642.017
4/9/2018,629.64
4/10/2018,618.757
4/11/2018,620.666
4/12/2018,626.074
4/13/2018,624.616
4/16/2018,620.743
4/17/2018,623.449
4/18/2018,626.171
4/19/2018,625.509
4/20/2018,623.549
4/23/2018,625.08
4/24/2018,626.323
4/25/2018,623.251
4/26/2018,624.502
4/27/2018,625.177
4/30/2018,627.408
5/1/2018,625.113
5/2/2018,622.12
5/3/2018,619.211
5/4/2018,617.649
5/7/2018,618.025
5/8/2018,616.149
5/9/2018,612.86
5/10/2018,621.494
5/11/2018,624.361
5/14/2018,623.512
5/15/2018,618.68
5/16/2018,619.906
5/17/2018,618.473
5/18/2018,618.291
5/21/2018,617.378
5/22/2018,620.678
5/23/2018,623.62
5/24/2018,627.43
5/25/2018,627.623
5/28/2018,627.912
5/29/2018,628.49
5/30/2018,627.732
5/31/2018,626.102
6/1/2018,624.32
6/4/2018,624.696
6/5/2018,624.429
6/6/2018,624.052
