Date,G3GE
12/31/2025,100
1/2/2026,100.05
1/5/2026,100.211
1/6/2026,100.281
1/7/2026,100.309
1/8/2026,99.95
1/9/2026,99.947
1/12/2026,100.019
1/13/2026,100.029
1/14/2026,100.589
1/15/2026,100.658
1/16/2026,100.683
1/19/2026,100.756
1/20/2026,100.825
1/21/2026,100.872
1/22/2026,100.925
1/23/2026,100.95
1/26/2026,101.021
1/27/2026,101.046
1/28/2026,101.293
1/29/2026,101.318
1/30/2026,101.342
1/31/2026,101.366
2/2/2026,101.422
2/3/2026,101.462
2/4/2026,101.398
2/5/2026,101.423
2/6/2026,101.448
2/9/2026,101.522
2/10/2026,101.547
2/11/2026,102.12
2/12/2026,102.145
2/13/2026,102.216
2/16/2026,102.289
2/17/2026,102.405
2/18/2026,102.523
2/19/2026,102.548
2/20/2026,102.618
2/23/2026,102.692
2/24/2026,102.717
2/25/2026,102.743
2/26/2026,103.332
2/27/2026,103.402
2/28/2026,103.426
3/2/2026,103.474
3/3/2026,103.499
3/4/2026,103.528
3/5/2026,103.468
3/6/2026,103.507
3/9/2026,103.579
3/10/2026,103.596
3/11/2026,103.623
3/12/2026,103.863
3/13/2026,103.896
3/16/2026,103.987
3/17/2026,104.049
3/18/2026,104.467
3/19/2026,104.487
3/20/2026,104.512
3/23/2026,104.662
3/24/2026,104.739
3/25/2026,104.977
3/26/2026,105.037
3/27/2026,105.094
3/30/2026,105.17
3/31/2026,105.207
4/1/2026,105.222
4/2/2026,105.238
4/3/2026,105.249
4/6/2026,105.337
4/7/2026,105.355
4/8/2026,104.759
4/9/2026,104.784
4/10/2026,104.812
4/13/2026,104.885
4/14/2026,104.887
4/15/2026,105.35
4/16/2026,105.369
4/17/2026,105.395
4/20/2026,105.478
4/21/2026,105.539
4/22/2026,105.807
4/23/2026,105.856
4/24/2026,105.906
4/27/2026,105.993
4/28/2026,106.042
4/29/2026,106.169
4/30/2026,106.219
5/1/2026,106.27
5/4/2026,106.347
5/5/2026,106.367
5/6/2026,106.394
5/7/2026,105.89
5/8/2026,105.896
